test/ag_g_dist,epoch,train/episode,test/episode,stats_g/std,stats_g/mean,test/success_rate,stats_o/std,test/mean_Q,test/reward_compute_count,train/critic_loss,stats_o/mean,train/reward_compute_count,train/success_rate
0.99558026,0,100.0,20.0,0.13782874,0.3606151,0.0,0.7142953,-2.309735,1000.0,0.0008836484,0.20158476,5000.0,0.0
0.98796827,1,200.0,40.0,0.13921511,0.35934305,0.0,0.71227556,-4.4126287,2000.0,0.0005412918,0.20483738,10000.0,0.0
0.9470094,2,300.0,60.0,0.13907126,0.35985377,0.0,0.7047789,-6.5437484,3000.0,0.00028311665,0.20669772,15000.0,0.0
0.9630356,3,400.0,80.0,0.1390604,0.36002657,0.0,0.69793767,-8.559987,4000.0,0.00018389622,0.2064545,20000.0,0.0
0.94589084,4,500.0,100.0,0.13985626,0.35983196,0.0,0.6960943,-10.507989,5000.0,0.00019026159,0.20635135,25000.0,0.0
0.93630505,5,600.0,120.0,0.14383219,0.35835305,0.0,0.6972596,-12.282382,6000.0,0.00025859437,0.2061161,30000.0,0.0
1.0109301,6,700.0,140.0,0.14644623,0.35657787,0.0,0.69812983,-14.034802,7000.0,0.000263423,0.20572454,35000.0,0.0
0.9971328,7,800.0,160.0,0.14817725,0.35562012,0.0,0.6985304,-15.763194,8000.0,0.0001414301,0.20557022,40000.0,0.0
0.9451874,8,900.0,180.0,0.14824452,0.3554199,0.0,0.69785804,-17.37779,9000.0,0.00013166734,0.20533161,45000.0,0.0
0.93706757,9,1000.0,200.0,0.14822066,0.3552898,0.0,0.6972038,-18.876045,10000.0,0.0002141897,0.20517127,50000.0,0.0
0.9712758,10,1100.0,220.0,0.14837451,0.3547578,0.0,0.696728,-20.336561,11000.0,0.00011538211,0.2048523,55000.0,0.0
0.9796314,11,1200.0,240.0,0.14880998,0.35441175,0.0,0.6963571,-21.734858,12000.0,0.00011910717,0.20465486,60000.0,0.0
0.9355478,12,1300.0,260.0,0.14934723,0.35367092,0.0,0.6961835,-23.077047,13000.0,0.00013505486,0.20428891,65000.0,0.0
0.9510401,13,1400.0,280.0,0.14987901,0.35306692,0.0,0.69651276,-24.29931,14000.0,0.00015182096,0.20394707,70000.0,0.0
0.95655704,14,1500.0,300.0,0.15032554,0.35256347,0.0,0.6965468,-25.54719,15000.0,0.000102252234,0.20370336,75000.0,0.0
0.98208946,15,1600.0,320.0,0.15047403,0.35247317,0.0,0.696399,-26.754873,16000.0,0.00014423141,0.20355411,80000.0,0.0
0.94204545,16,1700.0,340.0,0.15052769,0.35251084,0.0,0.695771,-27.837639,17000.0,0.000115844705,0.20339687,85000.0,0.0
0.9277653,17,1800.0,360.0,0.1502678,0.35266542,0.0,0.6950676,-28.90712,18000.0,9.916924e-05,0.20331532,90000.0,0.0
0.9342472,18,1900.0,380.0,0.14995424,0.352953,0.0,0.69444203,-29.954153,19000.0,0.00015135911,0.20322722,95000.0,0.0
0.9942724,19,2000.0,400.0,0.1497165,0.35330582,0.0,0.69373035,-30.894989,20000.0,0.00015855092,0.20316315,100000.0,0.0
0.9483865,20,2100.0,420.0,0.14954852,0.35356012,0.0,0.6930477,-31.76409,21000.0,0.00014738023,0.20309334,105000.0,0.0
0.9608789,21,2200.0,440.0,0.14915214,0.3537751,0.0,0.6922188,-32.692913,22000.0,8.731292e-05,0.2030163,110000.0,0.0
0.96214956,22,2300.0,460.0,0.1488971,0.35403147,0.0,0.6918666,-33.545895,23000.0,8.9507834e-05,0.20297767,115000.0,0.0
0.97676796,23,2400.0,480.0,0.14868559,0.35427567,0.0,0.69133216,-34.340595,24000.0,7.7192504e-05,0.2029572,120000.0,0.0
0.98874825,24,2500.0,500.0,0.14839987,0.3545475,0.0,0.6905897,-35.109875,25000.0,0.0001788941,0.20292635,125000.0,0.0016666666666666668
0.93861276,25,2600.0,520.0,0.14815035,0.3548316,0.0,0.68996054,-35.795082,26000.0,4.4683027e-05,0.20292239,130000.0,0.0
0.97804075,26,2700.0,540.0,0.14792265,0.35508713,0.0,0.6892732,-36.455402,27000.0,0.00019155344,0.2029432,135000.0,0.0
0.95679,27,2800.0,560.0,0.14771701,0.35537347,0.0,0.6887683,-37.112965,28000.0,6.948134e-05,0.20296808,140000.0,0.0016666666666666668
0.9343331,28,2900.0,580.0,0.14747252,0.35561213,0.0,0.6883635,-37.7168,29000.0,7.170621e-05,0.20296055,145000.0,0.0
0.96802276,29,3000.0,600.0,0.14722982,0.3557982,0.0,0.6878565,-38.307297,30000.0,4.103621e-05,0.20299894,150000.0,0.0
0.9431424,30,3100.0,620.0,0.14691882,0.35599944,0.0,0.6874464,-38.85019,31000.0,0.00010341082,0.20304938,155000.0,0.0
0.9262597,31,3200.0,640.0,0.14670597,0.35614744,0.0,0.6868164,-39.373917,32000.0,8.023376e-05,0.2030242,160000.0,0.0
1.0083642,32,3300.0,660.0,0.14642401,0.35628554,0.0,0.6863928,-39.886093,33000.0,0.0001042393,0.20301877,165000.0,0.0
0.96869165,33,3400.0,680.0,0.14617065,0.3564445,0.0,0.6860141,-40.35777,34000.0,3.4109642e-05,0.20304157,170000.0,0.0
