stats_g/mean,test/episode,epoch,train/episode,stats_o/std,test/ag_g_dist,stats_o/mean,stats_g/std,test/mean_Q,train/critic_loss,test/success_rate,train/success_rate
0.75606114,1000.0,49,5000.0,0.08310273,0.4412473,0.17938572,0.16762061,-34.449505,1.0473729,0.0,0.0033333333333333335
0.7566621,1020.0,50,5100.0,0.083490886,0.4322485,0.1795042,0.1680752,-34.03592,1.0860648,0.0,0.0
0.75694615,1040.0,51,5200.0,0.083726756,0.39546886,0.17953287,0.1683539,-33.894657,0.9003392,0.0,0.0016666666666666668
0.7572382,1060.0,52,5300.0,0.084068365,0.43834826,0.17959629,0.16875434,-34.11296,0.8457944,0.0,0.0016666666666666668
0.75774956,1080.0,53,5400.0,0.084337264,0.43773875,0.1796729,0.16904944,-33.368176,0.70582837,0.0,0.0016666666666666668
0.7581816,1100.0,54,5500.0,0.08467337,0.42210618,0.17977293,0.16941132,-33.78733,0.83613855,0.0,0.0
0.75843745,1120.0,55,5600.0,0.08478477,0.39725626,0.17981665,0.16959542,-33.009384,0.5904605,0.008333333333333333,0.0016666666666666668
0.75870734,1140.0,56,5700.0,0.08491662,0.42317912,0.17987281,0.1698084,-33.435604,1.1643417,0.008333333333333333,0.0033333333333333335
0.75907975,1160.0,57,5800.0,0.08515539,0.44820437,0.17996646,0.16997908,-34.868298,1.2973973,0.0,0.0
0.7593526,1180.0,58,5900.0,0.08545055,0.43614826,0.18001889,0.17022403,-33.357967,0.8590193,0.016666666666666666,0.0
0.7596283,1200.0,59,6000.0,0.08567954,0.4238968,0.18007629,0.17033888,-33.677914,0.8627594,0.0,0.006666666666666667
0.7598953,1220.0,60,6100.0,0.08590289,0.4115465,0.18012972,0.17047448,-32.56719,0.8284417,0.008333333333333333,0.0016666666666666668
0.7602475,1240.0,61,6200.0,0.08619634,0.42115125,0.18018897,0.17072314,-33.62263,1.026864,0.0,0.005
0.7606695,1260.0,62,6300.0,0.0863299,0.41072083,0.18026318,0.17078847,-33.906506,1.1246194,0.008333333333333333,0.0033333333333333335
0.76105374,1280.0,63,6400.0,0.086497135,0.43301272,0.1803519,0.17094487,-33.48064,0.8409472,0.008333333333333333,0.006666666666666667
0.76147765,1300.0,64,6500.0,0.0866372,0.38452947,0.1804225,0.17106317,-32.624226,0.8147065,0.008333333333333333,0.006666666666666667
0.7619817,1320.0,65,6600.0,0.086990416,0.38505736,0.18052055,0.17130284,-32.82469,0.7771161,0.0,0.006666666666666667
0.76244646,1340.0,66,6700.0,0.08722829,0.34190568,0.18060203,0.17156112,-31.836344,0.74665356,0.0,0.008333333333333333
0.7627523,1360.0,67,6800.0,0.087509476,0.36347866,0.18064028,0.17200309,-31.064423,0.8783517,0.025000000000000005,0.005
0.7631939,1380.0,68,6900.0,0.0877616,0.38169387,0.18067552,0.17221683,-31.271189,0.9312115,0.016666666666666666,0.005
0.7635777,1400.0,69,7000.0,0.08802994,0.34777036,0.18075387,0.17244506,-31.182352,1.3319923,0.008333333333333333,0.0016666666666666668
0.76384634,1420.0,70,7100.0,0.08822247,0.3809441,0.18078953,0.17252082,-31.41274,0.90458965,0.008333333333333333,0.005
0.76420385,1440.0,71,7200.0,0.08849868,0.39026585,0.18083437,0.172813,-31.632477,0.94636464,0.016666666666666666,0.011666666666666667
0.76455885,1460.0,72,7300.0,0.08863986,0.42590156,0.18089838,0.17296219,-32.05244,0.80849844,0.03333333333333333,0.008333333333333333
0.7648279,1480.0,73,7400.0,0.08883172,0.37979138,0.180934,0.17328303,-30.86065,0.7449972,0.0,0.005
0.76499844,1500.0,74,7500.0,0.0891222,0.33360887,0.18094099,0.17355545,-29.442236,0.82010984,0.008333333333333333,0.0033333333333333335
0.7652417,1520.0,75,7600.0,0.08944162,0.38087735,0.18096109,0.17382807,-30.487925,1.0641317,0.008333333333333333,0.008333333333333333
0.7654708,1540.0,76,7700.0,0.08972087,0.35293368,0.18100144,0.17405397,-30.18336,0.90685844,0.008333333333333333,0.01
0.76559067,1560.0,77,7800.0,0.08992659,0.37249956,0.18101849,0.17427456,-30.534462,0.8440895,0.016666666666666666,0.0033333333333333335
0.76579636,1580.0,78,7900.0,0.090058714,0.33162686,0.18104994,0.1744055,-28.897158,1.2293773,0.008333333333333333,0.0016666666666666668
0.76602393,1600.0,79,8000.0,0.09036244,0.33268493,0.18109,0.17463034,-28.95109,1.1689347,0.0,0.008333333333333333
0.7662828,1620.0,80,8100.0,0.09055541,0.34275547,0.18115397,0.17479591,-29.07189,0.85746384,0.0,0.008333333333333333
