stats_o/std,train/critic_loss,epoch,test/ag_g_dist,test/mean_Q,test/episode,train/episode,stats_o/mean,stats_g/std,stats_g/mean,train/success_rate,test/success_rate
0.91540027,0.3154811,33,0.4646913,-16.484337,680.0,3400.0,0.19342053,0.22955589,0.38212368,0.06833333333333333,0.26666666666666666
0.9194235,0.31807253,34,0.44195914,-15.308909,700.0,3500.0,0.1931473,0.22932327,0.38232562,0.065,0.20000000000000004
0.92327636,0.3101127,35,0.4428203,-16.104939,720.0,3600.0,0.19305784,0.22908938,0.38244793,0.04833333333333333,0.18333333333333335
0.92706615,0.30416384,36,0.42410156,-15.223615,740.0,3700.0,0.19286478,0.22886898,0.38241765,0.07333333333333333,0.17500000000000002
0.93077254,0.3059009,37,0.4244397,-14.697341,760.0,3800.0,0.1927161,0.22864048,0.38254538,0.06833333333333334,0.25
0.93409127,0.31942868,38,0.5809591,-20.28785,780.0,3900.0,0.19264136,0.22845341,0.38250104,0.06666666666666667,0.15
0.9373954,0.32357094,39,0.4852643,-16.844172,800.0,4000.0,0.1925077,0.22817795,0.38257894,0.08333333333333333,0.15000000000000002
0.9404661,0.35827518,40,0.44913968,-15.872726,820.0,4100.0,0.1923603,0.22789998,0.38262227,0.06,0.225
0.94337815,0.35271,41,0.44565082,-15.067761,840.0,4200.0,0.19227548,0.22766025,0.38275817,0.07666666666666667,0.21666666666666665
0.9460478,0.30169284,42,0.45966578,-16.051552,860.0,4300.0,0.19212921,0.22747932,0.38291898,0.07166666666666667,0.21666666666666667
0.9486842,0.29833785,43,0.3900092,-13.935277,880.0,4400.0,0.19198154,0.22723426,0.38299438,0.08333333333333333,0.21666666666666667
0.951173,0.34875333,44,0.44705167,-14.754082,900.0,4500.0,0.19187553,0.22701462,0.3830881,0.085,0.2333333333333333
0.9533588,0.31434867,45,0.40073755,-13.788505,920.0,4600.0,0.19177829,0.22697012,0.3830324,0.06833333333333334,0.15
0.95560426,0.36311343,46,0.39627838,-13.240987,940.0,4700.0,0.19168645,0.22685875,0.38308832,0.08166666666666667,0.25
0.95791197,0.35910025,47,0.34860244,-12.070394,960.0,4800.0,0.19159724,0.22672619,0.38317284,0.07333333333333333,0.25833333333333336
0.9598821,0.4071672,48,0.38525996,-12.923363,980.0,4900.0,0.19151323,0.22668926,0.3831582,0.09000000000000001,0.25
0.9618495,0.39999616,49,0.46246776,-15.824851,1000.0,5000.0,0.19142596,0.22645162,0.38318864,0.10666666666666667,0.19999999999999998
