stats_o/std,train/critic_loss,epoch,test/ag_g_dist,test/mean_Q,test/episode,train/episode,stats_o/mean,stats_g/std,stats_g/mean,train/success_rate,test/success_rate
0.7552221,0.05885707,0,1.0456573,-2.7880561,20.0,100.0,0.19665891,0.22390099,0.382032,0.0,0.0
0.76164824,0.06452289,1,0.974371,-4.7252965,40.0,200.0,0.19553407,0.22513573,0.3817483,0.0,0.0
0.7665035,0.076894954,2,0.9843011,-6.669102,60.0,300.0,0.19357745,0.2262175,0.38203773,0.0,0.0
0.76840454,0.08196354,3,0.997215,-8.609354,80.0,400.0,0.19382827,0.22751649,0.38125232,0.0,0.0
0.7686326,0.09340632,4,0.9764393,-10.433213,100.0,500.0,0.19429451,0.2289573,0.38099024,0.0,0.008333333333333333
0.7699649,0.10631725,5,0.9821268,-12.437484,120.0,600.0,0.19504969,0.22863282,0.38125166,0.0033333333333333335,0.016666666666666666
0.77360183,0.11555269,6,1.0030521,-13.991611,140.0,700.0,0.1955157,0.22884278,0.3823216,0.0033333333333333335,0.0
0.7759096,0.13222583,7,0.8935128,-15.042534,160.0,800.0,0.19564204,0.22942881,0.38233757,0.0,0.0
0.7798796,0.12997116,8,0.96230465,-16.997955,180.0,900.0,0.19581401,0.22952442,0.38242197,0.005,0.008333333333333333
0.7834162,0.1401924,9,0.9565579,-18.126356,200.0,1000.0,0.19599865,0.22995837,0.3822129,0.005,0.016666666666666666
0.78689796,0.17436963,10,0.9945359,-20.255459,220.0,1100.0,0.1960601,0.23063095,0.38178325,0.006666666666666667,0.025000000000000005
0.7920461,0.1541741,11,0.8701148,-19.66862,240.0,1200.0,0.19594307,0.23062678,0.382005,0.016666666666666666,0.025000000000000005
0.7982621,0.17577125,12,1.0038232,-22.03657,260.0,1300.0,0.19588105,0.23054467,0.38204393,0.013333333333333334,0.03333333333333333
0.8047798,0.18133783,13,0.846586,-21.074627,280.0,1400.0,0.19584711,0.23078407,0.38167372,0.02,0.05833333333333333
0.81173944,0.18639632,14,0.9275443,-23.347631,300.0,1500.0,0.19575952,0.23124762,0.38123563,0.024999999999999998,0.041666666666666664
0.81778604,0.18832435,15,0.8488839,-23.106543,320.0,1600.0,0.19569868,0.23168607,0.38095596,0.021666666666666667,0.03333333333333333
0.82349104,0.19821775,16,0.82171845,-22.277079,340.0,1700.0,0.19558851,0.23189068,0.38097057,0.021666666666666667,0.05000000000000001
0.82940763,0.18454282,17,0.9001333,-26.102247,360.0,1800.0,0.19549878,0.23205547,0.3808109,0.023333333333333334,0.05000000000000001
0.83521503,0.21286695,18,0.79902583,-22.887316,380.0,1900.0,0.19542156,0.23236795,0.3804643,0.028333333333333335,0.041666666666666664
0.8414213,0.24083602,19,0.7987652,-24.757196,400.0,2000.0,0.19538052,0.23244782,0.3806261,0.025000000000000005,0.075
0.84777313,0.22499745,20,0.88428354,-27.769806,420.0,2100.0,0.19511552,0.23236383,0.38059235,0.028333333333333335,0.06666666666666667
0.85329014,0.25204268,21,0.7693019,-25.206533,440.0,2200.0,0.19503199,0.23250313,0.3806491,0.02666666666666667,0.025000000000000005
0.8588068,0.2878165,22,0.74303263,-24.926958,460.0,2300.0,0.19481659,0.23242293,0.38086668,0.03,0.08333333333333333
0.8645386,0.27171674,23,0.7628023,-24.908655,480.0,2400.0,0.19467156,0.2322572,0.38098988,0.045000000000000005,0.075
0.87008935,0.26980445,24,0.63414836,-20.885435,500.0,2500.0,0.19467466,0.23203294,0.3811663,0.03333333333333333,0.10000000000000002
0.87647647,0.29595,25,0.6403268,-22.15087,520.0,2600.0,0.19446379,0.23166321,0.3812139,0.036666666666666674,0.10000000000000002
0.8820596,0.2669244,26,0.67540246,-22.29922,540.0,2700.0,0.19436319,0.23146372,0.38141298,0.036666666666666674,0.16666666666666666
0.8871575,0.29997432,27,0.6464195,-22.876587,560.0,2800.0,0.19436102,0.23124279,0.38155636,0.055,0.10833333333333334
0.8923549,0.28835562,28,0.5938726,-21.233074,580.0,2900.0,0.19425441,0.23091774,0.3816122,0.045000000000000005,0.09999999999999999
0.8974142,0.3028418,29,0.4786481,-17.272217,600.0,3000.0,0.1941003,0.23068465,0.38150772,0.051666666666666666,0.1416666666666667
0.90221715,0.28630766,30,0.5472208,-19.419943,620.0,3100.0,0.19399591,0.23036872,0.38185456,0.05000000000000001,0.10833333333333334
0.90661925,0.28901216,31,0.57792383,-19.822693,640.0,3200.0,0.1938063,0.23021756,0.3819944,0.051666666666666666,0.1416666666666667
0.91111785,0.33096224,32,0.42892194,-14.913043,660.0,3300.0,0.19360127,0.2298532,0.38198113,0.05166666666666667,0.19166666666666665
