epoch,stats_o/mean,stats_g/std,train/success_rate,test/episode,train/critic_loss,test/mean_Q,test/success_rate,stats_g/mean,test/ag_g_dist,stats_o/std,train/episode
26,0.26218313,0.07905099,0.23500000000000001,540.0,0.0013155899,-2.481653,0.46666666666666673,0.8737379,0.06403103,0.026752153,2700.0
27,0.2621903,0.07926541,0.26,560.0,0.0014010064,-2.5269291,0.35833333333333334,0.87377834,0.065514185,0.026818296,2800.0
28,0.26222423,0.07944866,0.24500000000000002,580.0,0.0015047934,-2.498459,0.5333333333333333,0.8739256,0.06389574,0.026878083,2900.0
29,0.26222187,0.07962948,0.24333333333333332,600.0,0.0013492485,-2.4926078,0.3666666666666667,0.8739255,0.06423812,0.026935985,3000.0
30,0.26222688,0.079801865,0.25,620.0,0.0013724602,-2.5050733,0.40833333333333327,0.87394553,0.063546255,0.02699239,3100.0
31,0.26223797,0.079957254,0.28,640.0,0.0014208801,-2.555941,0.425,0.8739996,0.06281231,0.027042812,3200.0
32,0.26226622,0.08012253,0.25666666666666665,660.0,0.0013182451,-2.5809643,0.4166666666666667,0.87409645,0.06500951,0.027093137,3300.0
33,0.26227248,0.080285616,0.2816666666666667,680.0,0.0013110461,-2.5977705,0.5083333333333333,0.8741408,0.06271949,0.027145803,3400.0
34,0.26229578,0.08046841,0.26666666666666666,700.0,0.001244821,-2.6458857,0.43333333333333335,0.8742292,0.063916914,0.027197242,3500.0
35,0.26231402,0.08062179,0.24500000000000002,720.0,0.0015041176,-2.6722212,0.5583333333333333,0.87429214,0.06047824,0.02724588,3600.0
36,0.26232094,0.08071211,0.2816666666666667,740.0,0.0013789725,-2.666607,0.38333333333333336,0.8743424,0.062525354,0.027280753,3700.0
37,0.26233274,0.080832936,0.26333333333333336,760.0,0.0012826873,-2.6481478,0.44166666666666665,0.8744046,0.06201269,0.027323151,3800.0
38,0.262316,0.0809254,0.28,780.0,0.0012569125,-2.6104972,0.4583333333333333,0.8743511,0.06280293,0.02735149,3900.0
39,0.26231286,0.08101367,0.26666666666666666,800.0,0.0013236078,-2.6906776,0.4749999999999999,0.87434244,0.06308326,0.027382413,4000.0
40,0.2623052,0.08111421,0.26666666666666666,820.0,0.001256793,-2.683995,0.5416666666666666,0.8743265,0.061457198,0.027416294,4100.0
41,0.2623187,0.08117586,0.2983333333333334,840.0,0.0012882025,-2.7118108,0.55,0.8744083,0.059413206,0.027436486,4200.0
42,0.26232502,0.08126103,0.2783333333333334,860.0,0.0011964819,-2.7031586,0.5083333333333333,0.8744288,0.061434373,0.027466372,4300.0
43,0.2623369,0.081337415,0.2816666666666667,880.0,0.001180891,-2.702163,0.5666666666666668,0.8744661,0.059299637,0.027487805,4400.0
44,0.26235986,0.0814333,0.26499999999999996,900.0,0.0011703916,-2.7092717,0.5,0.8745585,0.05962634,0.02751728,4500.0
45,0.26235324,0.08150376,0.29000000000000004,920.0,0.0012640768,-2.712896,0.4583333333333333,0.8745246,0.06067489,0.027542263,4600.0
46,0.26235068,0.08156356,0.2816666666666667,940.0,0.0012727203,-2.7322168,0.47500000000000003,0.8745052,0.06069697,0.027564427,4700.0
47,0.26235548,0.0816543,0.26166666666666666,960.0,0.0013254778,-2.6440194,0.5499999999999999,0.874502,0.059768632,0.027596047,4800.0
48,0.26236236,0.081687346,0.29833333333333334,980.0,0.0012166899,-2.7676628,0.4666666666666666,0.87452984,0.06165819,0.027613685,4900.0
49,0.26238152,0.08174762,0.2816666666666667,1000.0,0.0013675202,-2.7877018,0.5,0.8746007,0.06027348,0.027632749,5000.0
