test/episode,train/episode,stats_o/std,epoch,stats_o/mean,test/mean_Q,train/critic_addnl_loss,stats_g/std,stats_g/mean,train/critic_loss,test/success_rate,train/success_rate
280.0,1400.0,0.04321577,13,0.2013814,-21.640215,0.47588745,0.060935903,0.8386631,0.5797232,0.041666666666666664,0.075
300.0,1500.0,0.043155175,14,0.20134813,-22.205933,0.5749161,0.060935605,0.8385408,0.64474845,0.041666666666666664,0.06666666666666667
320.0,1600.0,0.04359557,15,0.20132916,-22.438948,1.0323168,0.06085745,0.83858484,1.1262792,0.09166666666666667,0.07833333333333332
340.0,1700.0,0.043606024,16,0.20133726,-23.452932,0.7291794,0.06089826,0.8386302,0.78088045,0.05833333333333333,0.04833333333333334
360.0,1800.0,0.04346515,17,0.20135362,-25.39007,1.6852412,0.060941186,0.83881027,1.7590691,0.049999999999999996,0.08333333333333333
380.0,1900.0,0.043599438,18,0.20133583,-24.664701,1.2371715,0.060979728,0.8388295,1.3097371,0.05833333333333334,0.085
400.0,2000.0,0.0436793,19,0.20132244,-24.57572,1.233149,0.06101134,0.8387902,1.3067789,0.075,0.07166666666666667
420.0,2100.0,0.043934684,20,0.20133965,-25.00279,1.4678556,0.061012056,0.8387435,1.5712045,0.06666666666666667,0.065
440.0,2200.0,0.044160962,21,0.20133476,-25.43612,1.1836135,0.06105673,0.83879095,1.2934039,0.08333333333333333,0.06166666666666667
460.0,2300.0,0.04430813,22,0.20128953,-27.570839,1.1616278,0.06101723,0.83868414,1.2878762,0.05833333333333334,0.06333333333333334
480.0,2400.0,0.04483783,23,0.20123692,-27.60373,1.5396129,0.060978685,0.8387187,1.7932425,0.06666666666666667,0.060000000000000005
500.0,2500.0,0.045114774,24,0.2012756,-27.243551,1.552083,0.060978327,0.83875275,1.67026,0.09999999999999999,0.065
520.0,2600.0,0.045288425,25,0.20128275,-28.147287,1.6053448,0.060986713,0.8387305,1.7279762,0.05000000000000001,0.06333333333333334
540.0,2700.0,0.045591995,26,0.20127036,-27.593367,1.2188064,0.061009318,0.83866245,1.3009723,0.075,0.08833333333333333
560.0,2800.0,0.045727294,27,0.20124595,-26.532875,1.5824537,0.06098129,0.83873636,1.7048498,0.11666666666666665,0.06333333333333334
580.0,2900.0,0.045886572,28,0.20123915,-29.85919,1.5950813,0.06097986,0.83869046,1.7300173,0.041666666666666664,0.051666666666666666
600.0,3000.0,0.046106115,29,0.20123565,-29.92955,1.4413686,0.061005678,0.83861727,1.6063137,0.041666666666666664,0.07666666666666666
620.0,3100.0,0.04642274,30,0.20125051,-28.250181,1.6246718,0.06099895,0.83863115,1.7390909,0.041666666666666664,0.07
640.0,3200.0,0.04674555,31,0.20127171,-27.821526,1.8739449,0.0610235,0.8385404,1.9728122,0.05833333333333334,0.06333333333333334
660.0,3300.0,0.04752624,32,0.20129621,-26.986946,1.9392389,0.061006784,0.838562,2.0853498,0.09166666666666667,0.08166666666666668
680.0,3400.0,0.04780199,33,0.2013263,-28.700754,2.051703,0.06100264,0.83855265,2.2838838,0.049999999999999996,0.065
700.0,3500.0,0.047898483,34,0.20130901,-26.844803,1.5213541,0.06099768,0.8385777,1.7069591,0.06666666666666667,0.07166666666666667
720.0,3600.0,0.04800069,35,0.20131505,-28.124464,1.875609,0.06104864,0.83862066,2.0390599,0.08333333333333333,0.075
740.0,3700.0,0.04814066,36,0.2013316,-28.924192,2.0554583,0.06107754,0.83868307,2.2079017,0.05833333333333334,0.07333333333333335
760.0,3800.0,0.048298,37,0.20133656,-29.887808,1.5074558,0.061048154,0.838636,1.6649462,0.08333333333333333,0.055000000000000014
780.0,3900.0,0.04832159,38,0.20134495,-29.37432,1.3679128,0.061039124,0.83863646,1.4694959,0.09166666666666667,0.075
800.0,4000.0,0.04818876,39,0.20136099,-30.613356,1.4724388,0.06101932,0.83863974,1.5864569,0.075,0.07166666666666667
820.0,4100.0,0.04818252,40,0.20134659,-28.9674,2.5810344,0.061033193,0.8385854,2.7121315,0.075,0.08666666666666667
840.0,4200.0,0.048108052,41,0.20134585,-32.677647,1.769662,0.061022196,0.8386347,1.8647476,0.025000000000000005,0.07166666666666667
860.0,4300.0,0.048073873,42,0.2013471,-30.95106,2.2278712,0.061007813,0.83862996,2.3666213,0.09166666666666667,0.08166666666666667
880.0,4400.0,0.04799221,43,0.20134895,-31.782827,1.5499977,0.06100462,0.8386503,1.6687046,0.05833333333333333,0.07333333333333333
900.0,4500.0,0.04793055,44,0.20135655,-31.383652,2.078041,0.06100926,0.8386509,2.1845539,0.05833333333333333,0.05833333333333334
920.0,4600.0,0.047824934,45,0.20136769,-32.315105,1.8120722,0.061018202,0.8386151,1.9526945,0.041666666666666664,0.08333333333333333
940.0,4700.0,0.047712464,46,0.20136565,-33.132828,1.61619,0.061033055,0.8385741,1.7112547,0.041666666666666664,0.085
960.0,4800.0,0.04766858,47,0.20136477,-31.262548,1.4998636,0.0610252,0.838619,1.6525512,0.125,0.06
980.0,4900.0,0.047669154,48,0.2013705,-31.977198,2.2948534,0.061034784,0.83864933,2.40475,0.05833333333333333,0.07333333333333335
1000.0,5000.0,0.047755193,49,0.20137519,-28.681574,1.9375304,0.061021402,0.83871007,2.0505104,0.11666666666666668,0.09000000000000001
