test/ag_g_dist,train/reward_compute_count,stats_o/mean,train/critic_loss,test/episode,stats_g/mean,test/mean_Q,train/success_rate,stats_g/std,stats_o/std,test/success_rate,epoch,train/episode,test/reward_compute_count
0.11801239,215000.0,0.3268677,2.1813263e-05,860.0,0.6799822,-43.008015,0.0,0.018829785,0.65267956,0.0,42,4300.0,43000.0
0.11809375,220000.0,0.32686365,2.6221773e-05,880.0,0.67997384,-43.36223,0.0,0.0187607,0.65241534,0.0,43,4400.0,44000.0
0.11840125,225000.0,0.32690367,5.1185866e-06,900.0,0.67996216,-43.68242,0.0,0.01868847,0.65208745,0.0,44,4500.0,45000.0
0.11876148,230000.0,0.32694796,0.00011501048,920.0,0.6799519,-44.00282,0.0,0.01862122,0.65173507,0.0,45,4600.0,46000.0
0.11769224,235000.0,0.3269498,1.2520286e-05,940.0,0.67994213,-44.276886,0.0,0.018555777,0.65139544,0.0,46,4700.0,47000.0
0.11903444,240000.0,0.32698873,9.090006e-06,960.0,0.67993474,-44.54813,0.0,0.018494913,0.6510584,0.0,47,4800.0,48000.0
0.11799408,245000.0,0.32698533,9.733921e-06,980.0,0.67992204,-44.81241,0.0,0.018435827,0.6508901,0.0,48,4900.0,49000.0
0.117925644,250000.0,0.32703343,2.6393043e-05,1000.0,0.67991596,-45.06091,0.0,0.018374966,0.65071404,0.0,49,5000.0,50000.0
0.11807322,255000.0,0.32704988,9.761184e-05,1020.0,0.6799075,-45.27484,0.0,0.018318681,0.6504448,0.0,50,5100.0,51000.0
0.11906294,260000.0,0.32708818,2.1076141e-05,1040.0,0.6798983,-45.50287,0.0,0.01827002,0.65024215,0.0,51,5200.0,52000.0
0.118320726,265000.0,0.32713154,3.0604922e-06,1060.0,0.67989105,-45.727642,0.0,0.018214416,0.65004295,0.0,52,5300.0,53000.0
0.1186349,270000.0,0.32716072,1.6644637e-05,1080.0,0.6798828,-45.92741,0.0,0.018163264,0.6497662,0.0,53,5400.0,54000.0
0.11756021,275000.0,0.32719368,7.8171715e-06,1100.0,0.6798745,-46.113586,0.0,0.01811381,0.6494811,0.0,54,5500.0,55000.0
0.11734193,280000.0,0.32721525,8.800013e-06,1120.0,0.6798709,-46.295803,0.0,0.01806631,0.6492412,0.0,55,5600.0,56000.0
0.117224045,285000.0,0.32727525,9.659146e-06,1140.0,0.679867,-46.465942,0.0,0.018025525,0.64900887,0.0,56,5700.0,57000.0
0.116784774,290000.0,0.3272764,8.737223e-06,1160.0,0.6798603,-46.627136,0.0,0.017985078,0.6487711,0.0,57,5800.0,58000.0
0.1176083,295000.0,0.32731622,0.000121475045,1180.0,0.67985314,-46.7765,0.0,0.01794583,0.64865655,0.0,58,5900.0,59000.0
0.1171104,300000.0,0.32733732,0.00018765409,1200.0,0.67984825,-46.921253,0.0,0.017901352,0.6485096,0.0,59,6000.0,60000.0
