test/mean_Q,test/episode,stats_o/std,train/critic_loss,test/success_rate,stats_o/mean,train/success_rate,epoch,train/episode,stats_g/std,stats_g/mean
-2.482915,20.0,0.051379565,0.16843438,0.09166666666666667,0.20115294,0.051666666666666666,0,100.0,0.07545713,0.83718795
-4.63308,40.0,0.05030035,0.16725057,0.016666666666666666,0.2010547,0.08,1,200.0,0.073208444,0.8371784
-6.3151126,60.0,0.04920094,0.15359843,0.041666666666666664,0.20108755,0.06666666666666667,2,300.0,0.072361924,0.8372405
-7.981232,80.0,0.05054514,0.16433166,0.10000000000000002,0.20130022,0.06833333333333334,3,400.0,0.07471324,0.83778906
-9.862305,100.0,0.053471547,0.16717573,0.06666666666666667,0.20146607,0.07666666666666666,4,500.0,0.07610263,0.8384831
-11.184392,120.0,0.05289392,0.17015733,0.09166666666666667,0.20139386,0.07333333333333333,5,600.0,0.075634845,0.8385625
-12.309029,140.0,0.054156486,0.1751564,0.09999999999999999,0.20132494,0.09500000000000001,6,700.0,0.07563811,0.8384555
-12.76607,160.0,0.054807436,0.28866175,0.16666666666666666,0.20134066,0.10833333333333334,7,800.0,0.07590399,0.8388524
-13.0277815,180.0,0.05597944,0.2074513,0.21666666666666667,0.20139523,0.12833333333333333,8,900.0,0.07641473,0.83910656
-13.7006035,200.0,0.056863885,0.22979188,0.25,0.20143037,0.21333333333333335,9,1000.0,0.076185055,0.8392983
-11.580116,220.0,0.060327426,0.27737108,0.3499999999999999,0.20129727,0.3216666666666667,10,1100.0,0.07625689,0.8393288
-6.9065166,240.0,0.064531974,0.3655127,0.6,0.20118715,0.445,11,1200.0,0.07617322,0.8397496
-4.473974,260.0,0.06937266,0.27135476,0.7666666666666666,0.2013066,0.5783333333333333,12,1300.0,0.07579282,0.8399866
-3.364814,280.0,0.07225306,0.31204355,0.7916666666666666,0.20138472,0.7683333333333334,13,1400.0,0.0755093,0.839946
-1.8761319,300.0,0.0750216,0.26449212,0.9666666666666667,0.20106953,0.805,14,1500.0,0.07507182,0.8397674
-1.7894329,320.0,0.07754145,0.23236312,0.9583333333333334,0.2009018,0.87,15,1600.0,0.0746375,0.83976054
-1.7621893,340.0,0.080003366,0.28313175,0.9333333333333332,0.20079286,0.88,16,1700.0,0.074561544,0.83971125
-1.8377403,360.0,0.082469724,0.28487828,0.9500000000000001,0.20079987,0.8933333333333334,17,1800.0,0.074534245,0.83978796
-1.7088779,380.0,0.08461591,0.49595466,0.9249999999999999,0.20086402,0.9016666666666667,18,1900.0,0.07419568,0.839756
-1.3686463,400.0,0.08613644,0.2352726,0.9666666666666667,0.20086187,0.9183333333333333,19,2000.0,0.0740211,0.8397115
-1.3697418,420.0,0.0874029,0.30326688,0.9583333333333334,0.20090091,0.9333333333333332,20,2100.0,0.07365272,0.83963394
-1.2492896,440.0,0.0887569,0.25925913,0.9833333333333334,0.20101722,0.9550000000000001,21,2200.0,0.07348276,0.8396141
-1.3218337,460.0,0.090329446,0.2531068,0.9833333333333334,0.20105864,0.9533333333333333,22,2300.0,0.073246405,0.8394596
