stats_g/mean,test/mean_Q,stats_o/std,test/ag_g_dist,epoch,test/episode,test/success_rate,train/success_rate,stats_g/std,train/reward_compute_count,test/reward_compute_count,train/episode,stats_o/mean,train/critic_loss
0.3810742,-26.99527,0.71725196,0.9822345,15,320.0,0.0,0.0,0.22907352,80000.0,16000.0,1600.0,0.2020954,0.0008760274
0.38154587,-28.081902,0.7164863,1.0017208,16,340.0,0.0,0.0,0.22912045,85000.0,17000.0,1700.0,0.20218055,0.0018125232
0.38172206,-29.126207,0.7161565,1.023969,17,360.0,0.0,0.0,0.22898673,90000.0,18000.0,1800.0,0.20219524,0.0014105443
0.3814497,-30.121435,0.71566147,0.9825146,18,380.0,0.0,0.0,0.22907655,95000.0,19000.0,1900.0,0.20229255,0.0015410492
0.38135362,-31.072601,0.7155993,1.0051371,19,400.0,0.0,0.0,0.22893174,100000.0,20000.0,2000.0,0.20234208,0.000987192
0.38134268,-31.999945,0.71532685,0.973583,20,420.0,0.0,0.0,0.22898068,105000.0,21000.0,2100.0,0.20248692,0.0012240034
0.38128343,-32.866467,0.71504253,1.0097114,21,440.0,0.0,0.0,0.22895925,110000.0,22000.0,2200.0,0.20229454,0.0013737386
0.3815036,-33.71383,0.71473855,1.0410782,22,460.0,0.0,0.0,0.22883599,115000.0,23000.0,2300.0,0.20234706,0.005524061
0.38154748,-34.453842,0.71458465,1.0048132,23,480.0,0.0,0.0,0.22893713,120000.0,24000.0,2400.0,0.20244952,0.002215898
0.3816165,-35.157856,0.71430445,0.9680207,24,500.0,0.0,0.0,0.22885196,125000.0,25000.0,2500.0,0.20234816,0.0040230784
0.38178658,-35.862988,0.7141597,1.0713013,25,520.0,0.0,0.0,0.22899187,130000.0,26000.0,2600.0,0.2022941,0.0023443399
0.3818845,-36.537327,0.7139881,1.0124841,26,540.0,0.0,0.0,0.22899084,135000.0,27000.0,2700.0,0.20227955,0.0015334763
0.38191637,-37.11388,0.7138122,1.0184652,27,560.0,0.0,0.0,0.22886308,140000.0,28000.0,2800.0,0.2022485,0.013962171
0.38201013,-37.825172,0.7135766,1.0401694,28,580.0,0.0,0.0,0.22880544,145000.0,29000.0,2900.0,0.20223904,0.0024904406
0.38223502,-38.406727,0.7134163,1.0443712,29,600.0,0.0,0.0,0.22881694,150000.0,30000.0,3000.0,0.20229869,0.0032866935
0.38202766,-38.9682,0.71318954,0.9398524,30,620.0,0.0,0.0,0.22890334,155000.0,31000.0,3100.0,0.20227297,0.002225065
0.38211825,-39.55113,0.71298987,0.974917,31,640.0,0.0,0.0,0.22897612,160000.0,32000.0,3200.0,0.20228903,0.0018659802
0.3822371,-39.986595,0.71280795,1.0092939,32,660.0,0.0,0.0,0.22893782,165000.0,33000.0,3300.0,0.20226772,0.007541912
0.3823208,-40.37597,0.7127808,1.0459445,33,680.0,0.0,0.0,0.22890966,170000.0,34000.0,3400.0,0.20226048,0.011419655
0.3823217,-40.962803,0.7127088,1.0948917,34,700.0,0.0,0.0,0.22894502,175000.0,35000.0,3500.0,0.2022339,0.0015184815
0.38211775,-41.454742,0.71265167,0.95362943,35,720.0,0.0,0.0,0.22893606,180000.0,36000.0,3600.0,0.20222135,0.0019859755
0.3821421,-41.80913,0.7124595,0.9342863,36,740.0,0.0,0.0,0.22888203,185000.0,37000.0,3700.0,0.20226312,0.0035475448
0.38215837,-42.17049,0.7124231,0.9485815,37,760.0,0.0,0.0,0.22885074,190000.0,38000.0,3800.0,0.20230192,0.007284337
0.3820753,-42.55532,0.7123261,1.0026441,38,780.0,0.0,0.0,0.22885494,195000.0,39000.0,3900.0,0.20229246,0.0015978083
0.3819622,-42.901096,0.712214,1.0591478,39,800.0,0.0,0.0,0.22888409,200000.0,40000.0,4000.0,0.20223136,0.0023493748
0.38203248,-43.26514,0.7121684,0.98310465,40,820.0,0.0,0.0,0.2287785,205000.0,41000.0,4100.0,0.20218043,0.0015209251
0.38212022,-43.4867,0.71210504,1.0599003,41,840.0,0.0,0.0,0.22871494,210000.0,42000.0,4200.0,0.20218106,0.0047828066
0.38214585,-43.779102,0.71209645,1.00182,42,860.0,0.0,0.0,0.22872086,215000.0,43000.0,4300.0,0.20216359,0.009944723
0.3819805,-44.18433,0.71208125,1.0690883,43,880.0,0.0,0.0,0.22878481,220000.0,44000.0,4400.0,0.2021274,0.0026295492
0.38205573,-44.39488,0.71208715,1.01246,44,900.0,0.0,0.0,0.22870679,225000.0,45000.0,4500.0,0.20208625,0.004535912
0.38192305,-44.72315,0.71209097,1.0225604,45,920.0,0.0,0.0,0.22876115,230000.0,46000.0,4600.0,0.20213167,0.0042840755
0.38176373,-44.8938,0.71200436,1.0334911,46,940.0,0.0,0.0,0.22882102,235000.0,47000.0,4700.0,0.20209394,0.0028648283
0.3817545,-45.220592,0.7119853,1.06356,47,960.0,0.0,0.0,0.22879787,240000.0,48000.0,4800.0,0.2021174,0.002683483
0.38187435,-45.347668,0.7118468,1.0113555,48,980.0,0.0,0.0,0.2286896,245000.0,49000.0,4900.0,0.20222048,0.0061595687
0.3818101,-45.667725,0.71188754,1.0047382,49,1000.0,0.0,0.0,0.22873573,250000.0,50000.0,5000.0,0.20223737,0.0020408945
0.38181046,-45.84389,0.7117216,1.0745364,50,1020.0,0.0,0.0,0.22874443,255000.0,51000.0,5100.0,0.20224865,0.0013049403
0.3817908,-46.032314,0.7117357,1.0279609,51,1040.0,0.0,0.0,0.2287312,260000.0,52000.0,5200.0,0.2022324,0.0025523913
0.38170323,-46.221996,0.7116464,1.0636744,52,1060.0,0.0,0.0,0.22878675,265000.0,53000.0,5300.0,0.20217048,0.0022889257
0.38181105,-46.387203,0.7115369,1.0486671,53,1080.0,0.0,0.0,0.2287377,270000.0,54000.0,5400.0,0.20208621,0.0026265748
0.38189396,-46.67885,0.7114484,0.98665756,54,1100.0,0.0,0.0,0.22864197,275000.0,55000.0,5500.0,0.20209627,0.002788083
0.38186154,-46.772003,0.711421,1.0450598,55,1120.0,0.0,0.0,0.22865959,280000.0,56000.0,5600.0,0.20205887,0.0025705623
0.38193488,-46.89082,0.71136874,1.0909487,56,1140.0,0.0,0.0,0.22864269,285000.0,57000.0,5700.0,0.20203154,0.0026971502
0.3819224,-47.109234,0.7113951,1.0587325,57,1160.0,0.0,0.0,0.22871494,290000.0,58000.0,5800.0,0.20199281,0.0070597488
0.381892,-47.093525,0.71135855,0.9612844,58,1180.0,0.0,0.0,0.22870927,295000.0,59000.0,5900.0,0.2020001,0.0063428567
0.38182363,-47.271305,0.71135134,1.0162412,59,1200.0,0.0,0.0,0.2287662,300000.0,60000.0,6000.0,0.2019816,0.00083523634
