stats_o/mean,train/success_rate,stats_o/std,stats_g/std,epoch,test/ag_g_dist,test/episode,stats_g/mean,train/critic_loss,train/episode,test/success_rate,test/mean_Q
0.2015128,0.0016666666666666668,0.7240928,0.15673447,0,0.8930876,20.0,0.3397273,0.024159843,100.0,0.0,-2.9689872
0.20086461,0.0016666666666666668,0.717701,0.1582655,1,0.96810585,40.0,0.33877203,0.026955443,200.0,0.016666666666666666,-5.091721
0.20030582,0.0016666666666666668,0.7142425,0.15781155,2,0.93786913,60.0,0.33960986,0.028164178,300.0,0.016666666666666666,-7.0388083
0.19964166,0.0033333333333333335,0.7126108,0.1572896,3,0.92265767,80.0,0.34013805,0.028688662,400.0,0.0,-9.313707
0.19937271,0.0016666666666666668,0.7119419,0.15728699,4,0.91412115,100.0,0.33964625,0.043297797,500.0,0.008333333333333333,-11.283603
0.19909225,0.0,0.7119055,0.15754235,5,0.9710336,120.0,0.3394489,0.04262473,600.0,0.0,-13.317113
0.1992858,0.0,0.7131546,0.15774833,6,0.97661537,140.0,0.3395507,0.0500752,700.0,0.0,-14.717766
0.19928364,0.0033333333333333335,0.71493787,0.15826125,7,0.9253642,160.0,0.33947644,0.04381506,800.0,0.008333333333333333,-16.765678
0.1993509,0.0033333333333333335,0.71728677,0.15927579,8,1.0054492,180.0,0.3399478,0.047438953,900.0,0.008333333333333333,-18.383898
0.19937225,0.0033333333333333335,0.72127384,0.16034007,9,0.86913085,200.0,0.34026393,0.04184659,1000.0,0.025000000000000005,-19.499197
0.1996224,0.0033333333333333335,0.7264493,0.1617682,10,0.93513757,220.0,0.34068045,0.057453167,1100.0,0.03333333333333333,-20.544752
0.19980519,0.008333333333333333,0.732152,0.16337547,11,0.7883912,240.0,0.34128758,0.090033464,1200.0,0.075,-20.6
0.2001223,0.006666666666666667,0.73710626,0.16480425,12,0.9870679,260.0,0.3422679,0.0670071,1300.0,0.03333333333333333,-22.876274
0.20044239,0.0016666666666666668,0.74354726,0.1663996,13,0.8560241,280.0,0.34316614,0.07413342,1400.0,0.075,-22.62647
0.20082696,0.008333333333333333,0.74888426,0.16770907,14,0.8882303,300.0,0.3439835,0.09249053,1500.0,0.041666666666666664,-23.237122
0.20102845,0.0033333333333333335,0.7532236,0.16887532,15,0.971735,320.0,0.3443304,0.09001439,1600.0,0.016666666666666666,-25.731504
0.20120354,0.006666666666666667,0.75807136,0.16993459,16,0.90298444,340.0,0.34490487,0.10787335,1700.0,0.05000000000000001,-26.055506
0.20127772,0.008333333333333333,0.7624777,0.17104058,17,0.80777186,360.0,0.34556547,0.17122836,1800.0,0.15,-24.980408
0.20138009,0.0016666666666666668,0.76614934,0.17233105,18,0.9065356,380.0,0.34615865,0.13203937,1900.0,0.05833333333333334,-27.063736
0.20167889,0.005,0.7705827,0.17359813,19,0.88342047,400.0,0.34691468,0.218744,2000.0,0.075,-28.137278
0.20187043,0.01,0.77506524,0.17488198,20,0.8432276,420.0,0.347491,0.19199376,2100.0,0.13333333333333333,-27.430136
0.20198654,0.008333333333333333,0.7795252,0.17645395,21,0.8009828,440.0,0.3482709,0.16362104,2200.0,0.06666666666666667,-28.440851
0.20213097,0.011666666666666665,0.7834843,0.1777518,22,0.7968097,460.0,0.34914002,0.15058613,2300.0,0.15,-26.580948
0.20203345,0.006666666666666667,0.7873674,0.17869048,23,0.70674896,480.0,0.34971812,0.18239152,2400.0,0.21666666666666667,-24.1869
0.2022981,0.005,0.79096276,0.1793286,24,0.79038864,500.0,0.3502576,0.18329255,2500.0,0.13333333333333333,-27.101702
0.20209987,0.008333333333333333,0.7940383,0.18001269,25,0.781215,520.0,0.35081133,0.17585151,2600.0,0.15833333333333335,-27.01161
0.20194383,0.0033333333333333335,0.7970652,0.18054123,26,0.76542616,540.0,0.35127458,0.25508785,2700.0,0.18333333333333335,-28.266388
