stats_o/mean,train/success_rate,stats_o/std,stats_g/std,epoch,test/ag_g_dist,test/episode,stats_g/mean,train/critic_loss,train/episode,test/success_rate,test/mean_Q
0.2018602,0.006666666666666667,0.80038196,0.18107884,27,0.77866936,560.0,0.35166517,0.18056083,2800.0,0.15833333333333333,-28.233126
0.20205371,0.006666666666666667,0.80327064,0.18171494,28,0.7216192,580.0,0.351963,0.3589882,2900.0,0.15,-28.225302
0.20218031,0.01,0.8062956,0.1823607,29,0.7690341,600.0,0.35215345,0.16182666,3000.0,0.18333333333333335,-29.569336
0.20219131,0.01,0.8095772,0.18305288,30,0.69109184,620.0,0.35248375,0.20945643,3100.0,0.21666666666666667,-27.556059
0.20226747,0.01,0.81263787,0.1837004,31,0.7269764,640.0,0.35271707,0.15264691,3200.0,0.11666666666666665,-29.980234
0.20224147,0.01,0.8155121,0.18436809,32,0.7144154,660.0,0.352986,0.20019038,3300.0,0.15,-28.997889
0.20212524,0.006666666666666667,0.8179707,0.18488269,33,0.74117136,680.0,0.35303006,0.22414494,3400.0,0.19999999999999998,-28.82121
0.20193766,0.015,0.8203979,0.18537407,34,0.80323476,700.0,0.3532826,0.21444221,3500.0,0.17499999999999996,-31.486458
0.20193489,0.01,0.82239336,0.18578835,35,0.72821814,720.0,0.35340813,0.31773093,3600.0,0.22499999999999998,-27.414932
0.20187628,0.011666666666666667,0.82472986,0.18619595,36,0.7677147,740.0,0.35358527,0.24827796,3700.0,0.15,-30.148634
0.20190908,0.01,0.82665807,0.18652344,37,0.73897094,760.0,0.35355362,0.26218584,3800.0,0.15833333333333333,-29.803106
0.20192754,0.008333333333333333,0.82851046,0.18697298,38,0.78469783,780.0,0.3536074,0.17538328,3900.0,0.11666666666666665,-31.971151
0.20193766,0.01,0.8304698,0.18730755,39,0.843143,800.0,0.3536388,0.28458783,4000.0,0.14166666666666666,-33.36844
0.20197828,0.008333333333333333,0.8323502,0.18769921,40,0.8140178,820.0,0.3539224,0.37760854,4100.0,0.10000000000000002,-32.03848
0.2019579,0.013333333333333334,0.8341911,0.18801306,41,0.7801859,840.0,0.35414913,0.33132473,4200.0,0.16666666666666666,-31.42087
0.20205529,0.01,0.8360572,0.18833633,42,0.67646533,860.0,0.3543572,0.31024376,4300.0,0.21666666666666665,-26.968033
0.20216388,0.013333333333333334,0.83756995,0.1886559,43,0.6694601,880.0,0.354592,0.2387625,4400.0,0.19166666666666665,-28.083473
0.202164,0.016666666666666666,0.8391798,0.18887548,44,0.68401295,900.0,0.35480753,0.211271,4500.0,0.16666666666666666,-29.233164
0.20232145,0.011666666666666667,0.8407127,0.18906085,45,0.7713261,920.0,0.35492668,0.25696707,4600.0,0.11666666666666668,-31.725573
0.20239806,0.01,0.8421629,0.18927495,46,0.7618341,940.0,0.35519966,0.48596135,4700.0,0.18333333333333335,-31.932158
0.20247991,0.016666666666666666,0.8433359,0.18945725,47,0.8315821,960.0,0.3553811,0.20009358,4800.0,0.14166666666666666,-33.86741
0.20256515,0.008333333333333333,0.84457475,0.18961887,48,0.6984112,980.0,0.35556665,0.2450449,4900.0,0.16666666666666666,-30.356031
0.20247783,0.006666666666666667,0.8459208,0.18979585,49,0.7356958,1000.0,0.35568646,0.462684,5000.0,0.17499999999999996,-32.26173
