stats_g/std,train/critic_loss,epoch,train/episode,test/episode,test/mean_Q,stats_o/mean,stats_o/std,test/success_rate,test/ag_g_dist,stats_g/mean,train/success_rate
0.018172584,0.023943834,22,2300.0,460.0,-3.7930686,0.30687934,0.839123,0.5583333333333332,0.031801082,0.67554694,0.008333333333333333
0.018165337,0.026307309,23,2400.0,480.0,-4.9644895,0.3069133,0.8386021,0.5166666666666667,0.037379023,0.675606,0.023333333333333334
0.018161202,0.025138868,24,2500.0,500.0,-3.8408449,0.30694765,0.83819073,0.5333333333333333,0.027509829,0.67564887,0.013333333333333334
0.018150926,0.022454178,25,2600.0,520.0,-4.683789,0.30702513,0.8379007,0.525,0.03940868,0.67564124,0.013333333333333334
0.018133009,0.022315973,26,2700.0,540.0,-4.491037,0.30708414,0.83781654,0.4666666666666666,0.031907976,0.6756652,0.006666666666666667
0.01811508,0.022530997,27,2800.0,560.0,-5.138831,0.3071379,0.83782595,0.44999999999999996,0.03349895,0.67567474,0.021666666666666667
0.018098494,0.023593774,28,2900.0,580.0,-5.827399,0.30722874,0.83778006,0.47500000000000003,0.03352734,0.6756583,0.01833333333333333
0.018074194,0.024769789,29,3000.0,600.0,-5.7230797,0.30738065,0.8373005,0.6166666666666667,0.033710763,0.6756454,0.01
0.018057767,0.024747252,30,3100.0,620.0,-5.126007,0.30747876,0.8367684,0.5750000000000001,0.030428745,0.6756485,0.018333333333333333
0.018051745,0.02365706,31,3200.0,640.0,-6.6511326,0.30753723,0.8362787,0.6083333333333333,0.038174283,0.6756521,0.021666666666666667
0.018054616,0.021349417,32,3300.0,660.0,-5.950615,0.3075747,0.83574146,0.6416666666666667,0.039332077,0.6756781,0.013333333333333334
0.018048745,0.025945196,33,3400.0,680.0,-6.256016,0.30766535,0.83539873,0.6833333333333332,0.03538036,0.6756895,0.023333333333333334
0.018046055,0.02184079,34,3500.0,700.0,-7.9271827,0.30764955,0.8349095,0.625,0.038929734,0.67570513,0.02
0.018036347,0.022523923,35,3600.0,720.0,-9.73306,0.30765662,0.83409834,0.5166666666666666,0.046220828,0.6757195,0.015
0.018039947,0.021863006,36,3700.0,740.0,-9.212467,0.30770454,0.83355826,0.46666666666666673,0.04991995,0.67575175,0.016666666666666666
0.018035222,0.023283308,37,3800.0,760.0,-8.850879,0.30775705,0.8330838,0.5333333333333333,0.043294027,0.6757863,0.021666666666666667
0.018040705,0.02285563,38,3900.0,780.0,-7.990221,0.30781943,0.83253175,0.5833333333333334,0.041248355,0.67580336,0.021666666666666667
0.01805493,0.023613334,39,4000.0,800.0,-10.283263,0.3078956,0.83183557,0.55,0.04591818,0.6758194,0.03166666666666667
0.018059772,0.025188146,40,4100.0,820.0,-8.5706625,0.3079237,0.8311965,0.6166666666666667,0.04218064,0.67584395,0.023333333333333334
0.01806131,0.021154767,41,4200.0,840.0,-12.78336,0.30791372,0.83063346,0.44166666666666665,0.056607723,0.6758578,0.015
0.018064631,0.023938438,42,4300.0,860.0,-9.172608,0.30793017,0.8301479,0.5583333333333333,0.04041967,0.6758578,0.015
0.018055465,0.02187564,43,4400.0,880.0,-10.246675,0.30793697,0.82978123,0.5416666666666666,0.046108246,0.6758669,0.013333333333333334
0.018047076,0.024308586,44,4500.0,900.0,-9.731379,0.30797523,0.82911444,0.55,0.041134764,0.6758706,0.018333333333333333
0.018041253,0.021136148,45,4600.0,920.0,-11.1054125,0.3080479,0.8283971,0.5666666666666668,0.04443912,0.67588276,0.016666666666666666
0.01804288,0.020265928,46,4700.0,940.0,-10.758527,0.30802935,0.827743,0.7166666666666667,0.041457765,0.6758936,0.015
0.018039657,0.022676423,47,4800.0,960.0,-11.772988,0.30801928,0.8272297,0.5499999999999999,0.04565941,0.67590445,0.013333333333333334
0.01802975,0.020776832,48,4900.0,980.0,-11.645682,0.30793503,0.8267959,0.6333333333333333,0.042993676,0.675903,0.015
0.01801949,0.024041489,49,5000.0,1000.0,-10.909233,0.30793402,0.8264298,0.6,0.04171573,0.6758999,0.024999999999999998
