test/success_rate,train/success_rate,epoch,test/episode,stats_o/mean,stats_o/std,test/ag_g_dist,stats_g/std,stats_g/mean,train/critic_loss,test/mean_Q,train/episode
0.0,0.0016666666666666668,0,20.0,0.20086306,0.050992604,0.17503218,0.074361786,0.83712274,0.0043260898,-2.251592,100.0
0.008333333333333333,0.0016666666666666668,1,40.0,0.20083971,0.048108425,0.1822412,0.07213156,0.83711964,0.0037500076,-4.3765006,200.0
0.0,0.0033333333333333335,2,60.0,0.20079178,0.047863264,0.17046972,0.07283719,0.8372168,0.0027123906,-6.3172326,300.0
0.0,0.005,3,80.0,0.20112316,0.051893663,0.18280314,0.07535433,0.83781385,0.0055664764,-8.496831,400.0
0.025000000000000005,0.005,4,100.0,0.20129283,0.058346834,0.17934692,0.07857304,0.8384252,0.007699754,-9.887414,500.0
0.03333333333333333,0.01,5,120.0,0.2012632,0.06281561,0.15559898,0.080667235,0.83808255,0.015284832,-10.418674,600.0
0.16666666666666666,0.03666666666666667,6,140.0,0.20128493,0.06878212,0.1350136,0.080127545,0.8377852,0.0480493,-9.237659,700.0
0.19166666666666665,0.09166666666666667,7,160.0,0.2013848,0.07421384,0.12220708,0.07926007,0.83813554,0.050156444,-8.476401,800.0
0.425,0.14833333333333334,8,180.0,0.2014429,0.08171496,0.08320492,0.079213835,0.8382556,0.060506526,-5.743015,900.0
0.6083333333333333,0.22166666666666668,9,200.0,0.20117168,0.089661025,0.06504633,0.0795395,0.8384176,0.10621599,-4.049106,1000.0
0.7083333333333334,0.305,10,220.0,0.20084746,0.096396245,0.056757193,0.07951654,0.8382142,0.10973033,-3.3494263,1100.0
0.7999999999999999,0.36999999999999994,11,240.0,0.20050977,0.10109258,0.049425453,0.07913092,0.8381953,0.106397785,-2.697157,1200.0
0.875,0.4116666666666667,12,260.0,0.20046866,0.10427335,0.04155939,0.07883633,0.8382142,0.08499903,-2.2727177,1300.0
0.8916666666666666,0.4483333333333333,13,280.0,0.20040207,0.10627528,0.044970047,0.078467965,0.83805585,0.08574986,-2.40043,1400.0
0.9166666666666666,0.41,14,300.0,0.20030849,0.108494826,0.043114025,0.07839531,0.8379448,0.074546814,-2.2341383,1500.0
0.9083333333333332,0.48500000000000004,15,320.0,0.20038205,0.10999421,0.042437535,0.078092985,0.8379676,0.11552971,-2.1385806,1600.0
0.975,0.465,16,340.0,0.20060603,0.111332096,0.039519962,0.0781213,0.83801645,0.07986359,-1.8096157,1700.0
0.9416666666666668,0.4633333333333334,17,360.0,0.20066226,0.11231651,0.043206755,0.0780553,0.8381757,0.06975634,-2.0647557,1800.0
1.0,0.4983333333333333,18,380.0,0.20075478,0.113359936,0.040549915,0.07817846,0.8382376,0.08682275,-1.7993869,1900.0
0.9916666666666667,0.47333333333333333,19,400.0,0.20061488,0.11422362,0.037568547,0.07807473,0.83819443,0.09215125,-1.6087469,2000.0
0.9916666666666667,0.5016666666666666,20,420.0,0.20074926,0.11491748,0.03872455,0.07795919,0.83818173,0.07250676,-1.6525736,2100.0
0.975,0.5099999999999999,21,440.0,0.20085843,0.115564905,0.040604077,0.07786117,0.8382294,0.08875996,-1.8334736,2200.0
0.975,0.53,22,460.0,0.20091712,0.11613504,0.041471947,0.07755021,0.83818483,0.07205038,-1.7344841,2300.0
0.9833333333333334,0.4833333333333334,23,480.0,0.20091723,0.11657756,0.04141922,0.07731544,0.8382576,0.07611963,-1.749132,2400.0
0.9833333333333334,0.5099999999999999,24,500.0,0.20095354,0.11718526,0.038970664,0.07726071,0.83830076,0.08346815,-1.6690737,2500.0
0.9916666666666667,0.5233333333333333,25,520.0,0.2009865,0.11784307,0.039525624,0.07719923,0.838301,0.081922434,-1.5703125,2600.0
0.9833333333333334,0.5183333333333333,26,540.0,0.2009645,0.1184158,0.040296342,0.07704239,0.838286,0.08008155,-1.8041321,2700.0
0.9833333333333334,0.49499999999999994,27,560.0,0.20104529,0.11884574,0.035470124,0.07698178,0.8383593,0.0719749,-1.5268625,2800.0
0.9833333333333334,0.48166666666666663,28,580.0,0.20112352,0.11902996,0.041339204,0.07695255,0.8383577,0.08948847,-1.6552753,2900.0
0.9916666666666667,0.48166666666666663,29,600.0,0.20114835,0.11942792,0.04103029,0.07688146,0.8383317,0.091489695,-1.7196598,3000.0
0.9666666666666667,0.5133333333333333,30,620.0,0.20113768,0.11994201,0.036702376,0.0769754,0.83834696,0.07700349,-1.6028347,3100.0
0.9916666666666667,0.5099999999999999,31,640.0,0.2011915,0.120412834,0.039260402,0.07693874,0.8382737,0.096438974,-1.5548445,3200.0
0.975,0.5299999999999999,32,660.0,0.20120476,0.120601244,0.041621383,0.07687566,0.8383207,0.11417109,-1.8327098,3300.0
1.0,0.5266666666666667,33,680.0,0.20124613,0.12096637,0.036403712,0.07696259,0.83830714,0.10443485,-1.4657239,3400.0
1.0,0.505,34,700.0,0.20128696,0.121362925,0.034732442,0.07701213,0.83834773,0.07720106,-1.4818796,3500.0
0.9833333333333334,0.5183333333333334,35,720.0,0.20137261,0.121701576,0.037493188,0.07711888,0.8384101,0.11729121,-1.4987307,3600.0
0.9916666666666667,0.5099999999999999,36,740.0,0.2013806,0.12193841,0.037711993,0.07711264,0.83846563,0.11366895,-1.5187553,3700.0
1.0,0.5599999999999999,37,760.0,0.2014542,0.12223467,0.041191947,0.0769037,0.8384499,0.108947195,-1.689929,3800.0
0.9916666666666667,0.5,38,780.0,0.20147564,0.12255611,0.040468838,0.07692104,0.8384886,0.07491373,-1.5517119,3900.0
