test/success_rate,test/mean_Q,test/episode,stats_o/std,train/critic_loss,epoch,train/success_rate,train/episode,stats_g/std,stats_o/mean,stats_g/mean
0.10000000000000002,-2.482712,20.0,0.046826053,0.0015830938,0,0.05166666666666667,100.0,0.06194298,0.2010147,0.83860874
0.016666666666666666,-4.766977,40.0,0.04659913,0.0025004402,1,0.08333333333333333,200.0,0.06144711,0.20093548,0.838705
0.041666666666666664,-6.432853,60.0,0.04420325,0.0029290058,2,0.06333333333333334,300.0,0.061045285,0.20096534,0.83905464
0.06666666666666667,-8.19313,80.0,0.043506455,0.0084097665,3,0.06333333333333334,400.0,0.06101993,0.2012022,0.83909607
0.049999999999999996,-9.957658,100.0,0.043175224,0.0058560106,4,0.075,500.0,0.06118607,0.20141105,0.83960676
0.075,-11.451295,120.0,0.042604227,0.00731398,5,0.06333333333333334,600.0,0.061138507,0.20143372,0.8393547
0.09166666666666667,-12.725703,140.0,0.0432376,0.051083818,6,0.05333333333333334,700.0,0.06091194,0.20138563,0.83910364
0.09166666666666667,-14.019389,160.0,0.04325281,0.011186962,7,0.075,800.0,0.06102406,0.20149022,0.83906907
0.075,-15.9559965,180.0,0.043176055,0.025191002,8,0.05666666666666667,900.0,0.061090704,0.2014736,0.83918357
0.08333333333333333,-17.36982,200.0,0.042887125,0.026818417,9,0.07333333333333333,1000.0,0.06109734,0.20145594,0.8392424
0.08333333333333333,-18.10203,220.0,0.043075394,0.026504224,10,0.075,1100.0,0.06100816,0.20136873,0.83891016
0.10000000000000002,-19.132193,240.0,0.043059867,0.03324405,11,0.07166666666666667,1200.0,0.060979154,0.20136756,0.8388371
0.06666666666666667,-20.57362,260.0,0.043358702,0.024589544,12,0.06,1300.0,0.060957137,0.20139925,0.8387657
0.041666666666666664,-22.381432,280.0,0.044010907,0.03278626,13,0.07,1400.0,0.06095961,0.20139368,0.83857375
0.041666666666666664,-23.124872,300.0,0.04436083,0.028517962,14,0.065,1500.0,0.060951963,0.20136906,0.83847433
0.09166666666666667,-23.175049,320.0,0.04457967,0.04744188,15,0.07666666666666667,1600.0,0.06086809,0.20131119,0.8385296
0.05833333333333333,-24.401903,340.0,0.045321018,0.05930048,16,0.055,1700.0,0.06091165,0.20129006,0.83857185
0.041666666666666664,-26.180758,360.0,0.04562497,0.06150319,17,0.08333333333333333,1800.0,0.060954925,0.2013342,0.83872575
0.05833333333333334,-25.69274,380.0,0.046012554,0.049149085,18,0.08666666666666667,1900.0,0.060998634,0.20129232,0.83873755
0.10000000000000002,-24.821543,400.0,0.04647809,0.098576404,19,0.07666666666666667,2000.0,0.061031953,0.20128535,0.8386929
0.075,-24.82215,420.0,0.047412056,0.08169907,20,0.06333333333333334,2100.0,0.061029483,0.20129062,0.8386343
