test/episode,test/ag_g_dist,stats_o/mean,test/mean_Q,train/critic_loss,train/reward_compute_count,epoch,train/success_rate,test/reward_compute_count,train/episode,stats_g/std,test/success_rate,stats_g/mean,stats_o/std
840.0,0.90444994,0.19605894,-24.631195,0.21755628,210000.0,41,0.0,42000.0,4200.0,0.2357996,0.0,0.3770171,0.87223107
860.0,0.8352666,0.19593292,-22.609018,0.37576818,215000.0,42,0.0016666666666666668,43000.0,4300.0,0.235774,0.016666666666666666,0.37702587,0.87410235
880.0,0.9321957,0.19580142,-24.578539,0.25821888,220000.0,43,0.0,44000.0,4400.0,0.23575424,0.0,0.37696776,0.8760002
900.0,0.8638858,0.19582047,-23.379465,0.23367643,225000.0,44,0.0016666666666666668,45000.0,4500.0,0.23563893,0.008333333333333333,0.37702587,0.87765735
920.0,0.8401455,0.195823,-23.127874,0.25346184,230000.0,45,0.0016666666666666668,46000.0,4600.0,0.23559006,0.0,0.37691984,0.8790677
940.0,0.86504143,0.19563274,-23.069063,0.24404192,235000.0,46,0.0016666666666666668,47000.0,4700.0,0.23557697,0.008333333333333333,0.3767999,0.8803726
960.0,0.91710323,0.19562858,-25.683924,0.22005363,240000.0,47,0.0033333333333333335,48000.0,4800.0,0.23549445,0.0,0.3768979,0.8821533
980.0,0.85834104,0.19565262,-23.365236,0.23318557,245000.0,48,0.0016666666666666668,49000.0,4900.0,0.23533373,0.0,0.37712398,0.8837802
1000.0,0.8503621,0.19558392,-24.151514,0.29667103,250000.0,49,0.0016666666666666668,50000.0,5000.0,0.23532547,0.008333333333333333,0.37707922,0.88544196
1020.0,0.8987668,0.19549648,-24.640686,0.26180097,255000.0,50,0.0016666666666666668,51000.0,5100.0,0.23524173,0.008333333333333333,0.37706915,0.8868677
1040.0,0.8313558,0.19547498,-23.28037,0.23796181,260000.0,51,0.0,52000.0,5200.0,0.23518777,0.03333333333333333,0.3770449,0.8885862
1060.0,0.9010482,0.1953532,-24.87126,0.2463934,265000.0,52,0.0,53000.0,5300.0,0.23517887,0.008333333333333333,0.37697792,0.89010376
1080.0,0.8930428,0.19528548,-24.095932,0.26189747,270000.0,53,0.0033333333333333335,54000.0,5400.0,0.23503284,0.008333333333333333,0.37705827,0.8915985
1100.0,0.8044048,0.19519292,-22.277254,0.28776503,275000.0,54,0.0,55000.0,5500.0,0.23487245,0.0,0.37714657,0.8931897
1120.0,0.85566473,0.19512413,-23.238886,0.32641938,280000.0,55,0.0,56000.0,5600.0,0.23479299,0.008333333333333333,0.3771648,0.8947685
1140.0,0.9225731,0.1951483,-24.428276,0.26795447,285000.0,56,0.006666666666666667,57000.0,5700.0,0.23469166,0.0,0.3773038,0.8959759
1160.0,0.87092906,0.19509906,-23.640076,0.27813348,290000.0,57,0.0016666666666666668,58000.0,5800.0,0.23467012,0.008333333333333333,0.377378,0.897196
1180.0,0.76501113,0.19504328,-21.886366,0.23381896,295000.0,58,0.0016666666666666668,59000.0,5900.0,0.23457469,0.0,0.3773652,0.8982771
1200.0,0.8421185,0.19494905,-23.037886,0.25372598,300000.0,59,0.0,60000.0,6000.0,0.23453133,0.008333333333333333,0.3773555,0.8994233
