train/success_rate,stats_g/std,test/episode,test/ag_g_dist,train/critic_loss,stats_g/mean,test/mean_Q,test/success_rate,stats_o/mean,stats_o/std,epoch,train/episode
0.0,0.07061619,20.0,0.17464857,0.0067572943,0.83733076,-2.8005164,0.0,0.20031007,0.046394672,0,100.0
0.0,0.070894934,40.0,0.18154334,0.00904245,0.83716273,-4.791782,0.0,0.20072812,0.044857666,1,200.0
0.0,0.07099148,60.0,0.16790767,0.011048856,0.8372033,-6.8306484,0.0,0.20082696,0.043870945,2,300.0
0.0,0.073588215,80.0,0.17920457,0.01692142,0.8379782,-8.794541,0.0,0.20091479,0.048647955,3,400.0
0.0,0.07578685,100.0,0.18171453,0.023505762,0.8387205,-10.52335,0.0,0.20112725,0.053324584,4,500.0
0.0,0.077379115,120.0,0.16232967,0.041023213,0.83859307,-12.082345,0.0,0.2011891,0.055370096,5,600.0
0.0016666666666666668,0.07810537,140.0,0.15651633,0.088366866,0.8385527,-12.496968,0.0,0.20123298,0.057675432,6,700.0
0.0,0.07836272,160.0,0.15369894,0.14260525,0.839011,-11.923141,0.0,0.20147495,0.061388116,7,800.0
0.0016666666666666668,0.07844759,180.0,0.12605055,0.15588517,0.83903503,-10.577734,0.0,0.2014929,0.066236,8,900.0
0.0033333333333333335,0.07818312,200.0,0.11762265,0.15940027,0.83890486,-9.664245,0.0,0.20140485,0.07115093,9,1000.0
0.0033333333333333335,0.077792466,220.0,0.07926327,0.20042734,0.8385086,-7.1179376,0.008333333333333333,0.20115143,0.07630378,10,1100.0
0.005,0.07740597,240.0,0.04805306,0.25635394,0.83839244,-5.359937,0.0,0.20119436,0.0804457,11,1200.0
0.01,0.07749186,260.0,0.04806005,0.16372645,0.8383104,-4.510584,0.016666666666666666,0.20148768,0.084480695,12,1300.0
0.008333333333333333,0.07717984,280.0,0.05055066,0.2911518,0.8382048,-4.655551,0.025000000000000005,0.20140328,0.08710752,13,1400.0
0.0033333333333333335,0.07717996,300.0,0.045190275,0.26229542,0.838118,-4.28841,0.075,0.20139332,0.08974481,14,1500.0
0.005,0.077024564,320.0,0.061818402,0.2367956,0.8381924,-5.4176307,0.03333333333333333,0.20141886,0.09179225,15,1600.0
0.016666666666666666,0.07715798,340.0,0.04735003,0.26772788,0.83823365,-4.4165616,0.10000000000000002,0.20145786,0.09365215,16,1700.0
0.013333333333333334,0.07714131,360.0,0.047263492,0.3567513,0.83838814,-4.752976,0.13333333333333333,0.20146652,0.09539101,17,1800.0
0.013333333333333334,0.076941095,380.0,0.05076943,0.3228904,0.8384011,-4.527619,0.08333333333333333,0.20143802,0.096987456,18,1900.0
0.013333333333333334,0.07693549,400.0,0.043008264,0.29220974,0.83842,-3.8685148,0.16666666666666666,0.20138556,0.09820362,19,2000.0
0.011666666666666667,0.07698644,420.0,0.043838482,0.3766912,0.8384208,-3.8976638,0.09166666666666667,0.20133774,0.09916371,20,2100.0
0.013333333333333334,0.07675377,440.0,0.042104334,0.2870359,0.83847374,-4.006644,0.14166666666666666,0.20134123,0.09977636,21,2200.0
0.02,0.07635498,460.0,0.042375952,0.3090162,0.8384052,-3.6697962,0.18333333333333335,0.2013489,0.10035211,22,2300.0
0.008333333333333333,0.076053955,480.0,0.043774784,0.28405848,0.8384528,-3.6752083,0.17500000000000002,0.20136245,0.101127185,23,2400.0
0.016666666666666666,0.07596001,500.0,0.039521303,0.3182299,0.8385165,-3.7246697,0.17500000000000002,0.20136254,0.10177042,24,2500.0
0.0016666666666666668,0.07572461,520.0,0.04088458,0.3757185,0.83849114,-4.012135,0.19999999999999998,0.20142312,0.10219101,25,2600.0
0.018333333333333333,0.07550633,540.0,0.039253537,0.32429954,0.8384633,-4.452973,0.2333333333333333,0.20141445,0.10268525,26,2700.0
0.015,0.07519724,560.0,0.036816742,0.3686503,0.8385466,-3.809964,0.35833333333333334,0.20145337,0.10294724,27,2800.0
0.023333333333333334,0.07502931,580.0,0.042853873,0.39210686,0.8385219,-4.306866,0.2583333333333333,0.20146644,0.10326529,28,2900.0
0.013333333333333334,0.07486384,600.0,0.046588656,0.39908978,0.8384895,-4.491015,0.26666666666666666,0.20149076,0.1036131,29,3000.0
0.015,0.07472049,620.0,0.037585057,0.5596971,0.8385219,-3.8220062,0.3333333333333333,0.2015448,0.10396548,30,3100.0
0.016666666666666666,0.07461821,640.0,0.03999189,0.4008771,0.83843946,-4.3454,0.2916666666666667,0.20159005,0.10440125,31,3200.0
0.015,0.074492164,660.0,0.0403173,0.42571983,0.8384729,-4.153067,0.21666666666666665,0.20161586,0.10464116,32,3300.0
0.015000000000000001,0.074521355,680.0,0.03711972,0.61949176,0.83845574,-4.1856904,0.2833333333333334,0.20173317,0.10479758,33,3400.0
0.011666666666666667,0.074322544,700.0,0.035804834,0.3614482,0.838484,-4.307966,0.2333333333333333,0.20180887,0.10497185,34,3500.0
0.030000000000000002,0.07428526,720.0,0.038509194,0.39890826,0.8385344,-4.4378695,0.3,0.20178974,0.10511068,35,3600.0
0.03,0.07425093,740.0,0.03814223,0.41017556,0.8386173,-4.5929685,0.30000000000000004,0.2018431,0.10529504,36,3700.0
0.016666666666666666,0.0741582,760.0,0.04215302,0.41782418,0.83857894,-4.859611,0.3083333333333333,0.201878,0.10541903,37,3800.0
0.015,0.07415702,780.0,0.04047152,0.46270475,0.8386062,-4.6517854,0.27499999999999997,0.20184796,0.10556873,38,3900.0
0.023333333333333334,0.07405183,800.0,0.040524762,0.46213493,0.8386273,-5.2766004,0.375,0.20189661,0.10563245,39,4000.0
0.023333333333333334,0.074205965,820.0,0.03643054,0.45442685,0.8385772,-4.933664,0.3166666666666667,0.2019066,0.105714254,40,4100.0
0.021666666666666667,0.074145384,840.0,0.04231902,0.50558835,0.8386388,-5.581406,0.3416666666666666,0.20187996,0.10577845,41,4200.0
0.025000000000000005,0.07415438,860.0,0.042765412,0.5201397,0.8386349,-6.041784,0.30833333333333335,0.20192318,0.10581675,42,4300.0
0.021666666666666667,0.074232124,880.0,0.042312577,0.62110114,0.83867025,-5.487194,0.30833333333333335,0.20189255,0.10600114,43,4400.0
0.028333333333333332,0.0742211,900.0,0.039041553,0.38257885,0.83869666,-6.31988,0.19166666666666665,0.20192988,0.10603999,44,4500.0
0.016666666666666666,0.07415736,920.0,0.043465674,0.54813147,0.83868545,-6.4991226,0.3583333333333334,0.20193118,0.106059544,45,4600.0
0.018333333333333333,0.07410593,940.0,0.043963496,0.57369465,0.8386473,-7.2317505,0.2916666666666667,0.20188947,0.10617086,46,4700.0
0.024999999999999998,0.07404855,960.0,0.04168671,0.39388505,0.83870584,-7.137256,0.25,0.20184939,0.10638822,47,4800.0
0.015,0.07409357,980.0,0.041800138,0.48389688,0.83873147,-7.193602,0.3083333333333333,0.20186083,0.10654148,48,4900.0
0.025000000000000005,0.07419136,1000.0,0.0391994,0.5251698,0.83877045,-6.540142,0.325,0.2018979,0.106784165,49,5000.0
0.023333333333333334,0.07409349,1020.0,0.039646905,0.47248617,0.83876944,-7.8416405,0.25833333333333336,0.20191984,0.10687975,50,5100.0
0.011666666666666667,0.07417065,1040.0,0.040188905,0.5344427,0.8387766,-7.895372,0.2833333333333333,0.20189936,0.107044876,51,5200.0
0.02666666666666667,0.074126564,1060.0,0.03476772,0.4563775,0.83880097,-8.126084,0.24166666666666667,0.20189764,0.107260674,52,5300.0
0.015000000000000001,0.07407919,1080.0,0.03663349,0.46457168,0.8387813,-8.939309,0.2416666666666667,0.2018976,0.10747593,53,5400.0
0.02,0.074065305,1100.0,0.035063777,0.40716946,0.8387582,-8.693455,0.3666666666666667,0.20188002,0.107801825,54,5500.0
0.025000000000000005,0.07403949,1120.0,0.04119357,0.51025486,0.838764,-9.336175,0.35833333333333334,0.20186459,0.107978545,55,5600.0
0.026666666666666672,0.07421673,1140.0,0.039565805,0.54443187,0.83875483,-6.05876,0.3916666666666666,0.20189446,0.10819739,56,5700.0
0.011666666666666667,0.07423995,1160.0,0.04071032,0.56993365,0.8387806,-6.52446,0.3416666666666666,0.20188363,0.10821804,57,5800.0
0.021666666666666667,0.07417587,1180.0,0.04009505,0.42228994,0.8387429,-7.1597543,0.44166666666666665,0.20185418,0.108231865,58,5900.0
0.02,0.074198164,1200.0,0.0378307,0.5669891,0.83874613,-7.516811,0.4000000000000001,0.20187008,0.1082922,59,6000.0
