test/episode,stats_o/std,train/critic_loss,test/mean_Q,stats_o/mean,test/success_rate,train/episode,stats_g/mean,train/success_rate,test/ag_g_dist,epoch,stats_g/std
20.0,0.7552221,0.05885707,-2.7880561,0.19665891,0.0,100.0,0.382032,0.0,1.0456573,0,0.22390099
40.0,0.76164824,0.06452289,-4.7252965,0.19553407,0.0,200.0,0.3817483,0.0,0.974371,1,0.22513573
60.0,0.7665035,0.076894954,-6.669102,0.19357745,0.0,300.0,0.38203773,0.0,0.9843011,2,0.2262175
80.0,0.76840454,0.08196354,-8.609354,0.19382827,0.0,400.0,0.38125232,0.0,0.997215,3,0.22751649
100.0,0.7686326,0.09340632,-10.433213,0.19429451,0.008333333333333333,500.0,0.38099024,0.0,0.9764393,4,0.2289573
120.0,0.7699649,0.10631725,-12.437484,0.19504969,0.016666666666666666,600.0,0.38125166,0.0033333333333333335,0.9821268,5,0.22863282
140.0,0.77360183,0.11555269,-13.991611,0.1955157,0.0,700.0,0.3823216,0.0033333333333333335,1.0030521,6,0.22884278
160.0,0.7759096,0.13222583,-15.042534,0.19564204,0.0,800.0,0.38233757,0.0,0.8935128,7,0.22942881
180.0,0.7798796,0.12997116,-16.997955,0.19581401,0.008333333333333333,900.0,0.38242197,0.005,0.96230465,8,0.22952442
200.0,0.7834162,0.1401924,-18.126356,0.19599865,0.016666666666666666,1000.0,0.3822129,0.005,0.9565579,9,0.22995837
220.0,0.78689796,0.17436963,-20.255459,0.1960601,0.025000000000000005,1100.0,0.38178325,0.006666666666666667,0.9945359,10,0.23063095
240.0,0.7920461,0.1541741,-19.66862,0.19594307,0.025000000000000005,1200.0,0.382005,0.016666666666666666,0.8701148,11,0.23062678
260.0,0.7982621,0.17577125,-22.03657,0.19588105,0.03333333333333333,1300.0,0.38204393,0.013333333333333334,1.0038232,12,0.23054467
280.0,0.8047798,0.18133783,-21.074627,0.19584711,0.05833333333333333,1400.0,0.38167372,0.02,0.846586,13,0.23078407
300.0,0.81173944,0.18639632,-23.347631,0.19575952,0.041666666666666664,1500.0,0.38123563,0.024999999999999998,0.9275443,14,0.23124762
320.0,0.81778604,0.18832435,-23.106543,0.19569868,0.03333333333333333,1600.0,0.38095596,0.021666666666666667,0.8488839,15,0.23168607
340.0,0.82349104,0.19821775,-22.277079,0.19558851,0.05000000000000001,1700.0,0.38097057,0.021666666666666667,0.82171845,16,0.23189068
360.0,0.82940763,0.18454282,-26.102247,0.19549878,0.05000000000000001,1800.0,0.3808109,0.023333333333333334,0.9001333,17,0.23205547
380.0,0.83521503,0.21286695,-22.887316,0.19542156,0.041666666666666664,1900.0,0.3804643,0.028333333333333335,0.79902583,18,0.23236795
400.0,0.8414213,0.24083602,-24.757196,0.19538052,0.075,2000.0,0.3806261,0.025000000000000005,0.7987652,19,0.23244782
420.0,0.84777313,0.22499745,-27.769806,0.19511552,0.06666666666666667,2100.0,0.38059235,0.028333333333333335,0.88428354,20,0.23236383
440.0,0.85329014,0.25204268,-25.206533,0.19503199,0.025000000000000005,2200.0,0.3806491,0.02666666666666667,0.7693019,21,0.23250313
460.0,0.8588068,0.2878165,-24.926958,0.19481659,0.08333333333333333,2300.0,0.38086668,0.03,0.74303263,22,0.23242293
480.0,0.8645386,0.27171674,-24.908655,0.19467156,0.075,2400.0,0.38098988,0.045000000000000005,0.7628023,23,0.2322572
500.0,0.87008935,0.26980445,-20.885435,0.19467466,0.10000000000000002,2500.0,0.3811663,0.03333333333333333,0.63414836,24,0.23203294
520.0,0.87647647,0.29595,-22.15087,0.19446379,0.10000000000000002,2600.0,0.3812139,0.036666666666666674,0.6403268,25,0.23166321
540.0,0.8820596,0.2669244,-22.29922,0.19436319,0.16666666666666666,2700.0,0.38141298,0.036666666666666674,0.67540246,26,0.23146372
560.0,0.8871575,0.29997432,-22.876587,0.19436102,0.10833333333333334,2800.0,0.38155636,0.055,0.6464195,27,0.23124279
580.0,0.8923549,0.28835562,-21.233074,0.19425441,0.09999999999999999,2900.0,0.3816122,0.045000000000000005,0.5938726,28,0.23091774
600.0,0.8974142,0.3028418,-17.272217,0.1941003,0.1416666666666667,3000.0,0.38150772,0.051666666666666666,0.4786481,29,0.23068465
620.0,0.90221715,0.28630766,-19.419943,0.19399591,0.10833333333333334,3100.0,0.38185456,0.05000000000000001,0.5472208,30,0.23036872
640.0,0.90661925,0.28901216,-19.822693,0.1938063,0.1416666666666667,3200.0,0.3819944,0.051666666666666666,0.57792383,31,0.23021756
660.0,0.91111785,0.33096224,-14.913043,0.19360127,0.19166666666666665,3300.0,0.38198113,0.05166666666666667,0.42892194,32,0.2298532
680.0,0.91540027,0.3154811,-16.484337,0.19342053,0.26666666666666666,3400.0,0.38212368,0.06833333333333333,0.4646913,33,0.22955589
700.0,0.9194235,0.31807253,-15.308909,0.1931473,0.20000000000000004,3500.0,0.38232562,0.065,0.44195914,34,0.22932327
720.0,0.92327636,0.3101127,-16.104939,0.19305784,0.18333333333333335,3600.0,0.38244793,0.04833333333333333,0.4428203,35,0.22908938
740.0,0.92706615,0.30416384,-15.223615,0.19286478,0.17500000000000002,3700.0,0.38241765,0.07333333333333333,0.42410156,36,0.22886898
760.0,0.93077254,0.3059009,-14.697341,0.1927161,0.25,3800.0,0.38254538,0.06833333333333334,0.4244397,37,0.22864048
780.0,0.93409127,0.31942868,-20.28785,0.19264136,0.15,3900.0,0.38250104,0.06666666666666667,0.5809591,38,0.22845341
800.0,0.9373954,0.32357094,-16.844172,0.1925077,0.15000000000000002,4000.0,0.38257894,0.08333333333333333,0.4852643,39,0.22817795
820.0,0.9404661,0.35827518,-15.872726,0.1923603,0.225,4100.0,0.38262227,0.06,0.44913968,40,0.22789998
840.0,0.94337815,0.35271,-15.067761,0.19227548,0.21666666666666665,4200.0,0.38275817,0.07666666666666667,0.44565082,41,0.22766025
860.0,0.9460478,0.30169284,-16.051552,0.19212921,0.21666666666666667,4300.0,0.38291898,0.07166666666666667,0.45966578,42,0.22747932
880.0,0.9486842,0.29833785,-13.935277,0.19198154,0.21666666666666667,4400.0,0.38299438,0.08333333333333333,0.3900092,43,0.22723426
900.0,0.951173,0.34875333,-14.754082,0.19187553,0.2333333333333333,4500.0,0.3830881,0.085,0.44705167,44,0.22701462
920.0,0.9533588,0.31434867,-13.788505,0.19177829,0.15,4600.0,0.3830324,0.06833333333333334,0.40073755,45,0.22697012
940.0,0.95560426,0.36311343,-13.240987,0.19168645,0.25,4700.0,0.38308832,0.08166666666666667,0.39627838,46,0.22685875
960.0,0.95791197,0.35910025,-12.070394,0.19159724,0.25833333333333336,4800.0,0.38317284,0.07333333333333333,0.34860244,47,0.22672619
980.0,0.9598821,0.4071672,-12.923363,0.19151323,0.25,4900.0,0.3831582,0.09000000000000001,0.38525996,48,0.22668926
1000.0,0.9618495,0.39999616,-15.824851,0.19142596,0.19999999999999998,5000.0,0.38318864,0.10666666666666667,0.46246776,49,0.22645162
