train/episode,epoch,stats_g/mean,test/episode,stats_g/std,test/ag_g_dist,stats_o/std,train/critic_loss,stats_o/mean,test/success_rate,test/mean_Q,train/success_rate
100.0,0,0.67455786,20.0,0.019051075,0.09875371,0.6779925,0.019530086,0.32434076,0.0,-2.0476062,0.0
200.0,1,0.67497224,40.0,0.018761056,0.027492454,0.71964663,0.022851972,0.31992584,0.0,-1.5207895,0.0
300.0,2,0.6742223,60.0,0.018829858,0.030023811,0.77236253,0.020896994,0.31276587,0.0,-1.5839638,0.0
400.0,3,0.67400384,80.0,0.01867927,0.029313149,0.79337615,0.02021259,0.31087777,0.0,-1.9138632,0.0
500.0,4,0.6740808,100.0,0.018628728,0.04498708,0.8033604,0.01925144,0.31024626,0.0,-2.4614227,0.0
600.0,5,0.6741698,120.0,0.0183361,0.02507021,0.8093825,0.023044959,0.3104984,0.0,-2.04094,0.0
700.0,6,0.6742403,140.0,0.018210242,0.023899265,0.81557995,0.020879978,0.31009507,0.0,-1.9973664,0.0
800.0,7,0.6742222,160.0,0.018119471,0.023526857,0.8207419,0.02056248,0.3089753,0.0,-2.3041193,0.0
900.0,8,0.6743719,180.0,0.018090129,0.02427345,0.82385045,0.022196345,0.30866927,0.0,-2.3221352,0.0
1000.0,9,0.6744583,200.0,0.018225713,0.028021524,0.82573766,0.022781944,0.3086293,0.0,-2.273486,0.0
1100.0,10,0.674588,220.0,0.018291926,0.02302357,0.8267477,0.02159469,0.30873498,0.0,-2.1803486,0.0
1200.0,11,0.6746416,240.0,0.018243467,0.022000572,0.8281309,0.022441715,0.30855924,0.0,-2.2188823,0.0
1300.0,12,0.6746829,260.0,0.018192077,0.024855211,0.8288385,0.021314254,0.30859706,0.0,-2.7632573,0.0
1400.0,13,0.6747763,280.0,0.018178185,0.018791499,0.8303082,0.022453723,0.30846247,0.0,-2.4448607,0.0
1500.0,14,0.6749957,300.0,0.0183345,0.039897755,0.83221936,0.022045434,0.30847806,0.0,-2.5764415,0.0
1600.0,15,0.67501277,320.0,0.01839249,0.03414652,0.8331001,0.019791927,0.3079055,0.0,-2.662964,0.0
1700.0,16,0.6749627,340.0,0.018392688,0.031016098,0.8337466,0.020915648,0.30751333,0.0,-2.6984339,0.0
