train/episode,epoch,stats_g/mean,test/episode,stats_g/std,test/ag_g_dist,stats_o/std,train/critic_loss,stats_o/mean,test/success_rate,test/mean_Q,train/success_rate
1800.0,17,0.6749472,360.0,0.018380826,0.028502489,0.8343052,0.019832926,0.30724138,0.0,-3.126603,0.0
1900.0,18,0.6749552,380.0,0.018336453,0.024276534,0.8344628,0.021972014,0.30710933,0.0,-3.0957851,0.0
2000.0,19,0.6750677,400.0,0.018372351,0.031700686,0.83453846,0.023779927,0.30701518,0.0,-2.7559977,0.0
2100.0,20,0.6751755,420.0,0.01841629,0.0296109,0.83445054,0.019127512,0.306935,0.0,-4.130777,0.0
2200.0,21,0.6752611,440.0,0.018408155,0.03740053,0.8343113,0.021924382,0.30683497,0.0,-3.8380451,0.0
2300.0,22,0.6753549,460.0,0.018453604,0.037833035,0.83436275,0.022215689,0.30696747,0.0,-4.0440936,0.0
2400.0,23,0.6753935,480.0,0.018439436,0.04308324,0.8339816,0.024289967,0.3071449,0.0,-4.688366,0.0
2500.0,24,0.67537093,500.0,0.018454159,0.033206534,0.8339326,0.022732234,0.30719435,0.0,-3.4035237,0.0
2600.0,25,0.67535955,520.0,0.018468631,0.038784012,0.83398515,0.020683253,0.30735227,0.0,-4.069973,0.0
2700.0,26,0.67542404,540.0,0.018487524,0.041193586,0.83365434,0.020359458,0.30760238,0.0,-4.5935836,0.0
2800.0,27,0.6754876,560.0,0.018513435,0.042360898,0.83340806,0.018874867,0.30774596,0.0,-5.8607116,0.0
2900.0,28,0.6755832,580.0,0.018549694,0.05517453,0.83328986,0.023108235,0.30807826,0.0,-6.3761497,0.0
3000.0,29,0.67563605,600.0,0.018550029,0.039046753,0.8329738,0.02376388,0.3083555,0.0,-5.550917,0.0
3100.0,30,0.67568225,620.0,0.01854109,0.034705248,0.83249897,0.020300427,0.30871764,0.0,-5.867557,0.0
3200.0,31,0.6757062,640.0,0.018518325,0.036230188,0.8321293,0.02037028,0.30897602,0.0,-6.4887767,0.0
3300.0,32,0.67571944,660.0,0.01847937,0.036195904,0.8316634,0.020936467,0.30920735,0.0,-6.007047,0.0
3400.0,33,0.67572373,680.0,0.018441385,0.03473437,0.83124685,0.022161936,0.3093622,0.0,-6.385512,0.0
3500.0,34,0.675734,700.0,0.018413298,0.041911226,0.8307271,0.019104712,0.3093842,0.0,-8.361241,0.0
3600.0,35,0.6757496,720.0,0.018404532,0.047648475,0.8302147,0.02190251,0.3094253,0.0,-9.9607935,0.0
3700.0,36,0.67578524,740.0,0.018393287,0.043709774,0.82986575,0.019071596,0.30957198,0.0,-9.007951,0.0
3800.0,37,0.67580694,760.0,0.018379765,0.040629957,0.8294165,0.020920366,0.30965313,0.0,-8.767734,0.0
3900.0,38,0.6757974,780.0,0.018371038,0.049396485,0.8292601,0.020091357,0.3096517,0.0,-7.6166244,0.0
4000.0,39,0.6757701,800.0,0.018380282,0.039044663,0.829047,0.021948235,0.30960763,0.0,-9.898307,0.0
4100.0,40,0.6757743,820.0,0.018374829,0.034819707,0.828736,0.023364732,0.3095532,0.0,-7.6869826,0.0
4200.0,41,0.67578316,840.0,0.018350128,0.049428117,0.8284082,0.01900947,0.30950686,0.0,-12.1959915,0.0
4300.0,42,0.675806,860.0,0.01833448,0.037584513,0.8280899,0.021060763,0.3094907,0.0,-8.374481,0.0
4400.0,43,0.6758202,880.0,0.018317888,0.040489357,0.8279392,0.019247638,0.3094575,0.0,-9.41636,0.0
4500.0,44,0.6758315,900.0,0.01830285,0.040191535,0.8273859,0.02293432,0.30948696,0.0,-9.070992,0.0
4600.0,45,0.67584395,920.0,0.01828823,0.041771337,0.8268936,0.019298634,0.30956692,0.0,-9.98986,0.0
4700.0,46,0.6758482,940.0,0.018278288,0.040990055,0.8264498,0.018344888,0.30958682,0.0,-10.642899,0.0
4800.0,47,0.6758585,960.0,0.01826489,0.04404508,0.8260557,0.020425448,0.30962047,0.0,-11.137603,0.0
4900.0,48,0.67586404,980.0,0.01825117,0.041417565,0.825802,0.017661063,0.3096147,0.0,-10.426032,0.0
5000.0,49,0.6758706,1000.0,0.018236365,0.0417847,0.8255625,0.021543264,0.3096366,0.0,-10.499573,0.0
5100.0,50,0.6758787,1020.0,0.018220415,0.046059895,0.82501584,0.020758718,0.3096209,0.0,-12.3374605,0.0
5200.0,51,0.67588735,1040.0,0.018206127,0.047962207,0.824609,0.020557469,0.3096451,0.0,-13.488647,0.0
5300.0,52,0.6758988,1060.0,0.018195838,0.040347595,0.8242149,0.019586558,0.30965763,0.0,-9.915227,0.0
5400.0,53,0.675911,1080.0,0.018192371,0.04815833,0.82367986,0.019661216,0.30967414,0.0,-10.866847,0.0
5500.0,54,0.6759141,1100.0,0.018186426,0.04982485,0.82318956,0.02037212,0.30969703,0.0,-11.806254,0.0
5600.0,55,0.6759346,1120.0,0.01819064,0.042628046,0.82274073,0.019666689,0.30974323,0.0,-11.275128,0.0
5700.0,56,0.6759434,1140.0,0.01818012,0.048671763,0.8224514,0.022141485,0.3097807,0.0,-12.72832,0.0
5800.0,57,0.6759403,1160.0,0.018171985,0.03462006,0.8219864,0.020999134,0.30973879,0.0,-8.700046,0.0
5900.0,58,0.6759327,1180.0,0.018160231,0.037546296,0.8216605,0.020793224,0.30977264,0.0,-9.807671,0.0
6000.0,59,0.67593545,1200.0,0.018150175,0.034190226,0.8213543,0.020695902,0.30981752,0.0,-9.111024,0.0
