stats_o/mean,stats_g/mean,train/success_rate,train/episode,stats_g/std,epoch,test/success_rate,test/mean_Q,test/episode,train/critic_loss,test/ag_g_dist,stats_o/std
0.32375756,0.67435056,0.0,100.0,0.019053956,0,0.09166666666666667,-1.8574394,20.0,0.042371582,0.044219654,0.6995296
0.31597567,0.6739586,0.0033333333333333335,200.0,0.018521164,1,0.14166666666666666,-1.461083,40.0,0.046619758,0.02538308,0.76892954
0.3129438,0.6737643,0.005,300.0,0.0182816,2,0.08333333333333333,-1.6648291,60.0,0.04657972,0.028438643,0.7978223
0.3114023,0.67369336,0.0016666666666666668,400.0,0.018097753,3,0.15,-2.103913,80.0,0.04444329,0.029722862,0.8109862
0.31104943,0.6741094,0.006666666666666667,500.0,0.01807871,4,0.13333333333333333,-2.6904767,100.0,0.04329009,0.04672228,0.8143169
0.31008878,0.6742143,0.0033333333333333335,600.0,0.018103493,5,0.08333333333333333,-2.8815758,120.0,0.051560145,0.033128127,0.81592387
0.31020182,0.67438203,0.005,700.0,0.01827725,6,0.09166666666666667,-2.8637798,140.0,0.049384337,0.039884783,0.81711864
0.31070957,0.6743519,0.005,800.0,0.018420232,7,0.20833333333333334,-3.7963886,160.0,0.045798894,0.050000567,0.81915826
0.31112602,0.6743901,0.0033333333333333335,900.0,0.018446418,8,0.11666666666666665,-3.5706823,180.0,0.047393855,0.050437137,0.82002944
0.31071913,0.67429227,0.0033333333333333335,1000.0,0.018477943,9,0.21666666666666667,-3.5790608,200.0,0.049755234,0.035384715,0.8197243
0.31053567,0.67441535,0.015,1100.0,0.01849189,10,0.2333333333333333,-4.16433,220.0,0.045461584,0.03193628,0.81945246
0.3099334,0.6744387,0.013333333333333334,1200.0,0.018507075,11,0.275,-4.0545206,240.0,0.047881562,0.030176774,0.8203643
0.30970958,0.6744533,0.0016666666666666668,1300.0,0.018514996,12,0.25,-5.0147634,260.0,0.0465268,0.04139893,0.81977576
0.3098036,0.6745997,0.006666666666666667,1400.0,0.018545484,13,0.2833333333333334,-3.945821,280.0,0.048874885,0.033426642,0.819547
0.3098753,0.674774,0.005,1500.0,0.018553337,14,0.17500000000000002,-5.5506988,300.0,0.050566327,0.04344764,0.81921357
0.30990475,0.6749432,0.006666666666666667,1600.0,0.018550597,15,0.2916666666666667,-5.341495,320.0,0.043803632,0.039045263,0.81876546
0.3099318,0.67503065,0.011666666666666665,1700.0,0.018520202,16,0.31666666666666665,-5.937243,340.0,0.046305478,0.038676813,0.81825995
0.30994982,0.6751031,0.011666666666666665,1800.0,0.018516336,17,0.3333333333333333,-7.260588,360.0,0.042991657,0.046467263,0.8180389
0.31009984,0.6751976,0.0033333333333333335,1900.0,0.018528495,18,0.225,-6.8562202,380.0,0.04495122,0.042281736,0.81785005
0.3101496,0.67530376,0.0016666666666666668,2000.0,0.018539064,19,0.2333333333333333,-6.9640903,400.0,0.053734,0.040652607,0.8177417
0.3102408,0.6753592,0.006666666666666667,2100.0,0.0185472,20,0.21666666666666667,-8.856525,420.0,0.04132384,0.04760015,0.8173637
