stats_o/mean,stats_g/mean,train/success_rate,train/episode,stats_g/std,epoch,test/success_rate,test/mean_Q,test/episode,train/critic_loss,test/ag_g_dist,stats_o/std
0.31018922,0.6753531,0.0033333333333333335,2200.0,0.018576467,21,0.2333333333333333,-7.5532813,440.0,0.046933506,0.031252306,0.8173029
0.30995813,0.67534214,0.0016666666666666668,2300.0,0.018532833,22,0.27499999999999997,-7.175368,460.0,0.046290074,0.031955067,0.8175896
0.30972913,0.6753414,0.01,2400.0,0.018496549,23,0.2916666666666667,-9.207469,480.0,0.050807115,0.02922841,0.81775165
0.30955896,0.6753691,0.016666666666666666,2500.0,0.018468538,24,0.45,-6.049605,500.0,0.048198104,0.02514649,0.81765074
0.3095379,0.6753809,0.005,2600.0,0.018443717,25,0.3833333333333333,-7.618811,520.0,0.042201925,0.030586487,0.81756455
0.30955285,0.67542624,0.005,2700.0,0.01840514,26,0.3666666666666667,-8.429296,540.0,0.045650277,0.031933103,0.81740254
0.30952537,0.67547566,0.01,2800.0,0.018373482,27,0.2333333333333333,-10.198911,560.0,0.041508995,0.038450424,0.81729573
0.30958197,0.67552775,0.006666666666666667,2900.0,0.018344434,28,0.18333333333333332,-9.706992,580.0,0.04869764,0.0351782,0.81711197
0.30959612,0.67557067,0.008333333333333333,3000.0,0.01833243,29,0.2916666666666667,-9.008683,600.0,0.047930893,0.03351673,0.817097
0.3095776,0.6755969,0.005,3100.0,0.018306602,30,0.3416666666666666,-8.569911,620.0,0.045449678,0.036826685,0.81682664
0.30964383,0.6756384,0.006666666666666667,3200.0,0.018299697,31,0.35000000000000003,-9.975194,640.0,0.045066033,0.040379424,0.8165485
0.30974117,0.6756775,0.011666666666666667,3300.0,0.018274698,32,0.3416666666666666,-8.553219,660.0,0.041714877,0.033758458,0.8164299
0.30982977,0.6757074,0.011666666666666667,3400.0,0.018261353,33,0.325,-8.501873,680.0,0.048680753,0.035969596,0.81646055
0.3098598,0.67576194,0.016666666666666666,3500.0,0.018291501,34,0.20833333333333334,-10.80529,700.0,0.04152828,0.04336111,0.8164218
0.30994117,0.6758022,0.005,3600.0,0.01829463,35,0.18333333333333335,-13.298932,720.0,0.044764906,0.054723542,0.81610465
0.3100624,0.67583996,0.005,3700.0,0.018286211,36,0.325,-12.128628,740.0,0.043125898,0.049765125,0.81597155
0.3101337,0.6758702,0.0016666666666666668,3800.0,0.018272895,37,0.25,-11.500047,760.0,0.046034306,0.043555576,0.81581444
0.31014758,0.6758835,0.005,3900.0,0.018257983,38,0.3333333333333333,-9.971339,780.0,0.044070855,0.039330795,0.815749
0.31022364,0.6759017,0.021666666666666667,4000.0,0.01824353,39,0.3666666666666667,-12.584195,800.0,0.048194204,0.04511362,0.81552523
0.3102704,0.6759158,0.008333333333333333,4100.0,0.018231388,40,0.35833333333333334,-10.054114,820.0,0.05187133,0.035770413,0.8153866
0.31029204,0.6759252,0.005,4200.0,0.01821348,41,0.21666666666666665,-14.878886,840.0,0.03908812,0.051449,0.81533796
0.31033808,0.6759464,0.006666666666666667,4300.0,0.01820409,42,0.2416666666666667,-10.217492,860.0,0.043138046,0.039500926,0.8154304
0.31033352,0.6759651,0.018333333333333337,4400.0,0.01818839,43,0.225,-11.397422,880.0,0.04295951,0.04252109,0.8156168
0.310401,0.67598313,0.006666666666666667,4500.0,0.018180687,44,0.26666666666666666,-10.812106,900.0,0.04829109,0.040702585,0.8153303
0.31048813,0.6760003,0.008333333333333333,4600.0,0.018173164,45,0.26666666666666666,-11.960605,920.0,0.04130565,0.043610036,0.81519526
0.3105075,0.6760127,0.0016666666666666668,4700.0,0.018166702,46,0.3499999999999999,-12.404042,940.0,0.04008184,0.04273994,0.8149829
0.3105284,0.6760245,0.006666666666666667,4800.0,0.018156776,47,0.375,-12.7130785,960.0,0.04328139,0.044729207,0.8148828
0.31051287,0.6760405,0.008333333333333333,4900.0,0.018147437,48,0.3416666666666666,-11.9995165,980.0,0.040721778,0.042778928,0.8148872
0.31055784,0.67605525,0.008333333333333333,5000.0,0.01814481,49,0.2333333333333333,-11.963595,1000.0,0.04481064,0.0434538,0.8149064
0.31054634,0.67606515,0.008333333333333333,5100.0,0.018138088,50,0.3416666666666666,-13.935097,1020.0,0.045485616,0.0455223,0.8147051
0.31056377,0.6760749,0.005,5200.0,0.018129906,51,0.24166666666666667,-15.010898,1040.0,0.045477536,0.048395474,0.81459045
0.31057927,0.6760862,0.008333333333333333,5300.0,0.018123306,52,0.225,-11.576299,1060.0,0.045427132,0.04201517,0.8144329
0.31056446,0.67609024,0.0016666666666666668,5400.0,0.018120658,53,0.2833333333333333,-12.09739,1080.0,0.04520457,0.043883342,0.8140929
0.31055704,0.6760861,0.011666666666666665,5500.0,0.018110178,54,0.2916666666666667,-13.209836,1100.0,0.04628255,0.043563336,0.8138165
0.31051284,0.6760916,0.006666666666666667,5600.0,0.01810494,55,0.20833333333333334,-12.397647,1120.0,0.044966295,0.042098086,0.81351966
0.31049728,0.67609954,0.0033333333333333335,5700.0,0.018091388,56,0.425,-14.110786,1140.0,0.046723854,0.043198515,0.8134878
0.31045663,0.6761063,0.008333333333333333,5800.0,0.018092133,57,0.3083333333333333,-9.832376,1160.0,0.04401645,0.03864863,0.813222
0.31048602,0.67612046,0.005,5900.0,0.01808714,58,0.225,-10.585101,1180.0,0.04355435,0.0397809,0.81310886
0.31050995,0.67614055,0.006666666666666667,6000.0,0.018085444,59,0.3666666666666667,-9.998767,1200.0,0.046703998,0.036219466,0.81300324
