train/success_rate,train/critic_loss,stats_o/std,stats_g/std,train/episode,test/reward_compute_count,test/success_rate,stats_g/mean,test/mean_Q,test/episode,epoch,test/ag_g_dist,train/reward_compute_count,stats_o/mean
0.0,0.13143007,0.761554,0.23291759,100.0,1000.0,0.0,0.36842582,-2.587262,20.0,0,0.9815402,5000.0,0.1977772
0.0,0.14103836,0.7640179,0.23289101,200.0,2000.0,0.0,0.37189576,-4.5760007,40.0,1,0.9982274,10000.0,0.19746749
0.0016666666666666668,0.14825408,0.7638913,0.23332624,300.0,3000.0,0.0,0.37297162,-6.343347,60.0,2,0.9844726,15000.0,0.1975383
0.0,0.14652543,0.7640948,0.23305552,400.0,4000.0,0.0,0.3732023,-8.366544,80.0,3,1.0380418,20000.0,0.19820519
0.0,0.15201867,0.7661002,0.23224477,500.0,5000.0,0.0,0.37270603,-9.393373,100.0,4,0.9575955,25000.0,0.19823654
0.0016666666666666668,0.1545439,0.7683814,0.23239835,600.0,6000.0,0.0,0.37407914,-10.728673,120.0,5,0.9759872,30000.0,0.19878252
0.0,0.15893002,0.7714221,0.23245645,700.0,7000.0,0.0,0.3744289,-12.788842,140.0,6,1.0517284,35000.0,0.19909966
0.0,0.16318619,0.77408624,0.23221688,800.0,8000.0,0.0,0.37397918,-13.822673,160.0,7,0.9942729,40000.0,0.19882305
0.0,0.15550117,0.7771639,0.23208328,900.0,9000.0,0.016666666666666666,0.374486,-14.82455,180.0,8,0.94151706,45000.0,0.19893958
0.0016666666666666668,0.17308927,0.780399,0.23255418,1000.0,10000.0,0.016666666666666666,0.37424436,-16.047293,200.0,9,1.0407718,50000.0,0.19847389
0.0,0.16125606,0.7825138,0.23328364,1100.0,11000.0,0.008333333333333333,0.373813,-16.74058,220.0,10,1.0052396,55000.0,0.19834745
0.0016666666666666668,0.16591011,0.78572875,0.23388927,1200.0,12000.0,0.016666666666666666,0.37359622,-17.080406,240.0,11,1.0184036,60000.0,0.1984059
0.005,0.17000194,0.7897362,0.23448662,1300.0,13000.0,0.0,0.37303105,-17.891714,260.0,12,0.9572706,65000.0,0.19837402
0.0033333333333333335,0.17813909,0.7929132,0.23463766,1400.0,14000.0,0.0,0.37309036,-19.071346,280.0,13,1.0082198,70000.0,0.1982779
0.0016666666666666668,0.17455961,0.79649997,0.23475869,1500.0,15000.0,0.0,0.3732383,-19.969032,300.0,14,1.0495074,75000.0,0.19832988
0.01,0.1889162,0.8005969,0.23480134,1600.0,16000.0,0.03333333333333333,0.37353483,-19.505854,320.0,15,0.9233942,80000.0,0.19831903
0.011666666666666667,0.18613274,0.80432755,0.23493002,1700.0,17000.0,0.05000000000000001,0.3738649,-20.077192,340.0,16,0.92232156,85000.0,0.19820885
0.015,0.19781597,0.8087849,0.23482268,1800.0,18000.0,0.041666666666666664,0.37393317,-20.515179,360.0,17,0.94386196,90000.0,0.19785814
0.015000000000000001,0.19128118,0.813332,0.23507978,1900.0,19000.0,0.03333333333333333,0.37362096,-20.603296,380.0,18,0.8992993,95000.0,0.19763426
0.006666666666666667,0.20409198,0.8184965,0.2350315,2000.0,20000.0,0.05833333333333333,0.37371388,-20.23176,400.0,19,0.8598767,100000.0,0.19723254
0.01,0.19990282,0.8229225,0.2350245,2100.0,21000.0,0.025000000000000005,0.37384668,-20.429926,420.0,20,0.87066907,105000.0,0.19710082
0.011666666666666665,0.21925764,0.82729524,0.23496099,2200.0,22000.0,0.06666666666666667,0.37383756,-20.638872,440.0,21,0.8561757,110000.0,0.19693564
0.015,0.20634033,0.83192044,0.23482682,2300.0,23000.0,0.03333333333333333,0.37419322,-21.202894,460.0,22,0.8888002,115000.0,0.19702484
0.016666666666666666,0.20707218,0.8362868,0.23469402,2400.0,24000.0,0.06666666666666667,0.37424096,-20.663923,480.0,23,0.82895064,120000.0,0.1970101
0.018333333333333333,0.21202137,0.8409548,0.23456337,2500.0,25000.0,0.05833333333333334,0.37409082,-19.335474,500.0,24,0.7663824,125000.0,0.19660817
0.013333333333333334,0.23186086,0.8456035,0.2343113,2600.0,26000.0,0.025000000000000005,0.37433675,-21.298843,520.0,25,0.8698156,130000.0,0.1962953
0.02,0.2384568,0.85025716,0.23398633,2700.0,27000.0,0.10000000000000002,0.37447873,-19.337662,540.0,26,0.7459088,135000.0,0.19586916
0.024999999999999998,0.2566977,0.8549847,0.23376276,2800.0,28000.0,0.06666666666666667,0.37452927,-18.537256,560.0,27,0.7239855,140000.0,0.19550927
0.025000000000000005,0.24188368,0.85958344,0.23343576,2900.0,29000.0,0.05000000000000001,0.3747038,-19.81122,580.0,28,0.77798873,145000.0,0.1951745
0.023333333333333334,0.27168024,0.86394304,0.23321955,3000.0,30000.0,0.05833333333333334,0.3748326,-20.454453,600.0,29,0.79037684,150000.0,0.19480097
0.013333333333333334,0.24912004,0.86815405,0.2330441,3100.0,31000.0,0.08333333333333333,0.3746406,-17.22574,620.0,30,0.6622292,155000.0,0.19443364
0.02,0.2448829,0.87217814,0.23290981,3200.0,32000.0,0.03333333333333333,0.37468138,-19.080408,640.0,31,0.7378313,160000.0,0.19411379
0.01833333333333333,0.22877653,0.87616116,0.2326694,3300.0,33000.0,0.06666666666666667,0.3748457,-18.672943,660.0,32,0.7481015,165000.0,0.19386451
0.023333333333333334,0.22572567,0.8797324,0.23249336,3400.0,34000.0,0.03333333333333333,0.3748071,-20.570772,680.0,33,0.7822351,170000.0,0.19364621
0.021666666666666667,0.23300385,0.8835356,0.23219965,3500.0,35000.0,0.025000000000000005,0.37487313,-19.81501,700.0,34,0.7853818,175000.0,0.19328646
0.02666666666666667,0.22767241,0.8871049,0.23198779,3600.0,36000.0,0.05833333333333333,0.37469116,-17.038994,720.0,35,0.63781786,180000.0,0.1928507
0.028333333333333335,0.24410708,0.89036363,0.23172306,3700.0,37000.0,0.075,0.374819,-15.893319,740.0,36,0.6204818,185000.0,0.19260997
0.035,0.23440629,0.8935402,0.23146959,3800.0,38000.0,0.08333333333333333,0.37479994,-17.955175,760.0,37,0.6701579,190000.0,0.19230483
0.035,0.2573929,0.8966481,0.23125069,3900.0,39000.0,0.08333333333333333,0.37486497,-17.189146,780.0,38,0.6768732,195000.0,0.19209094
0.028333333333333335,0.27981132,0.89964294,0.230974,4000.0,40000.0,0.08333333333333333,0.3748689,-17.426992,800.0,39,0.71313924,200000.0,0.19187553
0.03166666666666667,0.25425306,0.9027149,0.23060896,4100.0,41000.0,0.09166666666666667,0.37508485,-15.467729,820.0,40,0.6257622,205000.0,0.19157822
0.021666666666666667,0.27966648,0.9055149,0.23032427,4200.0,42000.0,0.125,0.37533602,-16.53621,840.0,41,0.6924882,210000.0,0.19137752
0.02,0.23796226,0.9080768,0.23018102,4300.0,43000.0,0.10833333333333334,0.37538072,-16.049465,860.0,42,0.65899783,215000.0,0.1910337
0.03,0.32008407,0.9106495,0.23000102,4400.0,44000.0,0.06666666666666667,0.37541345,-17.37734,880.0,43,0.7131823,220000.0,0.19074684
0.03166666666666667,0.21888573,0.9131119,0.22973318,4500.0,45000.0,0.03333333333333333,0.3755571,-15.858482,900.0,44,0.6657477,225000.0,0.19054253
0.043333333333333335,0.24185383,0.91524243,0.22958441,4600.0,46000.0,0.08333333333333333,0.37569138,-14.9233465,920.0,45,0.62831044,230000.0,0.19033308
0.04,0.23108657,0.9172364,0.22941546,4700.0,47000.0,0.08333333333333333,0.37574092,-16.928263,940.0,46,0.7019801,235000.0,0.1899058
0.04833333333333334,0.28496686,0.9194155,0.2291795,4800.0,48000.0,0.08333333333333333,0.37597546,-17.353905,960.0,47,0.70124644,240000.0,0.18953715
0.023333333333333334,0.27949354,0.92153376,0.22897922,4900.0,49000.0,0.10833333333333334,0.37621227,-15.8845,980.0,48,0.6265715,245000.0,0.18926863
0.03,0.26786783,0.92357606,0.22883575,5000.0,50000.0,0.13333333333333333,0.37617597,-13.361114,1000.0,49,0.55464107,250000.0,0.18907177
0.03166666666666667,0.3350563,0.92549235,0.22862625,5100.0,51000.0,0.05833333333333334,0.37627944,-15.236389,1020.0,50,0.65635926,255000.0,0.18888266
0.055,0.26354548,0.927329,0.22844458,5200.0,52000.0,0.125,0.3763709,-13.032836,1040.0,51,0.58943295,260000.0,0.18866056
