stats_g/mean,train/success_rate,test/ag_g_dist,test/episode,train/episode,test/mean_Q,test/success_rate,epoch,stats_o/mean,stats_g/std,train/critic_loss,stats_o/std
0.8574567,0.05499999999999999,0.17464869,20.0,100.0,-2.8608391,0.10000000000000002,0,0.20121302,0.0768837,0.00067735574,0.044473376
0.85739607,0.08333333333333333,0.181446,40.0,200.0,-4.9105773,0.016666666666666666,1,0.20110773,0.07547761,0.0005365243,0.042292714
0.857369,0.06666666666666667,0.16599251,60.0,300.0,-6.9732494,0.041666666666666664,2,0.20101392,0.074336715,0.00036157575,0.040640246
0.85812587,0.06833333333333334,0.17553525,80.0,400.0,-8.949111,0.06666666666666667,3,0.20119675,0.0739674,0.0004875034,0.039731253
0.85886836,0.07333333333333335,0.1778245,100.0,500.0,-10.869606,0.049999999999999996,4,0.20138943,0.073722295,0.00019527339,0.039262835
0.8589576,0.06666666666666667,0.16249378,120.0,600.0,-12.73799,0.075,5,0.20143326,0.073505536,0.00038878896,0.03879142
0.8589569,0.05833333333333333,0.16365758,140.0,700.0,-14.493489,0.09166666666666667,6,0.20144628,0.07331782,0.0009899266,0.03854345
0.85921556,0.075,0.1706932,160.0,800.0,-16.193552,0.09166666666666667,7,0.2014926,0.073422305,0.0006609731,0.038635667
0.8592228,0.055,0.16722286,180.0,900.0,-17.796541,0.075,8,0.20150448,0.073307924,0.00043817607,0.038549487
0.8591361,0.075,0.18175781,200.0,1000.0,-19.301561,0.08333333333333333,9,0.20146446,0.07323871,0.001465177,0.038514767
0.85882425,0.08166666666666668,0.1693301,220.0,1100.0,-20.771368,0.08333333333333333,10,0.20136069,0.073126435,0.0009627827,0.03843564
0.8587797,0.07,0.15560913,240.0,1200.0,-22.165548,0.10000000000000002,11,0.20136231,0.07307192,0.00064903277,0.038226727
0.85890156,0.06,0.15986742,260.0,1300.0,-23.513885,0.06666666666666667,12,0.20139492,0.073010504,0.00084421784,0.03806494
0.85882425,0.075,0.17973137,280.0,1400.0,-24.817785,0.03333333333333333,13,0.2013853,0.07289756,0.000649436,0.03804948
0.8587373,0.06333333333333334,0.16694479,300.0,1500.0,-26.01414,0.041666666666666664,14,0.20135958,0.072897665,0.0008529345,0.03810608
0.8586095,0.07333333333333335,0.17704745,320.0,1600.0,-27.150671,0.09166666666666667,15,0.20132379,0.07285816,0.00043529482,0.03801974
0.8585722,0.04666666666666667,0.1673503,340.0,1700.0,-28.239199,0.05833333333333333,16,0.20130686,0.07282364,0.002422021,0.03790239
0.8586702,0.08333333333333333,0.17520519,360.0,1800.0,-29.304182,0.041666666666666664,17,0.20132762,0.07289496,0.00033017644,0.03825436
0.8585672,0.085,0.17506342,380.0,1900.0,-30.300644,0.05833333333333334,18,0.20129232,0.07287637,0.000773973,0.038247656
0.8585116,0.07500000000000001,0.16660887,400.0,2000.0,-31.244444,0.08333333333333333,19,0.20127194,0.072828166,0.00077355886,0.038216688
0.85850996,0.06333333333333334,0.17052336,420.0,2100.0,-32.107826,0.06666666666666667,20,0.20128791,0.072992854,0.002590656,0.038506195
0.8584995,0.06166666666666667,0.16844481,440.0,2200.0,-33.00082,0.08333333333333333,21,0.20127253,0.07298045,0.00044698993,0.038385477
0.8583133,0.06333333333333334,0.17727761,460.0,2300.0,-33.801582,0.05833333333333334,22,0.20122282,0.073175766,0.002362341,0.038617928
0.8582069,0.06333333333333334,0.1804351,480.0,2400.0,-34.621326,0.06666666666666667,23,0.2011984,0.07321084,0.0007419341,0.038728166
0.85834676,0.06666666666666667,0.17021318,500.0,2500.0,-35.371403,0.09999999999999999,24,0.20123774,0.073188744,0.00236184,0.0387045
0.8584051,0.05833333333333333,0.17449975,520.0,2600.0,-36.0481,0.05000000000000001,25,0.20125778,0.07314995,0.00082108396,0.038652387
0.85835886,0.08666666666666667,0.17029743,540.0,2700.0,-36.746304,0.075,26,0.20124869,0.07314043,0.0018226405,0.038607467
0.85824865,0.065,0.15678422,560.0,2800.0,-37.370148,0.11666666666666665,27,0.20120889,0.07309478,0.00093501137,0.038580064
0.8582223,0.051666666666666666,0.18131836,580.0,2900.0,-38.00983,0.041666666666666664,28,0.20121302,0.07308088,0.0009989925,0.038678247
0.8581743,0.075,0.18085118,600.0,3000.0,-38.59152,0.041666666666666664,29,0.2011954,0.07307624,0.00069433334,0.038761497
