test/success_rate,stats_g/mean,train/episode,test/ag_g_dist,stats_o/std,stats_o/mean,train/critic_loss,train/success_rate,epoch,test/mean_Q,test/episode,stats_g/std
0.10000000000000002,0.83757716,100.0,0.17522605,0.042757794,0.20125729,0.043178897,0.051666666666666666,0,-2.0317528,20.0,0.07101892
0.016666666666666666,0.8373595,200.0,0.18228197,0.04273193,0.20117438,0.042636912,0.08166666666666667,1,-4.118468,40.0,0.070684955
0.041666666666666664,0.8373866,300.0,0.16842031,0.04333854,0.20118964,0.037713744,0.07,2,-5.916761,60.0,0.07054855
0.06666666666666667,0.83799624,400.0,0.17898937,0.049505424,0.2016272,0.04328053,0.06833333333333334,3,-7.654718,80.0,0.07316904
0.075,0.8387559,500.0,0.18169504,0.052494448,0.20168455,0.041935604,0.08,4,-9.564011,100.0,0.07509759
0.10833333333333334,0.838712,600.0,0.16461106,0.054780126,0.20178454,0.04181422,0.075,5,-10.706104,120.0,0.077658825
0.15,0.8385536,700.0,0.17261903,0.05742879,0.20177357,0.046095952,0.09500000000000001,6,-11.702054,140.0,0.0789034
0.16666666666666666,0.8388555,800.0,0.16820073,0.05935679,0.20175771,0.04845984,0.13166666666666668,7,-12.153892,160.0,0.08006384
0.25833333333333336,0.83882326,900.0,0.15755612,0.06220506,0.20147152,0.055878293,0.19166666666666665,8,-11.860778,180.0,0.08018368
0.325,0.8386758,1000.0,0.16632925,0.06472344,0.20130593,0.06073447,0.3216666666666666,9,-10.97596,200.0,0.07979229
0.6166666666666667,0.8385753,1100.0,0.11205366,0.06877938,0.2010818,0.06012836,0.5233333333333333,10,-6.092842,220.0,0.07925343
0.7916666666666666,0.8386484,1200.0,0.06698065,0.072311774,0.2011861,0.06989717,0.7000000000000001,11,-2.8807657,240.0,0.0782455
0.9499999999999998,0.8386872,1300.0,0.060427606,0.07656604,0.20117168,0.09438661,0.7516666666666666,12,-1.7114094,260.0,0.077787764
0.9583333333333334,0.838479,1400.0,0.06271208,0.079640016,0.20098774,0.06469774,0.8533333333333334,13,-1.8871679,280.0,0.077471025
0.9333333333333335,0.8383193,1500.0,0.05968867,0.08276124,0.2009242,0.08026644,0.8433333333333334,14,-1.6620737,300.0,0.07747301
0.9833333333333334,0.838407,1600.0,0.05899829,0.085586846,0.20096558,0.06320237,0.8516666666666666,15,-1.4643399,320.0,0.07707866
0.9666666666666667,0.8384426,1700.0,0.05965511,0.08780684,0.20085518,0.058105856,0.9116666666666667,16,-1.5229816,340.0,0.07667013
0.9666666666666667,0.83857876,1800.0,0.061852217,0.089080244,0.20091633,0.06312008,0.9383333333333334,17,-1.6509813,360.0,0.076265395
0.9916666666666667,0.8386538,1900.0,0.060223952,0.09011689,0.20095986,0.071470685,0.9416666666666668,18,-1.4837185,380.0,0.07577467
0.9666666666666667,0.8386634,2000.0,0.061314296,0.09138146,0.20096956,0.050657153,0.9233333333333333,19,-1.2743732,400.0,0.075570785
0.9833333333333334,0.8386304,2100.0,0.05805676,0.092713095,0.20110674,0.07182858,0.9233333333333333,20,-1.3553624,420.0,0.075355135
0.9916666666666667,0.83868724,2200.0,0.057473153,0.09392261,0.20123285,0.058131713,0.945,21,-1.1227164,440.0,0.07519253
0.9583333333333334,0.8386043,2300.0,0.060801744,0.09469394,0.20129825,0.08326737,0.9416666666666668,22,-1.4217988,460.0,0.07479791
0.9916666666666667,0.8386176,2400.0,0.055500984,0.095588826,0.20147009,0.053066898,0.9366666666666666,23,-1.0701183,480.0,0.07477669
0.9916666666666667,0.8386871,2500.0,0.05684617,0.09650888,0.20163332,0.06264047,0.9366666666666666,24,-1.212707,500.0,0.07485909
0.975,0.83866197,2600.0,0.05804233,0.09725908,0.2017258,0.06297334,0.9533333333333333,25,-1.2703317,520.0,0.07464244
0.9916666666666667,0.8386045,2700.0,0.0551187,0.098111086,0.20183665,0.054034423,0.9533333333333333,26,-1.0324291,540.0,0.074418776
1.0,0.8386886,2800.0,0.050620217,0.09848285,0.20188971,0.048556518,0.9466666666666667,27,-0.9473501,560.0,0.07418197
1.0,0.8386507,2900.0,0.053533703,0.09885273,0.20193098,0.051882375,0.9616666666666666,28,-1.0425218,580.0,0.07400646
0.9916666666666667,0.838595,3000.0,0.05703373,0.09924975,0.20193352,0.05655134,0.9500000000000001,29,-1.0753484,600.0,0.073985554
