test/mean_Q,test/success_rate,stats_g/mean,train/episode,stats_o/std,stats_o/mean,stats_g/std,train/success_rate,train/critic_loss,test/episode,test/ag_g_dist,epoch
-2.6112602,0.10000000000000002,0.85770726,100.0,0.040623005,0.20107694,0.073960304,0.05333333333333334,0.1351457,20.0,0.17464878,0
-4.7999682,0.016666666666666666,0.857575,200.0,0.04482062,0.20103903,0.07565688,0.08166666666666667,0.14397344,40.0,0.18145223,1
-6.5261893,0.041666666666666664,0.85747004,300.0,0.043380838,0.20099641,0.074835666,0.06,0.17092262,60.0,0.16626719,2
-8.348517,0.06666666666666667,0.858195,400.0,0.04347853,0.2011755,0.074759915,0.06666666666666667,0.1791919,80.0,0.17571919,3
-10.290147,0.03333333333333333,0.85894424,500.0,0.04405744,0.20129997,0.074712,0.075,0.15794177,100.0,0.17978866,4
-11.592793,0.08333333333333333,0.8590302,600.0,0.04459637,0.20137237,0.075269684,0.065,0.15922694,120.0,0.16371481,5
-12.847613,0.09999999999999999,0.85908085,700.0,0.0458537,0.20140427,0.07569521,0.06333333333333334,0.1480032,140.0,0.1657842,6
-13.667835,0.125,0.8592684,800.0,0.048164967,0.20151222,0.07713959,0.07833333333333334,0.16228648,160.0,0.17097946,7
-14.8206,0.11666666666666665,0.85951114,900.0,0.050782647,0.20158951,0.07824198,0.09166666666666667,0.1989786,180.0,0.16626026,8
-14.165913,0.19999999999999998,0.85994524,1000.0,0.054185133,0.20162304,0.0790781,0.13,0.20178844,200.0,0.16974638,9
-14.974719,0.16666666666666666,0.8602547,1100.0,0.05621929,0.20169632,0.07953181,0.20666666666666667,0.2558234,220.0,0.15624142,10
-14.179707,0.27499999999999997,0.8607289,1200.0,0.058552105,0.20179217,0.07999499,0.20999999999999996,0.21539772,240.0,0.14740108,11
-12.620087,0.35833333333333334,0.8613097,1300.0,0.06191595,0.20206839,0.08040541,0.235,0.1894334,260.0,0.13258266,12
-14.243149,0.31666666666666665,0.86164063,1400.0,0.06607553,0.20228235,0.08133903,0.2866666666666667,0.2170343,280.0,0.15220393,13
-9.4813595,0.6,0.8618714,1500.0,0.06970476,0.2025278,0.081983,0.415,0.20281817,300.0,0.10924501,14
-8.131406,0.6666666666666666,0.8619964,1600.0,0.07325222,0.20260285,0.08205838,0.5766666666666668,0.23882747,320.0,0.11361194,15
-6.2003636,0.6583333333333333,0.862076,1700.0,0.07554088,0.202626,0.08182435,0.695,0.22389817,340.0,0.094234265,16
-5.432263,0.6833333333333332,0.8621622,1800.0,0.078066885,0.20268929,0.08148478,0.7233333333333333,0.27886555,360.0,0.08878098,17
-3.085358,0.8916666666666666,0.8619897,1900.0,0.08016783,0.20255834,0.08129361,0.7733333333333333,0.23543678,380.0,0.06674549,18
-3.0218315,0.9083333333333332,0.86181074,2000.0,0.08236541,0.20242374,0.0809894,0.8116666666666666,0.25720575,400.0,0.06720551,19
-2.6163044,0.9499999999999998,0.8615477,2100.0,0.08365908,0.20231265,0.08053883,0.8649999999999999,0.2199196,420.0,0.064255625,20
-2.4521885,0.975,0.8614275,2200.0,0.08440102,0.2022813,0.080093764,0.875,0.24267714,440.0,0.06248117,21
-2.749026,0.9333333333333332,0.8611483,2300.0,0.085595585,0.20221303,0.07956027,0.9049999999999999,0.22397882,460.0,0.067492835,22
-2.4843166,0.9500000000000001,0.8610058,2400.0,0.086460136,0.20204,0.07904311,0.9199999999999999,0.2273531,480.0,0.066675,23
-2.2689378,0.9666666666666667,0.8609335,2500.0,0.08707669,0.20204635,0.078585945,0.9383333333333334,0.24403243,500.0,0.06507704,24
-2.155268,0.9499999999999998,0.86074704,2600.0,0.08755675,0.20203312,0.078279205,0.9400000000000001,0.21686406,520.0,0.067685686,25
-2.1750882,0.9583333333333334,0.8605488,2700.0,0.088017076,0.20196794,0.07799635,0.9416666666666668,0.22642839,540.0,0.061393816,26
-1.8482803,0.975,0.8604812,2800.0,0.08866409,0.2019108,0.07773608,0.945,0.2644395,560.0,0.060135666,27
-1.9880804,0.9833333333333334,0.86034656,2900.0,0.0890049,0.20184372,0.07739108,0.9516666666666667,0.23930673,580.0,0.06378494,28
-1.7763926,1.0,0.86021394,3000.0,0.08930397,0.20175858,0.0771173,0.9583333333333334,0.25055018,600.0,0.063056946,29
