test/success_rate,train/success_rate,epoch,test/ag_g_dist,test/mean_Q,train/episode,stats_o/mean,stats_g/mean,train/critic_loss,stats_g/std,test/episode,stats_o/std
0.0,0.0,0,0.09617088,-2.255153,100.0,0.32514745,0.6730202,0.007755539,0.01837467,20.0,0.6817028
0.025000000000000005,0.0,1,0.027116118,-1.8507663,200.0,0.3214991,0.67388386,0.016397657,0.018232489,40.0,0.73827726
0.13333333333333333,0.005,2,0.02661694,-1.5952624,300.0,0.3157459,0.67349625,0.007974755,0.018179825,60.0,0.7808149
0.25833333333333336,0.01,3,0.04190959,-2.092181,400.0,0.31344634,0.67375773,0.0065766782,0.018089443,80.0,0.79839754
0.43333333333333335,0.015000000000000001,4,0.045040023,-2.6546247,500.0,0.31294978,0.674197,0.006421258,0.018124823,100.0,0.8044087
0.6,0.021666666666666667,5,0.03923509,-2.7581518,600.0,0.31321248,0.67458504,0.008442526,0.0181063,120.0,0.8069088
0.6833333333333332,0.011666666666666665,6,0.040093068,-2.8937562,700.0,0.31349546,0.6748236,0.0076329415,0.01813761,140.0,0.80863595
0.525,0.021666666666666667,7,0.04722342,-4.5744267,800.0,0.31370357,0.6750319,0.0077768564,0.01817014,160.0,0.8086858
0.7416666666666666,0.018333333333333333,8,0.039183367,-4.010164,900.0,0.31366482,0.67513204,0.008470055,0.018129354,180.0,0.80914277
0.7666666666666666,0.015,9,0.037934523,-4.322786,1000.0,0.31376207,0.6751959,0.006104152,0.018093491,200.0,0.8092103
0.7333333333333333,0.008333333333333333,10,0.035452828,-4.9031596,1100.0,0.31370464,0.6753013,0.007268887,0.018095639,220.0,0.8091169
0.8000000000000002,0.02666666666666667,11,0.031012366,-5.0160327,1200.0,0.3132526,0.67529255,0.0065122745,0.018056221,240.0,0.8094937
0.7166666666666667,0.015,12,0.0387904,-6.7173557,1300.0,0.31270865,0.6752689,0.0064802766,0.018003136,260.0,0.8092258
0.7916666666666666,0.018333333333333333,13,0.031857815,-5.241343,1400.0,0.31230506,0.6753023,0.0060849874,0.01796903,280.0,0.8092106
0.7166666666666668,0.011666666666666667,14,0.035255644,-7.091371,1500.0,0.3119891,0.67534095,0.007462218,0.017964331,300.0,0.80935264
0.7583333333333333,0.01,15,0.036192413,-6.9183908,1600.0,0.3115463,0.6753457,0.008307877,0.017936118,320.0,0.808922
0.7083333333333334,0.016666666666666666,16,0.0351934,-7.266762,1700.0,0.31115377,0.6753308,0.0062437016,0.017886404,340.0,0.80826813
0.7166666666666667,0.021666666666666667,17,0.040787496,-8.777778,1800.0,0.3108188,0.6753183,0.005905848,0.017840005,360.0,0.8076326
0.7083333333333334,0.013333333333333334,18,0.043222845,-8.597089,1900.0,0.31063548,0.67532176,0.006680345,0.017791187,380.0,0.80736667
0.6916666666666668,0.006666666666666667,19,0.038385477,-8.646049,2000.0,0.3105013,0.6753469,0.0077157035,0.017764919,400.0,0.8068139
0.6833333333333332,0.015,20,0.045995265,-10.461281,2100.0,0.31044096,0.67536384,0.00685006,0.017749302,420.0,0.80634147
0.7416666666666667,0.011666666666666667,21,0.037757855,-9.259937,2200.0,0.31021905,0.67535394,0.0059573334,0.017743306,440.0,0.80629367
0.75,0.006666666666666667,22,0.033971544,-8.862304,2300.0,0.31001905,0.6753375,0.006687265,0.017708732,460.0,0.8062069
0.6916666666666668,0.016666666666666666,23,0.046704024,-11.481553,2400.0,0.3097604,0.6753216,0.0071669943,0.017675484,480.0,0.8058474
0.7666666666666666,0.011666666666666667,24,0.03163742,-7.7967796,2500.0,0.30955184,0.67532486,0.005209414,0.017651102,500.0,0.80528444
0.7333333333333334,0.005,25,0.037399832,-9.573061,2600.0,0.30938867,0.67530984,0.006190743,0.017624293,520.0,0.8050542
0.7333333333333334,0.006666666666666667,26,0.037723806,-10.150228,2700.0,0.30932423,0.67531395,0.0072552375,0.017598324,540.0,0.8048108
0.5166666666666667,0.011666666666666667,27,0.041742247,-12.349673,2800.0,0.30920032,0.6753149,0.007593995,0.01757908,560.0,0.8046992
0.6833333333333335,0.006666666666666667,28,0.039187882,-11.914077,2900.0,0.30913764,0.6753228,0.006176895,0.017554045,580.0,0.8044475
0.6833333333333332,0.006666666666666667,29,0.036091853,-10.855225,3000.0,0.30913055,0.6753295,0.0054082945,0.017533993,600.0,0.8041348
0.7333333333333334,0.005,30,0.04048768,-10.609733,3100.0,0.30910465,0.67533654,0.006433544,0.01751662,620.0,0.80375224
0.725,0.01,31,0.042201847,-11.990277,3200.0,0.309014,0.67532897,0.005720667,0.017502535,640.0,0.8035609
0.6333333333333333,0.015,32,0.035471536,-11.24117,3300.0,0.3089844,0.6753327,0.0076845624,0.017489664,660.0,0.80330545
0.7416666666666667,0.008333333333333333,33,0.035260636,-10.485486,3400.0,0.30899245,0.67533416,0.007126191,0.017479705,680.0,0.8032775
0.6916666666666665,0.015,34,0.033402033,-12.486145,3500.0,0.3088422,0.6753079,0.0056683756,0.017492717,700.0,0.80337685
0.65,0.011666666666666667,35,0.037521318,-15.015386,3600.0,0.30871776,0.67529565,0.006416017,0.017478352,720.0,0.80329937
0.6750000000000002,0.0033333333333333335,36,0.034582447,-14.529205,3700.0,0.30873033,0.67530465,0.0059766104,0.017462123,740.0,0.8032758
0.65,0.0016666666666666668,37,0.04331714,-13.442302,3800.0,0.30870456,0.6753276,0.013558197,0.017447472,760.0,0.8032345
