stats_o/mean,train/episode,test/ag_g_dist,stats_g/std,test/mean_Q,stats_g/mean,test/episode,stats_o/std,epoch,train/success_rate,test/success_rate,train/critic_loss
0.20106433,100.0,0.1750207,0.07775361,-2.9472911,0.8577807,20.0,0.045022238,0,0.05166666666666667,0.08333333333333333,0.00302203
0.20087685,200.0,0.18192255,0.07626226,-5.1028624,0.8576579,40.0,0.045242745,1,0.07666666666666666,0.008333333333333333,0.002930264
0.20085673,300.0,0.16687568,0.07564313,-7.070331,0.85749716,60.0,0.045166567,2,0.055,0.03333333333333333,0.0064931717
0.20120251,400.0,0.17948753,0.07674141,-8.960245,0.8582346,80.0,0.046803284,3,0.053333333333333344,0.041666666666666664,0.013400135
0.20134176,500.0,0.17774737,0.0767846,-10.59587,0.8589406,100.0,0.048147257,4,0.065,0.05833333333333334,0.016719397
0.2013765,600.0,0.16304676,0.07747904,-12.488602,0.85901326,120.0,0.05002747,5,0.04833333333333333,0.06666666666666667,0.024311796
0.20143344,700.0,0.16436271,0.077391446,-13.885501,0.85903996,140.0,0.050198242,6,0.061666666666666675,0.075,0.019796988
0.20158885,800.0,0.17180972,0.07739889,-15.067821,0.8593388,160.0,0.050667826,7,0.06,0.08333333333333333,0.12455701
0.20160897,900.0,0.16811837,0.07727641,-16.248764,0.85935354,180.0,0.050958056,8,0.05333333333333334,0.075,0.18981566
0.20146477,1000.0,0.18548901,0.07784145,-18.066233,0.85922664,200.0,0.052666645,9,0.05666666666666667,0.05833333333333334,0.03157272
0.2012947,1100.0,0.1729002,0.07775985,-17.763285,0.85895985,220.0,0.054254606,10,0.08833333333333333,0.06666666666666667,0.06790415
0.20132749,1200.0,0.15579306,0.07791636,-18.542833,0.8589618,240.0,0.05516466,11,0.06833333333333334,0.11666666666666665,0.10864526
0.2013898,1300.0,0.16286626,0.07807685,-19.015444,0.85919017,260.0,0.056476865,12,0.05333333333333334,0.08333333333333333,0.07445402
0.2013443,1400.0,0.18725121,0.078484714,-21.12097,0.85898274,280.0,0.05798265,13,0.06666666666666667,0.049999999999999996,0.1430523
0.20125669,1500.0,0.16904081,0.07851833,-21.426529,0.8589158,300.0,0.059141707,14,0.07,0.06666666666666667,0.14837752
0.20122217,1600.0,0.17536815,0.07882325,-21.339262,0.85879153,320.0,0.06075192,15,0.08,0.125,0.051927883
0.20124088,1700.0,0.16195545,0.07906898,-21.133436,0.85883546,340.0,0.062154427,16,0.085,0.13333333333333333,0.13798632
0.20127644,1800.0,0.1783006,0.0790504,-23.029203,0.85910505,360.0,0.063214235,17,0.10166666666666667,0.041666666666666664,0.12441701
0.20129634,1900.0,0.17414667,0.0792494,-23.910692,0.85915637,380.0,0.064594224,18,0.11833333333333333,0.10000000000000002,0.13712628
0.20132227,2000.0,0.16641994,0.07948423,-23.506208,0.85929847,400.0,0.065958306,19,0.105,0.13333333333333333,0.19669639
0.20134468,2100.0,0.16080548,0.07946908,-22.214655,0.85951525,420.0,0.06680157,20,0.10166666666666667,0.16666666666666666,0.18305516
0.20138234,2200.0,0.16076747,0.079645224,-23.396235,0.8597899,440.0,0.06772698,21,0.12166666666666666,0.15,0.22187616
0.20139988,2300.0,0.17803472,0.079808414,-24.561625,0.8597598,460.0,0.068995856,22,0.12,0.09999999999999999,0.16953391
0.20145643,2400.0,0.18606377,0.080013245,-25.020788,0.85991573,480.0,0.070183426,23,0.15333333333333332,0.125,0.15203781
0.20152044,2500.0,0.16199143,0.080325894,-24.18425,0.8602205,500.0,0.07175872,24,0.16,0.15833333333333335,0.2376089
0.20158081,2600.0,0.15673822,0.0803221,-22.987848,0.8605791,520.0,0.07319153,25,0.19666666666666668,0.26666666666666666,0.4091618
0.20152672,2700.0,0.15794043,0.0804252,-24.389284,0.8609131,540.0,0.07466826,26,0.265,0.225,0.26042935
0.2015707,2800.0,0.13011833,0.0805499,-20.695953,0.86123234,560.0,0.075833805,27,0.295,0.39999999999999997,0.35485658
0.20166875,2900.0,0.14773753,0.08079752,-22.085129,0.86151195,580.0,0.07753212,28,0.3316666666666666,0.3333333333333333,0.18406396
0.20178063,3000.0,0.14778723,0.08093979,-22.348244,0.8617688,600.0,0.079141065,29,0.39166666666666666,0.39166666666666666,0.2528198
