epoch,train/success_rate,stats_o/mean,train/episode,stats_g/mean,test/episode,test/success_rate,stats_o/std,test/ag_g_dist,test/mean_Q,stats_g/std,train/critic_loss
37,0.03166666666666667,0.19094498,3800.0,0.37350395,760.0,0.075,0.9125283,0.5305942,-20.979597,0.24037604,0.5177615
38,0.021666666666666667,0.1908562,3900.0,0.3736054,780.0,0.09166666666666667,0.91562444,0.5287258,-21.118061,0.24024133,0.4742433
39,0.025000000000000005,0.19068389,4000.0,0.37373224,800.0,0.10833333333333334,0.91868204,0.44029728,-16.683859,0.24007924,0.47784352
40,0.030000000000000002,0.19050245,4100.0,0.37392282,820.0,0.20833333333333334,0.9214851,0.4328805,-15.299329,0.23984854,0.4982756
41,0.028333333333333332,0.19038726,4200.0,0.37413236,840.0,0.08333333333333333,0.92426395,0.4699444,-18.569351,0.23969685,0.5210962
42,0.015,0.19019479,4300.0,0.37402067,860.0,0.08333333333333333,0.9269921,0.46588936,-18.45015,0.23976986,0.55427283
43,0.02666666666666667,0.19011563,4400.0,0.37408066,880.0,0.08333333333333333,0.9295179,0.5185754,-20.004425,0.23973309,0.5129253
44,0.02666666666666666,0.18995355,4500.0,0.37400135,900.0,0.125,0.9321142,0.4633708,-16.257465,0.23966281,0.5450274
45,0.016666666666666666,0.18987633,4600.0,0.37410763,920.0,0.1416666666666667,0.9346976,0.36363852,-14.326439,0.23970337,0.6100506
46,0.03,0.18978123,4700.0,0.37417343,940.0,0.07500000000000001,0.93710274,0.44934645,-15.592632,0.23959856,0.6238529
47,0.024999999999999998,0.18970758,4800.0,0.37425914,960.0,0.03333333333333333,0.9392769,0.45096233,-17.313738,0.23949029,0.56334996
48,0.03333333333333333,0.18954228,4900.0,0.37424293,980.0,0.08333333333333333,0.9413765,0.4429445,-17.843575,0.23939757,0.6393726
49,0.024999999999999998,0.18942966,5000.0,0.37425995,1000.0,0.1416666666666667,0.943456,0.41101265,-15.964349,0.23933451,0.5822497
