stats_o/mean,stats_g/std,stats_o/std,stats_g/mean,test/ag_g_dist,test/mean_Q,train/critic_loss,epoch,test/success_rate,train/episode,test/episode,train/success_rate
0.32514745,0.01837467,0.6817028,0.6730202,0.09617088,-2.255153,0.007755539,0,0.0,100.0,20.0,0.0
0.3214991,0.018232489,0.73827726,0.67388386,0.027116118,-1.8507663,0.016397657,1,0.025000000000000005,200.0,40.0,0.0
0.3157459,0.018179825,0.7808149,0.67349625,0.02661694,-1.5952624,0.007974755,2,0.13333333333333333,300.0,60.0,0.005
0.31344634,0.018089443,0.79839754,0.67375773,0.04190959,-2.092181,0.0065766782,3,0.25833333333333336,400.0,80.0,0.01
0.31294978,0.018124823,0.8044087,0.674197,0.045040023,-2.6546247,0.006421258,4,0.43333333333333335,500.0,100.0,0.015000000000000001
0.31321248,0.0181063,0.8069088,0.67458504,0.03923509,-2.7581518,0.008442526,5,0.6,600.0,120.0,0.021666666666666667
0.31349546,0.01813761,0.80863595,0.6748236,0.040093068,-2.8937562,0.0076329415,6,0.6833333333333332,700.0,140.0,0.011666666666666665
0.31370357,0.01817014,0.8086858,0.6750319,0.04722342,-4.5744267,0.0077768564,7,0.525,800.0,160.0,0.021666666666666667
0.31366482,0.018129354,0.80914277,0.67513204,0.039183367,-4.010164,0.008470055,8,0.7416666666666666,900.0,180.0,0.018333333333333333
0.31376207,0.018093491,0.8092103,0.6751959,0.037934523,-4.322786,0.006104152,9,0.7666666666666666,1000.0,200.0,0.015
0.31370464,0.018095639,0.8091169,0.6753013,0.035452828,-4.9031596,0.007268887,10,0.7333333333333333,1100.0,220.0,0.008333333333333333
0.3132526,0.018056221,0.8094937,0.67529255,0.031012366,-5.0160327,0.0065122745,11,0.8000000000000002,1200.0,240.0,0.02666666666666667
0.31270865,0.018003136,0.8092258,0.6752689,0.0387904,-6.7173557,0.0064802766,12,0.7166666666666667,1300.0,260.0,0.015
0.31230506,0.01796903,0.8092106,0.6753023,0.031857815,-5.241343,0.0060849874,13,0.7916666666666666,1400.0,280.0,0.018333333333333333
0.3119891,0.017964331,0.80935264,0.67534095,0.035255644,-7.091371,0.007462218,14,0.7166666666666668,1500.0,300.0,0.011666666666666667
0.3115463,0.017936118,0.808922,0.6753457,0.036192413,-6.9183908,0.008307877,15,0.7583333333333333,1600.0,320.0,0.01
