stats_o/mean,stats_g/std,stats_o/std,stats_g/mean,test/ag_g_dist,test/mean_Q,train/critic_loss,epoch,test/success_rate,train/episode,test/episode,train/success_rate
0.31115377,0.017886404,0.80826813,0.6753308,0.0351934,-7.266762,0.0062437016,16,0.7083333333333334,1700.0,340.0,0.016666666666666666
0.3108188,0.017840005,0.8076326,0.6753183,0.040787496,-8.777778,0.005905848,17,0.7166666666666667,1800.0,360.0,0.021666666666666667
0.31063548,0.017791187,0.80736667,0.67532176,0.043222845,-8.597089,0.006680345,18,0.7083333333333334,1900.0,380.0,0.013333333333333334
0.3105013,0.017764919,0.8068139,0.6753469,0.038385477,-8.646049,0.0077157035,19,0.6916666666666668,2000.0,400.0,0.006666666666666667
0.31044096,0.017749302,0.80634147,0.67536384,0.045995265,-10.461281,0.00685006,20,0.6833333333333332,2100.0,420.0,0.015
0.31021905,0.017743306,0.80629367,0.67535394,0.037757855,-9.259937,0.0059573334,21,0.7416666666666667,2200.0,440.0,0.011666666666666667
0.31001905,0.017708732,0.8062069,0.6753375,0.033971544,-8.862304,0.006687265,22,0.75,2300.0,460.0,0.006666666666666667
0.3097604,0.017675484,0.8058474,0.6753216,0.046704024,-11.481553,0.0071669943,23,0.6916666666666668,2400.0,480.0,0.016666666666666666
0.30955184,0.017651102,0.80528444,0.67532486,0.03163742,-7.7967796,0.005209414,24,0.7666666666666666,2500.0,500.0,0.011666666666666667
0.30938867,0.017624293,0.8050542,0.67530984,0.037399832,-9.573061,0.006190743,25,0.7333333333333334,2600.0,520.0,0.005
0.30932423,0.017598324,0.8048108,0.67531395,0.037723806,-10.150228,0.0072552375,26,0.7333333333333334,2700.0,540.0,0.006666666666666667
0.30920032,0.01757908,0.8046992,0.6753149,0.041742247,-12.349673,0.007593995,27,0.5166666666666667,2800.0,560.0,0.011666666666666667
0.30913764,0.017554045,0.8044475,0.6753228,0.039187882,-11.914077,0.006176895,28,0.6833333333333335,2900.0,580.0,0.006666666666666667
0.30913055,0.017533993,0.8041348,0.6753295,0.036091853,-10.855225,0.0054082945,29,0.6833333333333332,3000.0,600.0,0.006666666666666667
0.30910465,0.01751662,0.80375224,0.67533654,0.04048768,-10.609733,0.006433544,30,0.7333333333333334,3100.0,620.0,0.005
0.309014,0.017502535,0.8035609,0.67532897,0.042201847,-11.990277,0.005720667,31,0.725,3200.0,640.0,0.01
0.3089844,0.017489664,0.80330545,0.6753327,0.035471536,-11.24117,0.0076845624,32,0.6333333333333333,3300.0,660.0,0.015
0.30899245,0.017479705,0.8032775,0.67533416,0.035260636,-10.485486,0.007126191,33,0.7416666666666667,3400.0,680.0,0.008333333333333333
0.3088422,0.017492717,0.80337685,0.6753079,0.033402033,-12.486145,0.0056683756,34,0.6916666666666665,3500.0,700.0,0.015
0.30871776,0.017478352,0.80329937,0.67529565,0.037521318,-15.015386,0.006416017,35,0.65,3600.0,720.0,0.011666666666666667
0.30873033,0.017462123,0.8032758,0.67530465,0.034582447,-14.529205,0.0059766104,36,0.6750000000000002,3700.0,740.0,0.0033333333333333335
0.30870456,0.017447472,0.8032345,0.6753276,0.04331714,-13.442302,0.013558197,37,0.65,3800.0,760.0,0.0016666666666666668
0.30871803,0.017433168,0.80314523,0.6753313,0.03465355,-11.934447,0.005501512,38,0.7583333333333333,3900.0,780.0,0.018333333333333337
0.30873284,0.017429955,0.8028386,0.67533714,0.04147492,-14.38692,0.005910171,39,0.7000000000000001,4000.0,800.0,0.01
0.30872196,0.017425286,0.80258566,0.6753466,0.03795965,-12.011693,0.006546033,40,0.725,4100.0,820.0,0.021666666666666667
0.30870256,0.017419036,0.8024563,0.67536443,0.050290078,-17.269857,0.0057839598,41,0.6083333333333333,4200.0,840.0,0.01
0.30867618,0.017417116,0.8023751,0.67538935,0.04105227,-12.570838,0.007064914,42,0.725,4300.0,860.0,0.0033333333333333335
0.30859607,0.017441832,0.8025124,0.67540616,0.043535057,-13.562928,0.008322117,43,0.725,4400.0,880.0,0.013333333333333334
0.30858812,0.017454365,0.80232453,0.6754163,0.04070131,-13.175248,0.005516667,44,0.7083333333333334,4500.0,900.0,0.011666666666666665
0.30860725,0.017450076,0.8021069,0.67542535,0.04175817,-13.901509,0.004204362,45,0.7166666666666667,4600.0,920.0,0.0016666666666666668
0.30856472,0.01744799,0.8018176,0.6754357,0.04185764,-13.729851,0.0053515597,46,0.7166666666666667,4700.0,940.0,0.008333333333333333
0.30855533,0.017442534,0.8016278,0.67544436,0.041207064,-14.877421,0.0061436314,47,0.7083333333333334,4800.0,960.0,0.01
0.30850706,0.01743674,0.80160505,0.6754494,0.03925213,-13.863463,0.0054981713,48,0.75,4900.0,980.0,0.013333333333333334
0.3085405,0.017431915,0.80157715,0.67545587,0.04098298,-13.861197,0.0056489594,49,0.725,5000.0,1000.0,0.011666666666666667
