train/critic_loss,train/success_rate,train/reward_compute_count,test/ag_g_dist,test/success_rate,train/episode,test/episode,test/reward_compute_count,stats_g/std,stats_g/mean,stats_o/mean,stats_o/std,epoch,test/mean_Q
0.15675372,0.0,5000.0,0.9607539,0.0,100.0,20.0,1000.0,0.22866796,0.3799745,0.20121653,0.7593496,0,-2.5935953
0.14647444,0.0,10000.0,0.96278507,0.0,200.0,40.0,2000.0,0.22957595,0.3803273,0.19979022,0.7583721,1,-4.44317
0.1577677,0.0,15000.0,0.9661805,0.0,300.0,60.0,3000.0,0.23020355,0.3800842,0.19988258,0.75623316,2,-6.1098714
0.15231621,0.0016666666666666668,20000.0,1.0324565,0.0,400.0,80.0,4000.0,0.22996597,0.38018003,0.19992386,0.7547075,3,-8.289237
0.16495092,0.0,25000.0,0.9632082,0.0,500.0,100.0,5000.0,0.22949381,0.37942776,0.20030828,0.7556632,4,-9.808552
0.15603729,0.0,30000.0,0.9831729,0.0,600.0,120.0,6000.0,0.23008005,0.3801895,0.20039238,0.75587463,5,-11.276294
0.16663411,0.0016666666666666668,35000.0,1.0699486,0.008333333333333333,700.0,140.0,7000.0,0.23010933,0.38073763,0.20018844,0.7566181,6,-13.012235
0.1733649,0.0016666666666666668,40000.0,0.9829019,0.0,800.0,160.0,8000.0,0.22952546,0.38064155,0.19999658,0.7567947,7,-14.134117
0.1710494,0.0016666666666666668,45000.0,0.95640343,0.008333333333333333,900.0,180.0,9000.0,0.229286,0.3813099,0.19988227,0.75969213,8,-15.199199
0.1841042,0.005,50000.0,1.032283,0.0,1000.0,200.0,10000.0,0.22916974,0.38131025,0.19974257,0.7628482,9,-16.782747
0.17483932,0.0,55000.0,0.9951218,0.008333333333333333,1100.0,220.0,11000.0,0.22943263,0.38121578,0.19993217,0.76578,10,-17.082407
0.17356439,0.0016666666666666668,60000.0,1.046132,0.008333333333333333,1200.0,240.0,12000.0,0.22965355,0.38108674,0.2000481,0.7690062,11,-18.13158
0.18365103,0.0016666666666666668,65000.0,0.9864588,0.008333333333333333,1300.0,260.0,13000.0,0.22996648,0.38059923,0.19995224,0.77307796,12,-18.455828
0.17893209,0.0016666666666666668,70000.0,1.0555445,0.0,1400.0,280.0,14000.0,0.23035659,0.38051733,0.19975443,0.7770826,13,-19.634745
0.18165278,0.0016666666666666668,75000.0,1.0970386,0.0,1500.0,300.0,15000.0,0.23123364,0.38019708,0.19978298,0.7811009,14,-20.482315
0.19020891,0.008333333333333333,80000.0,0.95085955,0.016666666666666666,1600.0,320.0,16000.0,0.23189579,0.38009953,0.19958015,0.7854579,15,-19.810938
0.19169919,0.006666666666666667,85000.0,0.96210575,0.016666666666666666,1700.0,340.0,17000.0,0.23248132,0.38023326,0.1995374,0.78902084,16,-20.378767
0.19859153,0.0016666666666666668,90000.0,0.98829585,0.008333333333333333,1800.0,360.0,18000.0,0.23257427,0.38023376,0.1994101,0.79212075,17,-20.667603
0.19404685,0.011666666666666665,95000.0,0.9385621,0.016666666666666666,1900.0,380.0,19000.0,0.23300873,0.3797486,0.19934298,0.7952016,18,-20.965252
0.19270599,0.006666666666666667,100000.0,0.99109554,0.03333333333333333,2000.0,400.0,20000.0,0.2332968,0.37934634,0.19936995,0.79878855,19,-22.161703
0.20437102,0.0033333333333333335,105000.0,0.9217387,0.008333333333333333,2100.0,420.0,21000.0,0.23369534,0.3791267,0.19929756,0.8017848,20,-21.16467
0.21170239,0.005,110000.0,0.9637405,0.025000000000000005,2200.0,440.0,22000.0,0.23388128,0.37879094,0.19919787,0.8044703,21,-23.138056
0.21641131,0.008333333333333333,115000.0,0.98821753,0.008333333333333333,2300.0,460.0,23000.0,0.23375659,0.37893167,0.19933702,0.8076231,22,-23.328531
0.20772867,0.006666666666666667,120000.0,0.9338935,0.025000000000000005,2400.0,480.0,24000.0,0.23392136,0.378872,0.1993814,0.81091094,23,-23.619675
