stats_o/std,stats_g/mean,epoch,test/success_rate,train/success_rate,test/episode,test/mean_Q,stats_o/mean,train/critic_loss,train/episode,train/critic_addnl_loss,stats_g/std
0.03935788,0.83816177,0,0.10000000000000002,0.056666666666666664,20.0,-1.919217,0.20105667,0.025460273,100.0,0.021293081,0.070268475
0.041894984,0.8377095,1,0.025000000000000005,0.08,40.0,-3.9467762,0.20090874,0.028418994,200.0,0.02012167,0.07018157
0.041397646,0.83767277,2,0.041666666666666664,0.065,60.0,-5.518579,0.20086025,0.01764037,300.0,0.0093062315,0.07020671
0.04262345,0.8384278,3,0.06666666666666667,0.065,80.0,-7.2370453,0.20118149,0.03132318,400.0,0.019122245,0.070352085
0.046059307,0.8392151,4,0.06666666666666667,0.075,100.0,-8.761456,0.2013818,0.07755234,500.0,0.06623682,0.07187129
0.047432076,0.8392119,5,0.075,0.06333333333333334,120.0,-10.078252,0.20148313,0.064100824,600.0,0.04228079,0.0725695
0.048806895,0.8390878,6,0.10000000000000002,0.06666666666666667,140.0,-11.130768,0.20140053,0.16169448,700.0,0.14465939,0.07371446
0.049883023,0.83929425,7,0.11666666666666668,0.08833333333333333,160.0,-11.726701,0.20153755,0.11189619,800.0,0.082748316,0.074826255
0.051222086,0.8392735,8,0.08333333333333333,0.06333333333333334,180.0,-13.895347,0.20157246,0.17656858,900.0,0.15068239,0.075259455
0.05218472,0.83906347,9,0.11666666666666668,0.08833333333333333,200.0,-15.003108,0.20151955,0.14194317,1000.0,0.10539905,0.07556873
0.052868944,0.838727,10,0.09166666666666667,0.09999999999999999,220.0,-15.493313,0.20139349,0.3378905,1100.0,0.3107934,0.07552732
0.05414751,0.8384778,11,0.14166666666666666,0.10166666666666667,240.0,-15.806079,0.20131706,0.29473725,1200.0,0.26127353,0.07592495
0.054421235,0.8384037,12,0.09999999999999999,0.11333333333333333,260.0,-16.75992,0.20133017,0.14827512,1300.0,0.095961094,0.07592475
0.054968376,0.8380638,13,0.11666666666666665,0.15333333333333335,280.0,-17.714638,0.20128326,0.36834368,1400.0,0.2686756,0.0758026
0.056573987,0.83761764,14,0.11666666666666665,0.17500000000000002,300.0,-17.341997,0.20117025,0.6589625,1500.0,0.5167497,0.07619772
0.058127165,0.8372662,15,0.2416666666666667,0.19666666666666668,320.0,-16.849478,0.20108658,0.4474556,1600.0,0.3288105,0.0760893
0.060619872,0.836857,16,0.39166666666666666,0.26666666666666666,340.0,-12.609632,0.2008578,0.47951528,1700.0,0.33565715,0.076554105
0.063089,0.8366805,17,0.4000000000000001,0.35333333333333333,360.0,-11.327573,0.20068151,0.76574683,1800.0,0.47874773,0.07651747
0.06675456,0.83639646,18,0.47500000000000003,0.39333333333333337,380.0,-7.8690763,0.20062609,0.6373584,1900.0,0.5103192,0.076772965
0.07036936,0.83616066,19,0.5166666666666667,0.44,400.0,-7.7070975,0.200702,0.79626304,2000.0,0.6739483,0.076641075
0.074385874,0.83622247,20,0.5333333333333333,0.48,420.0,-6.0863914,0.20067847,0.83420926,2100.0,0.6997176,0.07660125
0.07765602,0.83643794,21,0.6749999999999999,0.5516666666666666,440.0,-4.396115,0.20096415,0.75255483,2200.0,0.50913215,0.07656249
0.08046589,0.83638334,22,0.8416666666666667,0.6283333333333333,460.0,-3.3852017,0.20095266,0.53819555,2300.0,0.22671239,0.07662588
0.08277644,0.83647203,23,0.7999999999999999,0.6766666666666667,480.0,-3.2906945,0.20089638,0.42712963,2400.0,0.20955205,0.076471426
0.084884465,0.8366434,24,0.8833333333333334,0.7333333333333334,500.0,-2.5477731,0.20096834,0.3532649,2500.0,0.17888217,0.076451644
0.08678511,0.8367083,25,0.9166666666666666,0.7616666666666667,520.0,-2.1449862,0.20088999,0.36434913,2600.0,0.14920215,0.076510586
0.08815352,0.83676857,26,0.9333333333333332,0.8166666666666668,540.0,-2.365682,0.20084663,0.31090108,2700.0,0.13440509,0.07662422
0.089692675,0.83689624,27,0.9583333333333334,0.8333333333333334,560.0,-1.7203245,0.20091869,0.38328597,2800.0,0.22665215,0.07681871
0.090745956,0.83693093,28,0.9666666666666667,0.88,580.0,-1.6083664,0.20090741,0.22652538,2900.0,0.13801731,0.07665262
0.09201107,0.8369357,29,0.9250000000000002,0.8850000000000001,600.0,-2.499551,0.20088954,0.17664178,3000.0,0.1146687,0.07671029
0.0932856,0.8370119,30,0.975,0.8816666666666667,620.0,-1.4282684,0.20096332,0.23165126,3100.0,0.08688224,0.07666967
0.0944345,0.8369825,31,0.9833333333333334,0.9083333333333333,640.0,-1.4353412,0.20095967,0.2925426,3200.0,0.21135963,0.07649428
0.09540817,0.83707255,32,0.9833333333333334,0.9050000000000001,660.0,-1.3772107,0.20105745,0.31079325,3300.0,0.14656964,0.07627991
0.09617227,0.83712655,33,0.9916666666666667,0.8916666666666666,680.0,-1.2958916,0.20108609,0.2659565,3400.0,0.15578286,0.07628814
0.09707587,0.83721083,34,1.0,0.9083333333333333,700.0,-1.1526995,0.20109637,0.21797843,3500.0,0.080833614,0.07609495
0.09776076,0.8372986,35,0.9583333333333334,0.9366666666666665,720.0,-1.6259413,0.20117362,0.22422744,3600.0,0.09512945,0.07587768
0.09857902,0.83742255,36,0.9916666666666667,0.9533333333333333,740.0,-1.2126323,0.2011833,0.20581801,3700.0,0.13308594,0.07575471
0.09928265,0.8374322,37,0.975,0.8983333333333334,760.0,-1.2641405,0.2011481,0.15769129,3800.0,0.09789891,0.07553794
0.10005233,0.8374851,38,0.9916666666666667,0.9183333333333333,780.0,-1.2232496,0.20124261,0.22586441,3900.0,0.14790338,0.07539847
0.1005503,0.83753854,39,0.9916666666666667,0.9283333333333333,800.0,-1.2065135,0.20129456,0.17247327,4000.0,0.11420425,0.07515261
0.10109154,0.83750874,40,0.9833333333333334,0.9400000000000001,820.0,-1.0372045,0.2012998,0.18995517,4100.0,0.1214721,0.07500543
0.10161534,0.837598,41,1.0,0.9333333333333335,840.0,-1.1332482,0.20135628,0.18466787,4200.0,0.086578816,0.074848056
0.10193922,0.8376363,42,0.9916666666666667,0.945,860.0,-1.1450626,0.20136498,0.18925071,4300.0,0.1055071,0.074650995
0.102368794,0.8376808,43,1.0,0.9233333333333333,880.0,-1.1087584,0.20134908,0.16326787,4400.0,0.073561266,0.07468085
0.10294581,0.8377159,44,0.975,0.9133333333333334,900.0,-1.0402752,0.20142077,0.23914032,4500.0,0.14022176,0.074591674
0.10338494,0.8377213,45,0.975,0.93,920.0,-1.331593,0.20140655,0.18927288,4600.0,0.11133816,0.07443834
0.10381022,0.83771825,46,0.9916666666666667,0.9233333333333333,940.0,-1.2060715,0.20136662,0.19658123,4700.0,0.07593816,0.07427465
0.104053296,0.8377872,47,1.0,0.9533333333333333,960.0,-1.1166964,0.20136517,0.21639489,4800.0,0.11884851,0.07411454
