test/success_rate,epoch,train/success_rate,stats_o/std,stats_g/mean,test/mean_Q,stats_g/std,test/episode,stats_o/mean,train/critic_loss,train/episode
0.09166666666666667,0,0.05000000000000001,0.045380767,0.83860874,-2.0803716,0.06194298,20.0,0.20107241,0.006620867,100.0
0.016666666666666666,1,0.085,0.044418722,0.838705,-4.254114,0.06144711,40.0,0.2008729,0.0018059519,200.0
0.041666666666666664,2,0.065,0.04304592,0.83905464,-6.0189996,0.061045285,60.0,0.20092155,0.008057378,300.0
0.06666666666666667,3,0.065,0.042263906,0.83909607,-7.7794156,0.06101993,80.0,0.20107277,0.005223315,400.0
0.049999999999999996,4,0.075,0.043375064,0.83960676,-9.589545,0.06118607,100.0,0.20133066,0.0076556653,500.0
0.075,5,0.065,0.043032307,0.8393547,-11.06488,0.061138507,120.0,0.20140238,0.015187815,600.0
0.09166666666666667,6,0.06,0.042972907,0.83910364,-12.35912,0.06091194,140.0,0.20140769,0.015914066,700.0
0.09166666666666667,7,0.07333333333333333,0.042595197,0.83906907,-13.785029,0.06102406,160.0,0.20151764,0.018190412,800.0
0.075,8,0.05833333333333334,0.04233091,0.83918357,-15.522636,0.061090704,180.0,0.20151328,0.018137356,900.0
0.08333333333333333,9,0.07833333333333332,0.04239672,0.8392424,-16.994295,0.06109734,200.0,0.20146865,0.01810321,1000.0
0.08333333333333333,10,0.08166666666666667,0.043173146,0.83891016,-17.79539,0.06100816,220.0,0.2014357,0.025141746,1100.0
0.10000000000000002,11,0.06833333333333334,0.043322414,0.8388371,-19.008726,0.060979154,240.0,0.20144689,0.049912676,1200.0
0.06666666666666667,12,0.06166666666666667,0.04383902,0.8387657,-19.97633,0.060957137,260.0,0.20149082,0.037502382,1300.0
0.03333333333333333,13,0.07,0.044185314,0.83857375,-21.911413,0.06095961,280.0,0.20147693,0.10793618,1400.0
0.041666666666666664,14,0.06833333333333334,0.044222277,0.83847433,-22.076883,0.060951963,300.0,0.20145673,0.045072656,1500.0
0.09166666666666667,15,0.07333333333333333,0.044702128,0.8385296,-22.819048,0.06086809,320.0,0.20144707,0.028134456,1600.0
0.05833333333333333,16,0.05000000000000001,0.045172483,0.83857185,-23.083038,0.06091165,340.0,0.20144878,0.038114812,1700.0
0.041666666666666664,17,0.08333333333333333,0.0455202,0.83872575,-24.65728,0.060954925,360.0,0.20146328,0.057611007,1800.0
0.05833333333333334,18,0.08833333333333333,0.046461117,0.83873755,-24.464203,0.060998634,380.0,0.20142525,0.08611116,1900.0
0.08333333333333333,19,0.075,0.04715392,0.8386929,-23.901268,0.061031953,400.0,0.20137827,0.06108587,2000.0
0.06666666666666667,20,0.06166666666666667,0.04774807,0.8386343,-23.615217,0.061029483,420.0,0.20141596,0.2320462,2100.0
0.08333333333333333,21,0.06166666666666667,0.048515156,0.83865523,-24.08,0.061070923,440.0,0.2013771,0.108204566,2200.0
0.05833333333333334,22,0.06166666666666667,0.04926673,0.8385617,-25.250938,0.061033394,460.0,0.20130016,0.07512749,2300.0
0.06666666666666667,23,0.06166666666666667,0.04998684,0.83860964,-25.584661,0.060994383,480.0,0.20125514,0.108037174,2400.0
0.09999999999999999,24,0.06,0.050516855,0.83863026,-24.086527,0.0609922,500.0,0.20130955,0.083719574,2500.0
