test/success_rate,epoch,train/critic_loss,train/episode,train/success_rate,stats_o/mean,stats_g/std,stats_o/std,test/episode,train/critic_addnl_loss,test/mean_Q,stats_g/mean
0.008333333333333333,0,0.27208814,20.0,0.008333333333333333,0.26211804,0.090427674,0.027336547,20.0,0.1349905,-0.8229769,0.87133026
0.049999999999999996,1,0.1331669,40.0,0.024999999999999998,0.26250774,0.08752161,0.025860777,40.0,0.07188784,-1.1753994,0.87353945
0.2916666666666667,2,0.061359946,60.0,0.14166666666666664,0.2626589,0.08710441,0.025494168,60.0,0.03372096,-1.4963726,0.8739397
0.21666666666666667,3,0.061682988,80.0,0.3333333333333333,0.2631893,0.08695665,0.025236592,80.0,0.054491982,-1.9159073,0.8761379
0.375,4,0.07321855,100.0,0.35000000000000003,0.2634525,0.08638356,0.02499707,100.0,0.06368648,-1.9218885,0.875899
0.5583333333333333,5,0.09675097,120.0,0.5666666666666667,0.26360646,0.08652993,0.025017759,120.0,0.0804305,-1.8351301,0.8745694
0.6583333333333333,6,0.09880277,140.0,0.6999999999999998,0.26346448,0.08616692,0.02519914,140.0,0.07919008,-1.644227,0.87391824
0.875,7,0.11316808,160.0,0.7999999999999999,0.26345235,0.08573566,0.025684128,160.0,0.083997525,-0.98731023,0.87388176
0.9499999999999998,8,0.12711275,180.0,0.9083333333333333,0.26338372,0.08576744,0.026265016,180.0,0.09220012,-0.5336855,0.87376016
0.975,9,0.12336131,200.0,0.9250000000000002,0.26339722,0.08565978,0.026903162,200.0,0.09031127,-0.3664488,0.8740477
1.0,10,0.12365348,220.0,0.9,0.2632231,0.085748166,0.027499894,220.0,0.08804152,-0.20976843,0.8737862
1.0,11,0.11796713,240.0,0.9666666666666667,0.2629955,0.08577311,0.028007532,240.0,0.08414736,-0.27139843,0.8732264
0.9916666666666667,12,0.122205466,260.0,0.9249999999999999,0.26298472,0.08570367,0.028379247,260.0,0.08835735,-0.18430088,0.8733921
1.0,13,0.12263461,280.0,0.9416666666666668,0.26315144,0.08569095,0.028740928,280.0,0.08847282,-0.15327585,0.8741495
0.9916666666666667,14,0.1224896,300.0,0.8916666666666666,0.26306835,0.08548053,0.028937394,300.0,0.08837893,-0.17543173,0.874036
0.9833333333333334,15,0.12283942,320.0,0.8916666666666666,0.26309782,0.08556687,0.02916952,320.0,0.09273469,-0.1533597,0.8743679
0.9833333333333334,16,0.13608761,340.0,0.8916666666666666,0.2629854,0.085615896,0.029360289,340.0,0.102359205,-0.08650941,0.8741698
0.975,17,0.13393845,360.0,0.8583333333333334,0.26296583,0.085674524,0.029525349,360.0,0.09513154,-0.15953326,0.8742898
1.0,18,0.13199197,380.0,0.8999999999999999,0.26277152,0.085707135,0.029673392,380.0,0.10038978,-0.1098425,0.8739028
1.0,19,0.13176028,400.0,0.9416666666666668,0.2627923,0.08598194,0.029884428,400.0,0.10453612,-0.11339671,0.8741598
1.0,20,0.13232256,420.0,0.8583333333333334,0.2628143,0.08605287,0.030010635,420.0,0.100914,-0.12430634,0.8744649
1.0,21,0.13930301,440.0,0.8916666666666666,0.2627067,0.086022645,0.030073404,440.0,0.110928155,-0.11893165,0.8742628
0.9833333333333334,22,0.12752135,460.0,0.85,0.2626945,0.08588513,0.030099591,460.0,0.10195718,-0.15911086,0.874363
1.0,23,0.13576931,480.0,0.875,0.26274115,0.08591291,0.030163312,480.0,0.11097168,-0.11100056,0.8747484
1.0,24,0.13071138,500.0,0.8333333333333334,0.26278532,0.08588182,0.030205732,500.0,0.1061722,-0.12907745,0.8750816
1.0,25,0.1412837,520.0,0.9166666666666666,0.26271373,0.08588917,0.030243302,520.0,0.117747985,-0.089631855,0.8749612
0.9916666666666667,26,0.14089027,540.0,0.9,0.26266426,0.085931115,0.030282015,540.0,0.11291281,-0.1172528,0.8749077
1.0,27,0.13928734,560.0,0.8083333333333332,0.2626423,0.08585385,0.030289069,560.0,0.11808158,-0.11771059,0.8749032
0.9666666666666667,28,0.14318512,580.0,0.7999999999999999,0.26259297,0.086066365,0.030381322,580.0,0.12555747,-0.1466675,0.87479234
0.9916666666666667,29,0.14280944,600.0,0.8333333333333334,0.26248878,0.08592943,0.030382326,600.0,0.119455524,-0.100373715,0.8745444
0.9916666666666667,30,0.14826232,620.0,0.8000000000000002,0.2624741,0.086006165,0.030427134,620.0,0.1253738,-0.13118462,0.87447214
1.0,31,0.12902322,640.0,0.775,0.2624537,0.08600076,0.030446565,640.0,0.11161277,-0.14306481,0.8744271
1.0,32,0.14524569,660.0,0.8166666666666668,0.2624341,0.08605475,0.030509517,660.0,0.12320006,-0.08309424,0.8743964
0.9916666666666667,33,0.13550626,680.0,0.8666666666666667,0.26244336,0.08608011,0.030549088,680.0,0.11453232,-0.10556365,0.8744654
1.0,34,0.14556426,700.0,0.8000000000000002,0.26247942,0.08609403,0.030588726,700.0,0.12402996,-0.1266735,0.8746591
1.0,35,0.1380202,720.0,0.8333333333333334,0.26248354,0.086045474,0.03060695,720.0,0.115365684,-0.11673296,0.87469035
1.0,36,0.1463466,740.0,0.8666666666666666,0.2625067,0.08598689,0.030616501,740.0,0.12580122,-0.102787316,0.87480515
0.9833333333333334,37,0.14129321,760.0,0.8166666666666668,0.26249748,0.08601198,0.030651212,760.0,0.12291331,-0.09800468,0.8747918
0.9833333333333334,38,0.13729739,780.0,0.7916666666666666,0.26247737,0.08605599,0.030681184,780.0,0.11713123,-0.10856836,0.8747864
1.0,39,0.13862342,800.0,0.8166666666666668,0.26248693,0.08609458,0.030704519,800.0,0.120256215,-0.08843293,0.8748211
0.9916666666666667,40,0.13441989,820.0,0.8250000000000001,0.26248398,0.08617721,0.030745754,820.0,0.11390999,-0.06184927,0.87480754
1.0,41,0.14205055,840.0,0.7333333333333334,0.26251918,0.086212285,0.03076756,840.0,0.12247274,-0.092405654,0.8749581
1.0,42,0.13732596,860.0,0.8083333333333332,0.26251152,0.08623686,0.030783633,860.0,0.11962289,-0.09993088,0.8749315
