train/success_rate,train/reward_compute_count,stats_g/std,train/episode,test/ag_g_dist,stats_o/std,stats_o/mean,train/critic_loss,test/reward_compute_count,test/episode,epoch,test/mean_Q,test/success_rate,stats_g/mean
0.0,5000.0,0.14099628,100.0,0.99193925,0.70335037,0.20083638,0.025761405,1000.0,20.0,0,-2.2259352,0.0,0.35933766
0.0,10000.0,0.14164722,200.0,0.98635197,0.7053073,0.20506118,0.013533075,2000.0,40.0,1,-4.2317348,0.0,0.35821176
0.0016666666666666668,15000.0,0.14209272,300.0,0.9359334,0.70353156,0.20636602,0.00895246,3000.0,60.0,2,-6.234819,0.0,0.358456
0.0,20000.0,0.14295153,400.0,0.9451604,0.70311815,0.20615546,0.010397263,4000.0,80.0,3,-8.111101,0.0,0.35836765
0.0,25000.0,0.14289583,500.0,0.9197478,0.7048839,0.20577158,0.0106000565,5000.0,100.0,4,-9.726755,0.016666666666666666,0.35851213
0.0,30000.0,0.14341386,600.0,0.9005923,0.7070091,0.20546591,0.009212666,6000.0,120.0,5,-11.300808,0.016666666666666666,0.35860988
0.0016666666666666668,35000.0,0.14410849,700.0,0.9916804,0.7126334,0.20552595,0.010159151,7000.0,140.0,6,-13.046472,0.008333333333333333,0.3588225
0.0033333333333333335,40000.0,0.14532928,800.0,0.9799444,0.7172212,0.20556414,0.013316397,8000.0,160.0,7,-14.487999,0.016666666666666666,0.35921416
0.006666666666666667,45000.0,0.14604701,900.0,0.8782191,0.7237889,0.20567088,0.016280008,9000.0,180.0,8,-14.826428,0.025000000000000005,0.35956502
0.005,50000.0,0.14683263,1000.0,0.9023692,0.7308282,0.20585598,0.014458567,10000.0,200.0,9,-16.03997,0.008333333333333333,0.35993412
0.008333333333333333,55000.0,0.14736141,1100.0,0.93078804,0.73710793,0.20631815,0.018314186,11000.0,220.0,10,-16.602865,0.025000000000000005,0.3600416
0.006666666666666667,60000.0,0.14785913,1200.0,0.94118196,0.7413023,0.20660527,0.020619798,12000.0,240.0,11,-18.664099,0.025000000000000005,0.3603082
0.0016666666666666668,65000.0,0.14865129,1300.0,0.98278475,0.74736816,0.2069518,0.02679485,13000.0,260.0,12,-18.31279,0.008333333333333333,0.3603873
0.005,70000.0,0.14944996,1400.0,0.8858638,0.75349385,0.20715381,0.027541777,14000.0,280.0,13,-19.144249,0.03333333333333333,0.360437
0.005,75000.0,0.15031135,1500.0,0.85615516,0.7594557,0.20753343,0.027093709,15000.0,300.0,14,-19.254293,0.06666666666666667,0.36086392
0.005,80000.0,0.1509866,1600.0,0.9049775,0.76483756,0.20766759,0.03154071,16000.0,320.0,15,-20.469484,0.06666666666666667,0.3612832
0.01,85000.0,0.15194546,1700.0,0.8495404,0.7706565,0.20776255,0.032856096,17000.0,340.0,16,-20.552614,0.05833333333333334,0.3618293
0.011666666666666667,90000.0,0.15281725,1800.0,0.839528,0.7761417,0.20792174,0.03806065,18000.0,360.0,17,-20.501875,0.041666666666666664,0.3620921
0.01,95000.0,0.15355246,1900.0,0.81875557,0.78114027,0.20812207,0.03334814,19000.0,380.0,18,-20.806902,0.125,0.36234316
