train/success_rate,test/reward_compute_count,train/episode,test/ag_g_dist,test/mean_Q,stats_o/mean,stats_g/std,test/episode,train/reward_compute_count,train/critic_loss,test/success_rate,epoch,stats_g/mean,stats_o/std
0.0,1000.0,100.0,0.9850343,-2.718398,0.19998078,0.23145056,20.0,5000.0,0.060418244,0.0,0,0.36978146,0.75795704
0.0,2000.0,200.0,1.0061562,-4.664003,0.19771855,0.23261796,40.0,10000.0,0.075509615,0.0,1,0.3726046,0.7585797
0.0,3000.0,300.0,0.9930003,-6.484409,0.19524603,0.23375638,60.0,15000.0,0.08698362,0.0,2,0.3729134,0.7617941
0.0,4000.0,400.0,1.0565643,-8.239174,0.19347377,0.23390572,80.0,20000.0,0.09310945,0.0,3,0.37305155,0.7649329
0.0,5000.0,500.0,0.9777419,-9.362708,0.1926295,0.23434271,100.0,25000.0,0.103398465,0.0,4,0.37205145,0.76912314
0.0,6000.0,600.0,0.9929349,-10.709277,0.19275965,0.23563719,120.0,30000.0,0.102116145,0.0,5,0.37258002,0.77138346
0.0,7000.0,700.0,1.071993,-12.684653,0.19319874,0.236266,140.0,35000.0,0.0979852,0.0,6,0.3728588,0.77433497
0.0,8000.0,800.0,0.99811536,-13.9689,0.19321942,0.2365476,160.0,40000.0,0.10306358,0.0,7,0.3720719,0.7772494
0.0016666666666666668,9000.0,900.0,0.93628883,-14.88755,0.19345628,0.23641552,180.0,45000.0,0.10466609,0.0,8,0.37244627,0.7800944
0.0,10000.0,1000.0,1.009935,-16.232254,0.19354554,0.23643629,200.0,50000.0,0.116791554,0.0,9,0.37237278,0.78285575
0.0,11000.0,1100.0,0.9476533,-16.537588,0.19356085,0.23656721,220.0,55000.0,0.116575174,0.0,10,0.37236097,0.78563815
0.0016666666666666668,12000.0,1200.0,1.0071064,-18.237059,0.19359224,0.23648836,240.0,60000.0,0.12130036,0.0,11,0.3722621,0.7888529
0.0,13000.0,1300.0,0.9466977,-18.56777,0.19335754,0.23646323,260.0,65000.0,0.12373545,0.0,12,0.37182567,0.79296
0.0,14000.0,1400.0,0.9788668,-19.156618,0.19327283,0.23627727,280.0,70000.0,0.13063674,0.0,13,0.37176642,0.79635376
