stats_o/std,stats_g/mean,test/ag_g_dist,epoch,stats_g/std,test/success_rate,train/critic_loss,stats_o/mean,train/success_rate,train/episode,test/mean_Q,test/episode
0.049210798,0.8373823,0.17773676,0,0.07364005,0.10000000000000002,0.04378046,0.20133293,0.05333333333333332,100.0,-2.033571,20.0
0.050186425,0.8372178,0.18486433,1,0.071611226,0.016666666666666666,0.041894406,0.20101835,0.07833333333333332,200.0,-4.1657524,40.0
0.049281698,0.8372075,0.16932888,2,0.070758276,0.041666666666666664,0.038663566,0.20115925,0.06666666666666667,300.0,-5.9560337,60.0
0.050284486,0.8377461,0.17664535,3,0.07177709,0.075,0.041277487,0.20128413,0.07,400.0,-7.566689,80.0
0.053240493,0.8383355,0.1819237,4,0.075306945,0.08333333333333333,0.04201046,0.20141234,0.085,500.0,-9.359792,100.0
0.055482473,0.8381713,0.15816905,5,0.07646287,0.15,0.04277649,0.2012351,0.09166666666666667,600.0,-10.152873,120.0
0.05698517,0.8379998,0.16048898,6,0.07691689,0.16666666666666666,0.053019807,0.20124264,0.12166666666666666,700.0,-11.082999,140.0
0.0588596,0.83825445,0.16261758,7,0.077036805,0.26666666666666666,0.050652713,0.20146833,0.17500000000000002,800.0,-11.150092,160.0
0.06193435,0.8382798,0.14487389,8,0.07777968,0.3666666666666667,0.05530903,0.20153469,0.27666666666666667,900.0,-10.48841,180.0
0.0658455,0.83801574,0.12931515,9,0.07775057,0.5916666666666667,0.07267063,0.20123355,0.3933333333333333,1000.0,-7.8596344,200.0
0.07071938,0.83750933,0.10201118,10,0.07749631,0.7083333333333334,0.059623286,0.20111316,0.5933333333333333,1100.0,-4.813269,220.0
0.07592185,0.8373234,0.062374886,11,0.07774448,0.9,0.064442456,0.2010758,0.7050000000000001,1200.0,-1.9097681,240.0
0.080092534,0.8374014,0.061750248,12,0.07790527,0.9333333333333332,0.072426595,0.2011562,0.7666666666666666,1300.0,-1.7701759,260.0
0.083188966,0.83730173,0.07413777,13,0.07748629,0.9,0.060468983,0.2010295,0.8733333333333334,1400.0,-2.076976,280.0
0.08591475,0.8372526,0.06381939,14,0.077004425,0.8833333333333333,0.07394801,0.20115133,0.8633333333333333,1500.0,-1.9581207,300.0
0.08840919,0.8374901,0.06717104,15,0.07663321,0.9416666666666668,0.067353375,0.2011265,0.8816666666666667,1600.0,-1.9317087,320.0
0.09058997,0.8375623,0.057010982,16,0.07629987,0.9666666666666668,0.07562923,0.20114821,0.93,1700.0,-1.4113144,340.0
0.092283756,0.83779985,0.05779785,17,0.07608577,1.0,0.05926196,0.20122445,0.8983333333333334,1800.0,-1.3409725,360.0
0.09410844,0.8378677,0.060498923,18,0.07602355,0.9833333333333334,0.05865723,0.20135581,0.9283333333333333,1900.0,-1.3928304,380.0
0.095275946,0.8379268,0.05254666,19,0.075702734,0.9916666666666667,0.046801653,0.20132561,0.9499999999999998,2000.0,-1.1269292,400.0
0.096410625,0.83789784,0.05833743,20,0.07542591,0.9833333333333334,0.0642572,0.20129967,0.9416666666666668,2100.0,-1.2813481,420.0
0.09747579,0.83798355,0.05326617,21,0.075176015,0.9833333333333334,0.054707646,0.20134252,0.9483333333333333,2200.0,-1.0387146,440.0
0.09818303,0.83793116,0.059090436,22,0.07482086,0.975,0.05275159,0.2014752,0.9516666666666667,2300.0,-1.2436858,460.0
0.09859603,0.8380053,0.05870476,23,0.0744379,0.9583333333333334,0.052522082,0.20146658,0.96,2400.0,-1.3855411,480.0
0.099357195,0.8380473,0.05446115,24,0.07426388,1.0,0.04965328,0.2015068,0.9516666666666667,2500.0,-1.011169,500.0
0.099930204,0.83806413,0.055694774,25,0.073893055,1.0,0.061576355,0.20165522,0.9583333333333334,2600.0,-1.0037407,520.0
0.10045195,0.83803207,0.0566515,26,0.07361578,0.9833333333333334,0.067655966,0.20163399,0.965,2700.0,-1.0483888,540.0
0.10055422,0.8381045,0.052708898,27,0.07339466,0.9833333333333334,0.057385657,0.20163195,0.9533333333333333,2800.0,-1.0838947,560.0
0.10090715,0.8380883,0.05626495,28,0.07321634,1.0,0.0631121,0.20165987,0.9483333333333333,2900.0,-1.0322529,580.0
0.10128758,0.83804625,0.056288775,29,0.073000856,1.0,0.0633935,0.20174019,0.9483333333333334,3000.0,-0.9979715,600.0
0.10165336,0.83808273,0.052331787,30,0.072716825,0.9916666666666667,0.052402586,0.20179838,0.9666666666666667,3100.0,-0.9005007,620.0
0.1022686,0.8380053,0.055100787,31,0.07247398,0.9833333333333334,0.05171946,0.20191757,0.9533333333333333,3200.0,-1.0247196,640.0
0.10250255,0.8380714,0.053660635,32,0.07221314,0.9916666666666667,0.06201298,0.2019407,0.9616666666666666,3300.0,-0.92029333,660.0
0.10267415,0.8380866,0.05157279,33,0.07201662,1.0,0.038199075,0.20195635,0.9733333333333333,3400.0,-0.96543527,680.0
0.10310578,0.83812135,0.049332786,34,0.07179008,1.0,0.047564168,0.20201574,0.9583333333333334,3500.0,-0.8324607,700.0
0.10332795,0.8381896,0.051777527,35,0.07173377,1.0,0.045365337,0.20209844,0.9583333333333334,3600.0,-0.8961466,720.0
0.103579216,0.8382502,0.052984644,36,0.07170295,0.9833333333333334,0.046260595,0.2021287,0.9633333333333333,3700.0,-0.96265864,740.0
0.10374723,0.8382247,0.055615503,37,0.071476944,1.0,0.07039227,0.20212097,0.98,3800.0,-0.9913185,760.0
0.103928365,0.8382655,0.05353704,38,0.07131,1.0,0.04450949,0.20220129,0.9666666666666667,3900.0,-0.94493467,780.0
0.1040527,0.8382998,0.057520468,39,0.07120584,0.9916666666666667,0.05165283,0.2022015,0.96,4000.0,-1.2181156,800.0
0.10423265,0.8382558,0.05097772,40,0.071179636,0.9916666666666667,0.03835672,0.20224158,0.96,4100.0,-0.8678791,820.0
0.10436388,0.83829683,0.054548692,41,0.071154915,0.9916666666666667,0.043884218,0.2021801,0.9616666666666666,4200.0,-0.952945,840.0
0.10450526,0.8382911,0.05271997,42,0.07104886,1.0,0.044993777,0.20217843,0.9716666666666667,4300.0,-0.93858004,860.0
0.10457135,0.8383176,0.05355986,43,0.07104072,1.0,0.05106922,0.20217411,0.965,4400.0,-1.0073023,880.0
0.10462704,0.83835334,0.051549852,44,0.07091567,0.9916666666666667,0.0523444,0.20226462,0.9616666666666666,4500.0,-0.9528277,900.0
0.10483558,0.83836025,0.055078547,45,0.070866644,0.9833333333333334,0.042388033,0.20232134,0.955,4600.0,-1.1179506,920.0
0.10491703,0.83831495,0.054530486,46,0.07080483,1.0,0.04067583,0.20233877,0.96,4700.0,-0.94531155,940.0
0.105028175,0.8383663,0.05513048,47,0.070793636,1.0,0.04292051,0.20238085,0.9466666666666667,4800.0,-0.9723379,960.0
0.10515084,0.83839685,0.05285805,48,0.07071255,0.9916666666666667,0.042900924,0.20238595,0.9683333333333333,4900.0,-0.97083133,980.0
0.10525767,0.8384502,0.051873576,49,0.07060849,1.0,0.05423605,0.20236738,0.965,5000.0,-0.8910911,1000.0
