train/episode,stats_o/std,epoch,test/success_rate,train/success_rate,stats_o/mean,test/mean_Q,test/episode,test/ag_g_dist,stats_g/mean,stats_g/std,train/critic_loss,train/reward_compute_count,test/reward_compute_count
100.0,0.048392255,0,0.041666666666666664,0.034999999999999996,0.20313442,-2.7172718,20.0,0.23736088,0.84244365,0.0922145,0.0016654787,5000.0,1000.0
200.0,0.049541935,1,0.05000000000000001,0.036666666666666674,0.20374613,-4.5118937,40.0,0.22214614,0.84466046,0.09252087,0.007867976,10000.0,2000.0
300.0,0.04973684,2,0.03333333333333333,0.041666666666666664,0.20393543,-6.470759,60.0,0.21884507,0.84529954,0.0925046,0.005891928,15000.0,3000.0
400.0,0.05189538,3,0.05000000000000001,0.041666666666666664,0.20419157,-8.160173,80.0,0.22866552,0.8458566,0.09311112,0.022852099,20000.0,4000.0
500.0,0.052104037,4,0.008333333333333333,0.045000000000000005,0.20409535,-10.366562,100.0,0.23472281,0.84553236,0.093443215,0.01254947,25000.0,5000.0
600.0,0.054913644,5,0.016666666666666666,0.04,0.20403816,-11.903183,120.0,0.23969197,0.84566313,0.09397763,0.011696856,30000.0,6000.0
700.0,0.05750336,6,0.041666666666666664,0.03666666666666667,0.20400457,-12.993862,140.0,0.25112808,0.8457505,0.09445241,0.022110367,35000.0,7000.0
800.0,0.061610203,7,0.09166666666666667,0.05333333333333334,0.20395444,-14.012507,160.0,0.23369491,0.84563136,0.096059166,0.028499762,40000.0,8000.0
900.0,0.06540982,8,0.09166666666666667,0.05833333333333333,0.20397492,-14.465833,180.0,0.21518831,0.8452533,0.0969351,0.034750205,45000.0,9000.0
1000.0,0.06877758,9,0.18333333333333335,0.06333333333333334,0.20391925,-14.00928,200.0,0.22276664,0.8450933,0.09783699,0.05969146,50000.0,10000.0
1100.0,0.07271844,10,0.17500000000000002,0.10000000000000002,0.20405853,-14.821953,220.0,0.21231894,0.84562176,0.09908384,0.26948777,55000.0,11000.0
1200.0,0.07619978,11,0.10833333333333334,0.12666666666666668,0.20420678,-15.89445,240.0,0.22689871,0.84576637,0.09996515,0.10441086,60000.0,12000.0
1300.0,0.0795025,12,0.19999999999999998,0.13166666666666668,0.2042572,-15.692151,260.0,0.21682312,0.84569246,0.100094825,0.26217434,65000.0,13000.0
1400.0,0.082283296,13,0.25,0.1516666666666667,0.20432937,-14.192483,280.0,0.19669592,0.84566575,0.10049081,0.28191975,70000.0,14000.0
1500.0,0.08579267,14,0.28333333333333327,0.20333333333333334,0.20432168,-15.181033,300.0,0.2127027,0.84567195,0.10133412,0.2473479,75000.0,15000.0
1600.0,0.08810591,15,0.4583333333333333,0.21999999999999997,0.2042744,-12.7879305,320.0,0.16927315,0.8455322,0.102112025,0.27586544,80000.0,16000.0
1700.0,0.0894548,16,0.4166666666666667,0.26333333333333336,0.20424946,-12.126603,340.0,0.17797674,0.84560853,0.10214461,0.25851703,85000.0,17000.0
1800.0,0.09123907,17,0.4416666666666667,0.31666666666666665,0.2041213,-13.341396,360.0,0.18005359,0.84556204,0.102365285,0.386233,90000.0,18000.0
1900.0,0.09269861,18,0.4833333333333334,0.285,0.20394509,-14.09637,380.0,0.18896882,0.8454437,0.10240176,0.1528868,95000.0,19000.0
2000.0,0.09462541,19,0.4583333333333333,0.305,0.20388277,-14.665914,400.0,0.18784261,0.8455227,0.10248151,0.1824435,100000.0,20000.0
2100.0,0.096491255,20,0.48333333333333334,0.38833333333333336,0.20376621,-14.150815,420.0,0.17030804,0.84538144,0.10255917,0.2650526,105000.0,21000.0
2200.0,0.09802291,21,0.525,0.3466666666666667,0.20370948,-13.413867,440.0,0.15676142,0.8454368,0.102808215,0.24551992,110000.0,22000.0
2300.0,0.09956708,22,0.5833333333333334,0.385,0.20367275,-12.211553,460.0,0.14910792,0.8454222,0.102920495,0.28187898,115000.0,23000.0
2400.0,0.100950696,23,0.4416666666666667,0.4116666666666667,0.20352906,-16.773668,480.0,0.19736286,0.84538937,0.10310743,0.2743458,120000.0,24000.0
2500.0,0.10189864,24,0.5333333333333333,0.3733333333333333,0.20341946,-15.13445,500.0,0.17628731,0.845391,0.10331877,0.23909014,125000.0,25000.0
2600.0,0.10315061,25,0.5416666666666666,0.44,0.20327826,-15.055966,520.0,0.17395167,0.8454394,0.103577465,0.184619,130000.0,26000.0
2700.0,0.10435319,26,0.4833333333333334,0.4166666666666667,0.20323025,-15.226628,540.0,0.18259452,0.84563583,0.10369494,0.22292064,135000.0,27000.0
