train/episode,stats_o/std,epoch,test/success_rate,train/success_rate,stats_o/mean,test/mean_Q,test/episode,test/ag_g_dist,stats_g/mean,stats_g/std,train/critic_loss,train/reward_compute_count,test/reward_compute_count
2800.0,0.105316184,27,0.5583333333333333,0.45166666666666666,0.2031601,-13.232369,560.0,0.16174851,0.84569925,0.103851415,0.13487951,140000.0,28000.0
2900.0,0.10609446,28,0.65,0.44,0.20310064,-11.890358,580.0,0.14812323,0.84578973,0.10385475,0.13865161,145000.0,29000.0
3000.0,0.106758215,29,0.65,0.45500000000000007,0.20309453,-9.639552,600.0,0.12888299,0.8458827,0.10387823,0.2503132,150000.0,30000.0
3100.0,0.10747587,30,0.6,0.4466666666666667,0.2031697,-11.862625,620.0,0.16064467,0.8459336,0.10386493,0.18417966,155000.0,31000.0
3200.0,0.10809132,31,0.6,0.4883333333333333,0.20317076,-11.616427,640.0,0.14216767,0.84600115,0.10376083,0.14923406,160000.0,32000.0
3300.0,0.10845172,32,0.7083333333333334,0.525,0.203193,-8.945997,660.0,0.12286135,0.84593517,0.10363666,0.18920784,165000.0,33000.0
3400.0,0.10872535,33,0.725,0.535,0.20322488,-9.407967,680.0,0.12188146,0.8460955,0.10349992,0.29496038,170000.0,34000.0
3500.0,0.10897394,34,0.725,0.5483333333333333,0.2033032,-8.547412,700.0,0.1115916,0.8461761,0.10341001,0.22903533,175000.0,35000.0
3600.0,0.10905514,35,0.7583333333333334,0.5333333333333333,0.20333517,-8.732352,720.0,0.12844759,0.84638745,0.10341672,0.46279922,180000.0,36000.0
3700.0,0.1091307,36,0.75,0.555,0.2033873,-8.239746,740.0,0.118160486,0.8464639,0.103337474,0.16347441,185000.0,37000.0
3800.0,0.10924793,37,0.8166666666666668,0.54,0.20346962,-6.980707,760.0,0.10607371,0.8465931,0.10325261,0.26566723,190000.0,38000.0
3900.0,0.109337635,38,0.775,0.5266666666666667,0.20357321,-7.929339,780.0,0.11250169,0.8466589,0.10326662,0.339753,195000.0,39000.0
4000.0,0.1093451,39,0.7916666666666666,0.5433333333333333,0.20362355,-7.8994365,800.0,0.11294108,0.84672695,0.103156514,0.29515287,200000.0,40000.0
4100.0,0.10936728,40,0.8416666666666668,0.5983333333333333,0.20365526,-7.6254516,820.0,0.10643002,0.84684324,0.10313057,0.13906322,205000.0,41000.0
4200.0,0.109329544,41,0.85,0.6083333333333333,0.20369959,-6.032313,840.0,0.09258101,0.8469749,0.10301354,0.17588027,210000.0,42000.0
4300.0,0.10942016,42,0.7916666666666666,0.5383333333333333,0.20378642,-7.6203475,860.0,0.11476731,0.84713984,0.10293764,0.22619526,215000.0,43000.0
4400.0,0.10948696,43,0.8833333333333333,0.5666666666666668,0.20379764,-5.9722953,880.0,0.0817771,0.8472927,0.10292827,0.23868127,220000.0,44000.0
4500.0,0.109549604,44,0.725,0.5633333333333334,0.2038213,-8.05491,900.0,0.1109711,0.8473403,0.102970876,0.17431818,225000.0,45000.0
4600.0,0.10955879,45,0.7999999999999999,0.5666666666666667,0.20383942,-6.380235,920.0,0.103386484,0.8474607,0.10310161,0.2455144,230000.0,46000.0
4700.0,0.10954646,46,0.85,0.585,0.20385325,-5.728855,940.0,0.092088856,0.84755105,0.103119195,0.16550313,235000.0,47000.0
4800.0,0.10957376,47,0.8249999999999998,0.5783333333333333,0.20387518,-7.6972275,960.0,0.107992776,0.84760195,0.10315103,0.2409238,240000.0,48000.0
4900.0,0.10970622,48,0.8250000000000001,0.585,0.20391484,-5.1896415,980.0,0.08398124,0.8476711,0.103140555,0.17349593,245000.0,49000.0
5000.0,0.10965038,49,0.875,0.5883333333333333,0.20391035,-5.8202176,1000.0,0.089516245,0.84767455,0.10311357,0.17573743,250000.0,50000.0
5100.0,0.109661035,50,0.7583333333333334,0.54,0.20393305,-5.8101325,1020.0,0.08832321,0.8478057,0.10311341,0.25013253,255000.0,51000.0
5200.0,0.10955892,51,0.7833333333333333,0.5983333333333333,0.20394836,-6.8680377,1040.0,0.098873734,0.84787554,0.103056245,0.25702083,260000.0,52000.0
5300.0,0.10974399,52,0.8083333333333332,0.5333333333333333,0.20398624,-6.8686943,1060.0,0.08600384,0.8479921,0.10325741,0.23112206,265000.0,53000.0
5400.0,0.109896995,53,0.8583333333333334,0.6033333333333334,0.20400542,-5.0707164,1080.0,0.073267244,0.8480747,0.10326902,0.16010526,270000.0,54000.0
5500.0,0.10999925,54,0.875,0.62,0.20400512,-5.3009133,1100.0,0.07231139,0.8481281,0.10330793,0.22093034,275000.0,55000.0
5600.0,0.11014485,55,0.8916666666666666,0.545,0.20398556,-4.7261696,1120.0,0.07078688,0.8483102,0.10341745,0.15413174,280000.0,56000.0
5700.0,0.110167,56,0.9333333333333332,0.555,0.20399249,-3.6755397,1140.0,0.066496454,0.8484319,0.10349693,0.2003501,285000.0,57000.0
5800.0,0.11021157,57,0.9333333333333332,0.5749999999999998,0.20402916,-3.5146372,1160.0,0.068461046,0.8485039,0.103581816,0.1937089,290000.0,58000.0
5900.0,0.11029813,58,0.9,0.5816666666666667,0.20399016,-4.1231704,1180.0,0.07237602,0.84856844,0.10359975,0.2698259,295000.0,59000.0
6000.0,0.11039874,59,0.9333333333333332,0.5783333333333333,0.2040111,-3.3154023,1200.0,0.07057647,0.8486374,0.10365463,0.20315838,300000.0,60000.0
