stats_o/mean,test/episode,test/success_rate,train/success_rate,stats_g/mean,epoch,test/ag_g_dist,stats_o/std,test/mean_Q,train/episode,stats_g/std,train/critic_loss
0.31494346,20.0,0.09166666666666667,0.0,0.6724815,0,0.029876301,0.7160988,-1.6334491,100.0,0.01852214,0.040882166
0.30858582,40.0,0.19166666666666665,0.005,0.6729601,1,0.025308102,0.77397853,-1.6048151,200.0,0.018034998,0.044606794
0.30835456,60.0,0.08333333333333333,0.0016666666666666668,0.6730326,2,0.033251528,0.7951389,-2.0861604,300.0,0.017756512,0.04468912
0.30827975,80.0,0.2916666666666667,0.006666666666666667,0.67320055,3,0.029159652,0.8056776,-2.7255147,400.0,0.017648732,0.041053023
0.30823705,100.0,0.16666666666666666,0.011666666666666667,0.67353505,4,0.039459355,0.81009847,-3.3989046,500.0,0.017470894,0.043549817
0.30820006,120.0,0.15833333333333335,0.005,0.67401534,5,0.029252017,0.8130829,-3.1058443,600.0,0.017551748,0.044198066
0.30836228,140.0,0.19166666666666665,0.005,0.6741554,6,0.03794983,0.81701946,-3.2700417,700.0,0.017684968,0.047673922
0.30802417,160.0,0.25833333333333336,0.006666666666666667,0.674328,7,0.04631644,0.82049114,-3.874097,800.0,0.017828165,0.04657045
0.30765936,180.0,0.25,0.005,0.6745307,8,0.02164022,0.82502717,-2.7567356,900.0,0.017914208,0.048239287
0.30708474,200.0,0.425,0.005,0.67459273,9,0.027518598,0.8284829,-2.9714508,1000.0,0.01785553,0.049822304
0.30674857,220.0,0.4416666666666667,0.006666666666666667,0.67471963,10,0.032154594,0.8307738,-3.3830688,1100.0,0.017845387,0.045064103
0.30669236,240.0,0.46666666666666673,0.018333333333333337,0.67471886,11,0.030005416,0.8314121,-3.503002,1200.0,0.017806714,0.047253538
0.30644122,260.0,0.47500000000000003,0.008333333333333333,0.67467684,12,0.033190887,0.83122486,-4.5153766,1300.0,0.017793747,0.04849862
0.305839,280.0,0.5416666666666666,0.015,0.6746772,13,0.02542754,0.8312368,-3.5948992,1400.0,0.017785063,0.049345344
0.30562985,300.0,0.5833333333333334,0.006666666666666667,0.67471486,14,0.037296273,0.8305388,-4.996307,1500.0,0.017797334,0.046804663
0.30563638,320.0,0.6,0.006666666666666667,0.6747868,15,0.035068247,0.829513,-5.115431,1600.0,0.017824668,0.04405697
0.3057542,340.0,0.6999999999999998,0.013333333333333334,0.67483264,16,0.0339302,0.8285582,-5.467301,1700.0,0.01782272,0.04541127
0.30587775,360.0,0.6749999999999999,0.013333333333333334,0.67484444,17,0.03587664,0.827635,-6.777979,1800.0,0.017791187,0.044157248
0.30599278,380.0,0.6833333333333332,0.005,0.6748249,18,0.025746616,0.82735866,-6.371774,1900.0,0.017724972,0.04426508
0.30615607,400.0,0.6416666666666667,0.0033333333333333335,0.6748422,19,0.027743956,0.8266762,-5.9796414,2000.0,0.017653916,0.050241012
0.30576494,420.0,0.5750000000000001,0.02,0.6748281,20,0.018949185,0.82834595,-4.9311714,2100.0,0.01762312,0.042428244
0.3055588,440.0,0.6833333333333335,0.013333333333333334,0.6748324,21,0.02024567,0.8298867,-3.938712,2200.0,0.017608108,0.046342403
0.30531624,460.0,0.6083333333333333,0.006666666666666667,0.67481047,22,0.018922627,0.83087903,-4.00132,2300.0,0.017600043,0.047688127
0.30508012,480.0,0.6416666666666666,0.008333333333333333,0.6748176,23,0.020920781,0.83111334,-4.4011693,2400.0,0.01759258,0.052618694
0.3048724,500.0,0.7333333333333334,0.01,0.6748211,24,0.02015605,0.83130765,-3.3674843,2500.0,0.017579446,0.049579114
0.30484125,520.0,0.6749999999999999,0.015,0.6748119,25,0.019642236,0.83196944,-3.6785176,2600.0,0.017578995,0.04433145
0.30479616,540.0,0.6416666666666667,0.008333333333333333,0.6748121,26,0.017494572,0.83265543,-3.378917,2700.0,0.017565448,0.04671039
0.3046383,560.0,0.6333333333333333,0.013333333333333334,0.6748007,27,0.018894339,0.8332704,-4.0087614,2800.0,0.01754793,0.042217184
0.3046183,580.0,0.5916666666666667,0.008333333333333333,0.6748035,28,0.020948535,0.83366185,-4.0091844,2900.0,0.01754426,0.048942074
0.30460334,600.0,0.7083333333333334,0.013333333333333334,0.6748163,29,0.023975903,0.8336894,-3.661848,3000.0,0.017544964,0.04852356
0.30455953,620.0,0.7083333333333334,0.008333333333333333,0.6748385,30,0.025872797,0.83380204,-4.049564,3100.0,0.01757307,0.047594663
0.30453813,640.0,0.725,0.013333333333333334,0.6748295,31,0.022044025,0.83391017,-4.69514,3200.0,0.017570585,0.04464513
0.30460775,660.0,0.6749999999999999,0.01,0.6748206,32,0.019800408,0.83380324,-4.7405224,3300.0,0.017557051,0.04326899
0.30462787,680.0,0.7416666666666667,0.01,0.67481655,33,0.029390322,0.83366627,-4.838508,3400.0,0.01753707,0.051586974
0.30462125,700.0,0.725,0.008333333333333333,0.67481965,34,0.02891162,0.83332807,-5.860523,3500.0,0.01753665,0.04198453
0.30460566,720.0,0.6166666666666667,0.013333333333333334,0.674835,35,0.039011832,0.83270097,-7.557627,3600.0,0.017545704,0.044500917
0.3047176,740.0,0.65,0.005,0.67485046,36,0.037119407,0.8320642,-7.2323728,3700.0,0.017534724,0.047185022
0.30478555,760.0,0.525,0.005,0.67488414,37,0.040478285,0.83166856,-6.9962792,3800.0,0.017540032,0.047296345
0.3049079,780.0,0.6333333333333334,0.018333333333333333,0.67489904,38,0.032302063,0.83120304,-6.02099,3900.0,0.017540138,0.04879145
0.30510002,800.0,0.6333333333333333,0.021666666666666667,0.67490333,39,0.037942704,0.83084846,-7.9259114,4000.0,0.017539239,0.0508593
0.3052098,820.0,0.7083333333333334,0.006666666666666667,0.67490417,40,0.03249561,0.83035105,-6.3470597,4100.0,0.017532306,0.052966923
0.30528685,840.0,0.5416666666666666,0.008333333333333333,0.6748938,41,0.048329677,0.8299883,-10.11039,4200.0,0.01753975,0.03960142
0.30531934,860.0,0.625,0.008333333333333333,0.6748788,42,0.037256192,0.829725,-7.0806446,4300.0,0.017561508,0.04844826
0.30532214,880.0,0.6583333333333333,0.013333333333333334,0.6748583,43,0.04266764,0.82947177,-7.929296,4400.0,0.017573943,0.04841568
0.30537534,900.0,0.5916666666666667,0.008333333333333333,0.6748434,44,0.0354689,0.8289445,-7.6127763,4500.0,0.017576717,0.04994012
0.30544528,920.0,0.7166666666666667,0.006666666666666667,0.67482454,45,0.037962854,0.82853884,-8.834652,4600.0,0.017600043,0.04542281
0.30545613,940.0,0.7083333333333334,0.013333333333333334,0.6748104,46,0.03664167,0.82798177,-8.665849,4700.0,0.017596085,0.041761845
0.3054915,960.0,0.6666666666666666,0.01,0.6748181,47,0.04010037,0.82743937,-9.287896,4800.0,0.017592229,0.048338983
0.3055105,980.0,0.7083333333333334,0.01,0.6748176,48,0.03881652,0.8270464,-9.088454,4900.0,0.01759242,0.042520534
0.3055862,1000.0,0.6666666666666666,0.011666666666666667,0.67481905,49,0.040720295,0.82668203,-8.90751,5000.0,0.017591145,0.049253915
