stats_g/std,test/ag_g_dist,test/mean_Q,stats_g/mean,test/success_rate,train/success_rate,stats_o/std,test/episode,epoch,stats_o/mean,train/episode,train/critic_loss
0.07045068,0.17481892,-2.8246918,0.83727384,0.0,0.0016666666666666668,0.050086398,20.0,0,0.20110987,100.0,0.09075353
0.07212324,0.18158452,-4.9079127,0.8370511,0.016666666666666666,0.0016666666666666668,0.051793676,40.0,1,0.20102459,200.0,0.092909396
0.07165169,0.1679966,-6.6654506,0.83722574,0.0,0.005,0.04947162,60.0,2,0.20103987,300.0,0.08538711
0.075925834,0.18380703,-8.781497,0.8377104,0.0,0.008333333333333333,0.05346157,80.0,3,0.20122276,400.0,0.088137306
0.07984505,0.18805957,-10.675674,0.83840156,0.0,0.006666666666666667,0.05806003,100.0,4,0.20149519,500.0,0.09812232
0.08233122,0.16396457,-11.451897,0.83834976,0.008333333333333333,0.006666666666666667,0.06207818,120.0,5,0.20160572,600.0,0.10011807
0.08291529,0.16231018,-12.27374,0.83828133,0.041666666666666664,0.016666666666666666,0.06442786,140.0,6,0.20152475,700.0,0.107460536
0.08328884,0.15331323,-11.787327,0.8388215,0.075,0.04833333333333334,0.06833456,160.0,7,0.20164444,800.0,0.11870512
0.08268637,0.11619717,-9.285434,0.83890986,0.17499999999999996,0.09666666666666668,0.072701015,180.0,8,0.20144065,900.0,0.23077746
0.082341775,0.09714226,-7.5511985,0.8390243,0.27499999999999997,0.14,0.07910431,200.0,9,0.20141192,1000.0,0.21632786
0.082126684,0.058476817,-4.9036336,0.83888197,0.4333333333333333,0.225,0.087120235,220.0,10,0.2011111,1100.0,0.18822177
0.08239241,0.055583704,-4.0325603,0.8387711,0.5416666666666666,0.275,0.093663774,240.0,11,0.20127045,1200.0,0.18146831
0.08244512,0.04845433,-3.373338,0.8387427,0.6833333333333332,0.28,0.09895112,260.0,12,0.20128715,1300.0,0.23414393
0.081835724,0.048686374,-3.183541,0.8385453,0.775,0.37666666666666665,0.1029497,280.0,13,0.20132937,1400.0,0.23468196
0.081691556,0.046375047,-3.1409538,0.8384605,0.7666666666666666,0.3833333333333333,0.10654851,300.0,14,0.20137864,1500.0,0.23048206
0.08127009,0.04479434,-2.6357248,0.83851504,0.8833333333333333,0.43999999999999995,0.10896025,320.0,15,0.20120688,1600.0,0.24494366
0.08108812,0.04358794,-2.6228182,0.8385856,0.8583333333333333,0.44333333333333336,0.11124799,340.0,16,0.2012646,1700.0,0.2334717
0.080710314,0.04278088,-2.5525303,0.8387509,0.85,0.4483333333333333,0.11272546,360.0,17,0.20134537,1800.0,0.22529113
0.08050712,0.044877734,-2.6106138,0.8387515,0.8666666666666667,0.435,0.11444991,380.0,18,0.20135777,1900.0,0.28564426
0.08054925,0.04064226,-2.301895,0.8386872,0.9583333333333334,0.4566666666666667,0.11591605,400.0,19,0.20122917,2000.0,0.3284106
0.08040706,0.041330177,-2.3100252,0.8386261,0.9249999999999999,0.48666666666666664,0.11688918,420.0,20,0.20113462,2100.0,0.24435847
0.080223076,0.04048405,-2.2178144,0.83865994,0.9666666666666667,0.5083333333333334,0.11813607,440.0,21,0.20104094,2200.0,0.2557176
0.07996138,0.045179795,-2.560636,0.83856946,0.9083333333333333,0.505,0.11928163,460.0,22,0.20102687,2300.0,0.31647798
0.07972518,0.047062945,-2.598632,0.8386023,0.9166666666666666,0.49833333333333335,0.12022811,480.0,23,0.20098911,2400.0,0.2697182
0.0795885,0.041079517,-2.1552322,0.83862233,0.9416666666666668,0.5266666666666667,0.121291704,500.0,24,0.2010146,2500.0,0.26205406
0.07937746,0.041460223,-2.0947042,0.8385999,0.9499999999999998,0.5016666666666667,0.12206,520.0,25,0.2009726,2600.0,0.27433836
0.07949188,0.04195712,-2.2426398,0.83851695,0.9416666666666668,0.47833333333333333,0.122938834,540.0,26,0.2009234,2700.0,0.24238984
0.079535745,0.037406664,-2.0753489,0.83856034,0.9583333333333334,0.49333333333333335,0.12350812,560.0,27,0.2008845,2800.0,0.21898298
0.07929731,0.04225296,-2.102827,0.83852404,0.9500000000000001,0.49833333333333335,0.12397929,580.0,28,0.20081984,2900.0,0.26470312
0.079243146,0.04391711,-2.231064,0.8384814,0.975,0.5216666666666666,0.12463435,600.0,29,0.20084478,3000.0,0.32832137
