train/success_rate,stats_g/std,stats_o/mean,test/episode,test/ag_g_dist,train/critic_loss,test/mean_Q,stats_o/std,stats_g/mean,epoch,train/episode,test/success_rate
0.0016666666666666668,0.07067012,0.20101719,20.0,0.1747383,0.025780382,-2.3873239,0.043491453,0.8417916,0,100.0,0.0
0.0016666666666666668,0.07083984,0.20090584,40.0,0.1816748,0.02816393,-4.509769,0.0474139,0.84144473,1,200.0,0.008333333333333333
0.005,0.07040844,0.20082648,60.0,0.16638033,0.02731848,-6.4140754,0.045886565,0.84132594,2,300.0,0.0
0.006666666666666667,0.07057239,0.20096211,80.0,0.17639785,0.036544606,-8.540094,0.046326566,0.8420534,3,400.0,0.0
0.005,0.07129926,0.20099594,100.0,0.1835794,0.03349258,-10.304418,0.048127037,0.84286124,4,500.0,0.0
0.0033333333333333335,0.07582846,0.20120125,120.0,0.17745805,0.045953352,-11.588126,0.052704636,0.84287405,5,600.0,0.0
0.008333333333333333,0.07885452,0.20127851,140.0,0.18135953,0.051136956,-12.950025,0.05546151,0.8428828,6,700.0,0.0
0.006666666666666667,0.082145475,0.20139492,160.0,0.18752605,0.055020303,-14.124382,0.058818698,0.8430292,7,800.0,0.008333333333333333
0.015,0.08372321,0.20145112,180.0,0.17002876,0.07883045,-14.573906,0.06186794,0.8432687,8,900.0,0.041666666666666664
0.023333333333333334,0.083886445,0.20126943,200.0,0.16779888,0.06382489,-14.235055,0.06401696,0.8435457,9,1000.0,0.03333333333333333
0.07500000000000001,0.083406605,0.20115395,220.0,0.14431106,0.103820525,-12.95549,0.06698053,0.84367037,10,1100.0,0.10833333333333332
0.10333333333333333,0.082469545,0.20124845,240.0,0.105716504,0.10241094,-10.36403,0.069507115,0.8442042,11,1200.0,0.11666666666666668
0.155,0.08193182,0.20127876,260.0,0.08385017,0.14538722,-9.161325,0.07337227,0.8447476,12,1300.0,0.20833333333333334
0.19666666666666666,0.081310846,0.20119862,280.0,0.08520937,0.0994826,-8.1006155,0.075930856,0.8449181,13,1400.0,0.3333333333333333
0.25,0.08104529,0.20120476,300.0,0.06543389,0.13649012,-6.6040916,0.07878499,0.8447053,14,1500.0,0.5
0.28500000000000003,0.0805167,0.20134556,320.0,0.067567304,0.1678708,-6.3001294,0.080533326,0.8445394,15,1600.0,0.5416666666666666
0.37666666666666665,0.08011728,0.20144217,340.0,0.052182704,0.16358514,-5.069656,0.08260811,0.8443969,16,1700.0,0.6583333333333333
0.40166666666666667,0.07975265,0.20155506,360.0,0.057101388,0.14790994,-5.5364785,0.08420893,0.84443504,17,1800.0,0.6333333333333334
0.41500000000000004,0.07918963,0.20151253,380.0,0.06066821,0.10771522,-5.2375417,0.08570518,0.84436125,18,1900.0,0.75
0.47,0.07864194,0.20148797,400.0,0.059453774,0.14599945,-5.205557,0.08685365,0.8442916,19,2000.0,0.7999999999999999
0.48500000000000004,0.078401566,0.20150906,420.0,0.055050135,0.14304245,-4.6024394,0.087958075,0.8442068,20,2100.0,0.8416666666666667
0.525,0.07810205,0.2015118,440.0,0.05167346,0.21952116,-3.8483546,0.08871082,0.844233,21,2200.0,0.8999999999999999
0.545,0.07776446,0.20154315,460.0,0.050727963,0.14345665,-3.591772,0.089307435,0.8440651,22,2300.0,0.9666666666666667
0.57,0.07746676,0.20150442,480.0,0.048892844,0.13415599,-3.2806008,0.089861415,0.84405035,23,2400.0,0.9583333333333334
0.5766666666666665,0.07707102,0.20156361,500.0,0.046688586,0.14442615,-3.1796482,0.090194486,0.8440514,24,2500.0,0.9666666666666667
0.5533333333333333,0.07675698,0.20154966,520.0,0.04767041,0.13685508,-3.1976755,0.0906475,0.8439891,25,2600.0,0.9416666666666668
0.5616666666666666,0.07661407,0.2015694,540.0,0.04555105,0.1456046,-2.6186347,0.091052674,0.8438549,26,2700.0,0.9833333333333334
0.6083333333333333,0.07640685,0.20156173,560.0,0.039620798,0.16487442,-2.47365,0.09126833,0.84387547,27,2800.0,0.975
0.595,0.076111585,0.20154671,580.0,0.04548956,0.14955488,-2.5981352,0.09146967,0.84377366,28,2900.0,0.9666666666666667
0.6366666666666666,0.075803496,0.20153223,600.0,0.05238043,0.12544166,-2.7326097,0.091537975,0.84367377,29,3000.0,0.9499999999999998
0.5583333333333333,0.07563498,0.20153779,620.0,0.042949285,0.14967285,-2.1732225,0.09180516,0.8436518,30,3100.0,0.9916666666666667
0.6166666666666667,0.075520806,0.2014936,640.0,0.042935614,0.14212686,-2.257281,0.09209599,0.84349155,31,3200.0,1.0
0.6266666666666666,0.07529743,0.20147453,660.0,0.04182675,0.14936788,-2.0890515,0.0921905,0.8434413,32,3300.0,1.0
0.6116666666666667,0.07515318,0.20146091,680.0,0.039207634,0.13837492,-1.8767487,0.09236368,0.84339267,33,3400.0,0.9833333333333334
0.6050000000000001,0.07496289,0.20141947,700.0,0.03700362,0.16127856,-1.9167093,0.09249815,0.84337217,34,3500.0,0.9583333333333334
0.5750000000000001,0.07481882,0.20136344,720.0,0.039710473,0.12542936,-1.9173063,0.09275938,0.84336346,35,3600.0,0.9666666666666667
0.6066666666666666,0.07478779,0.20139378,740.0,0.041226845,0.11681583,-1.9349222,0.09297515,0.8433749,36,3700.0,0.9833333333333334
0.6333333333333333,0.07462177,0.20138188,760.0,0.044823293,0.15971325,-2.1135232,0.09325395,0.8432911,37,3800.0,0.9833333333333334
0.6433333333333333,0.07439178,0.20137934,780.0,0.041253276,0.13005847,-1.838336,0.09331999,0.8432615,38,3900.0,1.0
0.6349999999999999,0.074322574,0.20135136,800.0,0.041456494,0.18687092,-1.8525233,0.09349593,0.8432042,39,4000.0,1.0
0.5933333333333333,0.07419929,0.20130146,820.0,0.038709257,0.13006105,-1.9265276,0.09365376,0.843113,40,4100.0,1.0
