train/critic_loss,stats_o/std,train/success_rate,test/reward_compute_count,stats_o/mean,stats_g/mean,train/reward_compute_count,test/episode,test/mean_Q,test/ag_g_dist,test/success_rate,train/episode,stats_g/std,epoch
0.028513314,0.719677,0.0,1000.0,0.20442544,0.3581791,5000.0,20.0,-2.760683,0.9833832,0.0,100.0,0.14196894,0
0.022681855,0.7125179,0.0,2000.0,0.2062511,0.35770163,10000.0,40.0,-4.830489,0.98404866,0.0,200.0,0.14186603,1
0.022455888,0.7090704,0.0,3000.0,0.20580094,0.35770646,15000.0,60.0,-6.5980415,0.9309182,0.0,300.0,0.14274603,2
0.027021656,0.70678186,0.0,4000.0,0.20552099,0.35767666,20000.0,80.0,-8.673846,0.94412184,0.0,400.0,0.14335015,3
0.025748974,0.7077262,0.0,5000.0,0.20539974,0.3580966,25000.0,100.0,-10.254222,0.9233196,0.008333333333333333,500.0,0.142792,4
0.029837564,0.7108194,0.0,6000.0,0.20528902,0.3582522,30000.0,120.0,-11.3155775,0.86977035,0.0,600.0,0.14350507,5
0.04203059,0.7176563,0.0016666666666666668,7000.0,0.20567288,0.35845336,35000.0,140.0,-13.204862,0.9892462,0.0,700.0,0.14444757,6
0.035782907,0.7221615,0.0016666666666666668,8000.0,0.20600915,0.35865662,40000.0,160.0,-14.603779,0.9492578,0.008333333333333333,800.0,0.14582764,7
0.04356282,0.7282613,0.006666666666666667,9000.0,0.20593876,0.35905996,45000.0,180.0,-15.257046,0.857876,0.025000000000000005,900.0,0.14690788,8
0.051232625,0.7352617,0.01,10000.0,0.20569451,0.3594598,50000.0,200.0,-15.767068,0.8263429,0.06666666666666667,1000.0,0.14807257,9
0.052999377,0.7422139,0.006666666666666667,11000.0,0.20541538,0.35985592,55000.0,220.0,-16.575499,0.926585,0.025000000000000005,1100.0,0.14871284,10
0.06268665,0.7470937,0.0016666666666666668,12000.0,0.20556872,0.36029363,60000.0,240.0,-18.763882,0.9332204,0.016666666666666666,1200.0,0.14919898,11
0.06497514,0.7527979,0.006666666666666667,13000.0,0.20544545,0.36059895,65000.0,260.0,-17.847094,0.8260692,0.08333333333333333,1300.0,0.14984019,12
0.06668762,0.7582541,0.0016666666666666668,14000.0,0.20511307,0.36094037,70000.0,280.0,-19.312899,0.90545636,0.03333333333333333,1400.0,0.15033267,13
0.078185,0.7627962,0.006666666666666667,15000.0,0.20486587,0.36135438,75000.0,300.0,-20.372473,0.9141647,0.041666666666666664,1500.0,0.15076466,14
0.09348532,0.7670806,0.006666666666666667,16000.0,0.20482032,0.3616942,80000.0,320.0,-20.724863,0.88790464,0.05833333333333334,1600.0,0.15134832,15
0.08526204,0.77202255,0.015,17000.0,0.20452887,0.36227074,85000.0,340.0,-20.080132,0.838254,0.05000000000000001,1700.0,0.15224193,16
0.09076926,0.7771599,0.015,18000.0,0.20432101,0.36262682,90000.0,360.0,-19.985092,0.74525744,0.10000000000000002,1800.0,0.15312769,17
