train/critic_loss,stats_g/std,test/success_rate,test/episode,test/mean_Q,epoch,test/reward_compute_count,stats_o/mean,train/reward_compute_count,train/success_rate,train/episode,stats_o/std,stats_g/mean,test/ag_g_dist
0.11469514,0.2329488,0.0,20.0,-2.6300342,0,1000.0,0.1983809,5000.0,0.0,100.0,0.76097363,0.36662802,0.9800096
0.11022663,0.23346521,0.0,40.0,-4.648245,1,2000.0,0.197276,10000.0,0.0,200.0,0.7634389,0.36901617,1.0026181
0.116633505,0.23369364,0.0,60.0,-6.3897057,2,3000.0,0.19744046,15000.0,0.0,300.0,0.76144236,0.37000474,0.97713023
0.12187023,0.23335914,0.0,80.0,-8.3287325,3,4000.0,0.19776781,20000.0,0.0,400.0,0.76289225,0.37055516,1.0387522
0.117093414,0.23302893,0.0,100.0,-9.5029335,4,5000.0,0.19757108,25000.0,0.0,500.0,0.7664187,0.37093696,0.9572001
0.11556093,0.23392491,0.0,120.0,-10.794689,5,6000.0,0.19794758,30000.0,0.0,600.0,0.7685316,0.37217632,0.97984046
0.120842755,0.23434491,0.0,140.0,-12.760663,6,7000.0,0.1982469,35000.0,0.0,700.0,0.7706494,0.37256885,1.0665404
0.123885095,0.2344033,0.0,160.0,-13.590703,7,8000.0,0.19787592,40000.0,0.0,800.0,0.7726796,0.37244782,0.99122906
0.1294858,0.23452742,0.0,180.0,-14.503306,8,9000.0,0.19799869,45000.0,0.0,900.0,0.7756075,0.37291965,0.9407873
0.1381865,0.23510265,0.0,200.0,-15.884671,9,10000.0,0.19775324,50000.0,0.0016666666666666668,1000.0,0.7789052,0.37281016,1.0147841
0.124894105,0.23579729,0.0,220.0,-16.9515,10,11000.0,0.19754429,55000.0,0.0016666666666666668,1100.0,0.7820491,0.37240264,0.99578255
0.13608971,0.23640136,0.0,240.0,-17.341486,11,12000.0,0.19732921,60000.0,0.005,1200.0,0.7860715,0.37188914,1.0303851
0.14755917,0.23659968,0.008333333333333333,260.0,-18.090052,12,13000.0,0.19721492,65000.0,0.0016666666666666668,1300.0,0.79139584,0.3715895,0.96200705
0.14690322,0.23642816,0.008333333333333333,280.0,-18.808184,13,14000.0,0.19736572,70000.0,0.0,1400.0,0.79537994,0.37171438,0.9827096
0.14958681,0.23638916,0.0,300.0,-19.984339,14,15000.0,0.19735086,75000.0,0.0,1500.0,0.80037683,0.37202927,1.0312009
0.16107385,0.23613791,0.0,320.0,-19.518412,15,16000.0,0.19697684,80000.0,0.0016666666666666668,1600.0,0.8056423,0.37232184,0.9062543
0.15988092,0.2361912,0.0,340.0,-19.887388,16,17000.0,0.19673963,85000.0,0.0,1700.0,0.8104711,0.3725914,0.9136412
0.16626881,0.2360863,0.0,360.0,-20.435377,17,18000.0,0.19673671,90000.0,0.0,1800.0,0.81482345,0.372417,0.93529636
0.15786505,0.23596443,0.0,380.0,-19.9546,18,19000.0,0.19657123,95000.0,0.0016666666666666668,1900.0,0.8190201,0.37197378,0.8749803
0.15664643,0.23567756,0.03333333333333333,400.0,-19.749989,19,20000.0,0.19618075,100000.0,0.005,2000.0,0.8239138,0.37199518,0.83241606
0.17391224,0.23547292,0.0,420.0,-20.17345,20,21000.0,0.19583167,105000.0,0.0,2100.0,0.8282793,0.3719752,0.8203513
0.17843683,0.2352161,0.016666666666666666,440.0,-20.167368,21,22000.0,0.19556653,110000.0,0.0,2200.0,0.8322441,0.37191823,0.85449094
0.17839809,0.23481329,0.016666666666666666,460.0,-21.636093,22,23000.0,0.19539,115000.0,0.006666666666666667,2300.0,0.83678454,0.3723154,0.8785267
0.17254168,0.23464684,0.025000000000000005,480.0,-20.572857,23,24000.0,0.19505344,120000.0,0.0033333333333333335,2400.0,0.84118766,0.37259737,0.80915993
0.18584882,0.23443057,0.016666666666666666,500.0,-19.033213,24,25000.0,0.19460267,125000.0,0.0033333333333333335,2500.0,0.84596294,0.37245223,0.7452375
0.2068919,0.23435275,0.008333333333333333,520.0,-21.608324,25,26000.0,0.19425888,130000.0,0.0033333333333333335,2600.0,0.85053796,0.3726357,0.8490142
0.19595776,0.23412062,0.016666666666666666,540.0,-19.80586,26,27000.0,0.19393702,135000.0,0.005,2700.0,0.85527414,0.372929,0.7828345
0.20203824,0.2339301,0.03333333333333333,560.0,-18.734978,27,28000.0,0.19347195,140000.0,0.01,2800.0,0.8598993,0.37294593,0.73848146
0.19111355,0.23378848,0.008333333333333333,580.0,-21.344511,28,29000.0,0.19310088,145000.0,0.006666666666666667,2900.0,0.86425227,0.3732532,0.84096617
0.2123133,0.23373981,0.008333333333333333,600.0,-20.87834,29,30000.0,0.19280677,150000.0,0.0016666666666666668,3000.0,0.8683663,0.37340984,0.8098902
0.23444772,0.2335922,0.016666666666666666,620.0,-16.998198,30,31000.0,0.1924827,155000.0,0.005,3100.0,0.8720824,0.37326047,0.6730017
0.24021308,0.23341489,0.03333333333333333,640.0,-18.393957,31,32000.0,0.19233,160000.0,0.008333333333333333,3200.0,0.8759256,0.3735135,0.71465915
0.22044349,0.23323207,0.016666666666666666,660.0,-19.834856,32,33000.0,0.1919948,165000.0,0.0033333333333333335,3300.0,0.87950784,0.3736941,0.77599597
0.2935615,0.23295341,0.041666666666666664,680.0,-20.975464,33,34000.0,0.19166398,170000.0,0.005,3400.0,0.8829992,0.37388113,0.80997247
0.23289506,0.2327379,0.025000000000000005,700.0,-20.154491,34,35000.0,0.19144107,175000.0,0.0016666666666666668,3500.0,0.88620114,0.37402058,0.7970123
0.23083627,0.23259167,0.03333333333333333,720.0,-18.28419,35,36000.0,0.191144,180000.0,0.006666666666666667,3600.0,0.8893096,0.37394854,0.658877
0.29395828,0.2323242,0.05000000000000001,740.0,-16.735046,36,37000.0,0.19100906,185000.0,0.008333333333333333,3700.0,0.89240956,0.374108,0.6281975
0.33464015,0.23211987,0.03333333333333333,760.0,-18.156836,37,38000.0,0.19075584,190000.0,0.01,3800.0,0.8955857,0.37417126,0.6532463
0.23093335,0.23194821,0.025000000000000005,780.0,-17.82456,38,39000.0,0.19051264,195000.0,0.006666666666666667,3900.0,0.8984206,0.37422314,0.71411514
0.23910908,0.23176758,0.03333333333333333,800.0,-20.034126,39,40000.0,0.19028038,200000.0,0.005,4000.0,0.9010765,0.37423292,0.7414403
0.19443853,0.23149073,0.041666666666666664,820.0,-15.797793,40,41000.0,0.19011481,205000.0,0.006666666666666667,4100.0,0.9039383,0.3743863,0.6510405
0.26281086,0.23122747,0.03333333333333333,840.0,-16.536524,41,42000.0,0.18992831,210000.0,0.013333333333333334,4200.0,0.90680045,0.37463787,0.6809761
0.21114556,0.23113902,0.025000000000000005,860.0,-17.586061,42,43000.0,0.1897194,215000.0,0.008333333333333333,4300.0,0.9094104,0.37469175,0.6628933
0.21917759,0.23099478,0.03333333333333333,880.0,-17.053997,43,44000.0,0.18952586,220000.0,0.0,4400.0,0.9119012,0.37468573,0.682059
0.22379422,0.2308157,0.041666666666666664,900.0,-14.520158,44,45000.0,0.18949091,225000.0,0.01,4500.0,0.9143107,0.37476698,0.6061173
0.25188026,0.23063223,0.09166666666666667,920.0,-15.193112,45,46000.0,0.1893404,230000.0,0.008333333333333333,4600.0,0.91664505,0.37481603,0.63976854
0.20645629,0.23050188,0.06666666666666667,940.0,-15.467518,46,47000.0,0.1890821,235000.0,0.01,4700.0,0.91877455,0.37480524,0.64468664
0.27035996,0.23030587,0.016666666666666666,960.0,-17.107548,47,48000.0,0.18884458,240000.0,0.005,4800.0,0.9208967,0.37486038,0.7347391
0.25132987,0.23015742,0.03333333333333333,980.0,-17.16148,48,49000.0,0.18868554,245000.0,0.011666666666666667,4900.0,0.92304105,0.3750845,0.6979754
0.20624928,0.23008816,0.008333333333333333,1000.0,-14.827981,49,50000.0,0.18852396,250000.0,0.008333333333333333,5000.0,0.9250055,0.3749813,0.6296737
0.23458421,0.22993146,0.05833333333333334,1020.0,-15.459881,50,51000.0,0.18832557,255000.0,0.006666666666666667,5100.0,0.9267724,0.37507877,0.6922049
0.25578454,0.22978203,0.016666666666666666,1040.0,-15.668205,51,52000.0,0.18817872,260000.0,0.006666666666666667,5200.0,0.92867154,0.37510228,0.6647906
0.25834566,0.22965987,0.016666666666666666,1060.0,-17.40091,52,53000.0,0.1880068,265000.0,0.016666666666666666,5300.0,0.9303804,0.3751057,0.72209865
0.21277232,0.22954905,0.06666666666666667,1080.0,-16.037783,53,54000.0,0.18781184,270000.0,0.005,5400.0,0.9319865,0.37505993,0.6798101
0.22673737,0.22942843,0.041666666666666664,1100.0,-15.656117,54,55000.0,0.18766578,275000.0,0.008333333333333333,5500.0,0.93363434,0.37513724,0.62918985
0.22574826,0.22928976,0.008333333333333333,1120.0,-15.080678,55,56000.0,0.18758892,280000.0,0.011666666666666667,5600.0,0.9351881,0.3752059,0.6429786
0.25232726,0.22922115,0.05000000000000001,1140.0,-14.672107,56,57000.0,0.18743162,285000.0,0.008333333333333333,5700.0,0.93672657,0.37533584,0.6709488
0.23191957,0.229159,0.03333333333333333,1160.0,-16.815102,57,58000.0,0.18731163,290000.0,0.015,5800.0,0.93842286,0.3754766,0.6613507
0.22332855,0.22909303,0.049999999999999996,1180.0,-14.651806,58,59000.0,0.18725951,295000.0,0.01,5900.0,0.93975097,0.37539983,0.5556415
0.2802784,0.22911675,0.06666666666666667,1200.0,-15.542651,59,60000.0,0.1871347,300000.0,0.006666666666666667,6000.0,0.9412876,0.3753747,0.6341155
