stats_o/std,train/critic_loss,stats_g/std,stats_o/mean,test/ag_g_dist,test/mean_Q,epoch,stats_g/mean,test/success_rate,train/success_rate,test/episode,train/episode
0.8173637,0.04132384,0.0185472,0.3102408,0.04760015,-8.856525,20,0.6753592,0.0,0.0,420.0,2100.0
0.8173029,0.046933506,0.018576467,0.31018922,0.031252306,-7.5532813,21,0.6753531,0.0,0.0,440.0,2200.0
0.8175896,0.046290074,0.018532833,0.30995813,0.031955067,-7.175368,22,0.67534214,0.0,0.0,460.0,2300.0
0.81775165,0.050807115,0.018496549,0.30972913,0.02922841,-9.207469,23,0.6753414,0.0,0.0,480.0,2400.0
0.81765074,0.048198104,0.018468538,0.30955896,0.02514649,-6.049605,24,0.6753691,0.0,0.0,500.0,2500.0
0.81756455,0.042201925,0.018443717,0.3095379,0.030586487,-7.618811,25,0.6753809,0.0,0.0,520.0,2600.0
0.81740254,0.045650277,0.01840514,0.30955285,0.031933103,-8.429296,26,0.67542624,0.0,0.0,540.0,2700.0
0.81729573,0.041508995,0.018373482,0.30952537,0.038450424,-10.198911,27,0.67547566,0.0,0.0,560.0,2800.0
0.81711197,0.04869764,0.018344434,0.30958197,0.0351782,-9.706992,28,0.67552775,0.0,0.0,580.0,2900.0
0.817097,0.047930893,0.01833243,0.30959612,0.03351673,-9.008683,29,0.67557067,0.0,0.0,600.0,3000.0
0.81682664,0.045449678,0.018306602,0.3095776,0.036826685,-8.569911,30,0.6755969,0.0,0.0,620.0,3100.0
0.8165485,0.045066033,0.018299697,0.30964383,0.040379424,-9.975194,31,0.6756384,0.0,0.0,640.0,3200.0
0.8164299,0.041714877,0.018274698,0.30974117,0.033758458,-8.553219,32,0.6756775,0.0,0.0,660.0,3300.0
0.81646055,0.048680753,0.018261353,0.30982977,0.035969596,-8.501873,33,0.6757074,0.0,0.0,680.0,3400.0
0.8164218,0.04152828,0.018291501,0.3098598,0.04336111,-10.80529,34,0.67576194,0.0,0.0,700.0,3500.0
0.81610465,0.044764906,0.01829463,0.30994117,0.054723542,-13.298932,35,0.6758022,0.0,0.0,720.0,3600.0
0.81597155,0.043125898,0.018286211,0.3100624,0.049765125,-12.128628,36,0.67583996,0.0,0.0,740.0,3700.0
0.81581444,0.046034306,0.018272895,0.3101337,0.043555576,-11.500047,37,0.6758702,0.0,0.0,760.0,3800.0
0.815749,0.044070855,0.018257983,0.31014758,0.039330795,-9.971339,38,0.6758835,0.0,0.0,780.0,3900.0
0.81552523,0.048194204,0.01824353,0.31022364,0.04511362,-12.584195,39,0.6759017,0.0,0.0,800.0,4000.0
0.8153866,0.05187133,0.018231388,0.3102704,0.035770413,-10.054114,40,0.6759158,0.0,0.0,820.0,4100.0
0.81533796,0.03908812,0.01821348,0.31029204,0.051449,-14.878886,41,0.6759252,0.0,0.0,840.0,4200.0
0.8154304,0.043138046,0.01820409,0.31033808,0.039500926,-10.217492,42,0.6759464,0.0,0.0,860.0,4300.0
0.8156168,0.04295951,0.01818839,0.31033352,0.04252109,-11.397422,43,0.6759651,0.0,0.0,880.0,4400.0
0.8153303,0.04829109,0.018180687,0.310401,0.040702585,-10.812106,44,0.67598313,0.0,0.0,900.0,4500.0
0.81519526,0.04130565,0.018173164,0.31048813,0.043610036,-11.960605,45,0.6760003,0.0,0.0,920.0,4600.0
0.8149829,0.04008184,0.018166702,0.3105075,0.04273994,-12.404042,46,0.6760127,0.0,0.0,940.0,4700.0
0.8148828,0.04328139,0.018156776,0.3105284,0.044729207,-12.7130785,47,0.6760245,0.0,0.0,960.0,4800.0
0.8148872,0.040721778,0.018147437,0.31051287,0.042778928,-11.9995165,48,0.6760405,0.0,0.0,980.0,4900.0
0.8149064,0.04481064,0.01814481,0.31055784,0.0434538,-11.963595,49,0.67605525,0.0,0.0,1000.0,5000.0
0.8147051,0.045485616,0.018138088,0.31054634,0.0455223,-13.935097,50,0.67606515,0.0,0.0,1020.0,5100.0
0.81459045,0.045477536,0.018129906,0.31056377,0.048395474,-15.010898,51,0.6760749,0.0,0.0,1040.0,5200.0
0.8144329,0.045427132,0.018123306,0.31057927,0.04201517,-11.576299,52,0.6760862,0.0,0.0,1060.0,5300.0
0.8140929,0.04520457,0.018120658,0.31056446,0.043883342,-12.09739,53,0.67609024,0.0,0.0,1080.0,5400.0
0.8138165,0.04628255,0.018110178,0.31055704,0.043563336,-13.209836,54,0.6760861,0.0,0.0,1100.0,5500.0
0.81351966,0.044966295,0.01810494,0.31051284,0.042098086,-12.397647,55,0.6760916,0.0,0.0,1120.0,5600.0
0.8134878,0.046723854,0.018091388,0.31049728,0.043198515,-14.110786,56,0.67609954,0.0,0.0,1140.0,5700.0
0.813222,0.04401645,0.018092133,0.31045663,0.03864863,-9.832376,57,0.6761063,0.0,0.0,1160.0,5800.0
0.81310886,0.04355435,0.01808714,0.31048602,0.0397809,-10.585101,58,0.67612046,0.0,0.0,1180.0,5900.0
0.81300324,0.046703998,0.018085444,0.31050995,0.036219466,-9.998767,59,0.67614055,0.0,0.0,1200.0,6000.0
0.81284493,0.043225717,0.018081002,0.3104919,0.042718228,-12.967563,60,0.6761486,0.0,0.0,1220.0,6100.0
0.8127338,0.049794972,0.018076317,0.31048,0.038427297,-11.470296,61,0.6761563,0.0,0.0,1240.0,6200.0
0.81273013,0.0456569,0.018071044,0.3104263,0.037246637,-10.352532,62,0.67616886,0.0,0.0,1260.0,6300.0
0.81268615,0.044655457,0.01807356,0.31040424,0.03759397,-10.065808,63,0.6761803,0.0,0.0,1280.0,6400.0
0.81261563,0.044190597,0.018074883,0.31039172,0.04001486,-12.416411,64,0.6761897,0.0,0.0,1300.0,6500.0
0.8125302,0.04699369,0.018067034,0.31039754,0.03932869,-11.6576805,65,0.6762008,0.0,0.0,1320.0,6600.0
0.8124482,0.04342577,0.018059403,0.3103746,0.039751098,-12.48853,66,0.6762019,0.0,0.0,1340.0,6700.0
0.81237787,0.041685235,0.01805064,0.31040654,0.04078961,-12.513614,67,0.67620105,0.0,0.0,1360.0,6800.0
0.8123369,0.045963764,0.018048337,0.31045184,0.03976921,-11.323322,68,0.6762113,0.0,0.0,1380.0,6900.0
0.8122975,0.04808855,0.01804509,0.3104869,0.040541347,-12.041078,69,0.6762235,0.0,0.0,1400.0,7000.0
0.81238794,0.040697508,0.018041778,0.31052226,0.039899718,-11.271642,70,0.6762364,0.0,0.0,1420.0,7100.0
0.8122647,0.04905973,0.018038983,0.31055793,0.03980301,-12.724843,71,0.67624635,0.0,0.0,1440.0,7200.0
0.8122856,0.04819485,0.01803469,0.31054178,0.03832451,-10.929921,72,0.6762487,0.0,0.0,1460.0,7300.0
0.81236607,0.049738403,0.01802751,0.31054705,0.035742898,-10.594034,73,0.67624664,0.0,0.0,1480.0,7400.0
0.81236356,0.033045176,0.018023828,0.31055462,0.03881766,-11.754036,74,0.67624885,0.0,0.0,1500.0,7500.0
0.81227046,0.047874156,0.018021295,0.3105756,0.03465913,-10.176143,75,0.67625874,0.0,0.0,1520.0,7600.0
0.8122108,0.0443181,0.01801748,0.31058526,0.042464998,-13.342607,76,0.6762673,0.0,0.0,1540.0,7700.0
0.812059,0.051709294,0.018012453,0.31057703,0.037018042,-10.866157,77,0.6762689,0.0,0.0,1560.0,7800.0
0.8120801,0.045915812,0.018005641,0.31062123,0.04179046,-13.501289,78,0.67627406,0.0,0.0,1580.0,7900.0
0.8119412,0.041962057,0.017999742,0.31061387,0.040868584,-12.663261,79,0.67627734,0.0,0.0,1600.0,8000.0
0.81197786,0.04796369,0.017994894,0.3105807,0.039094385,-11.897914,80,0.67627746,0.0,0.0,1620.0,8100.0
0.8120485,0.041277673,0.017992776,0.31055337,0.043636292,-13.776356,81,0.6762734,0.0,0.0,1640.0,8200.0
0.81199723,0.04410903,0.017989635,0.31056404,0.037515495,-11.577773,82,0.67627937,0.0,0.0,1660.0,8300.0
0.81192,0.043613467,0.01798984,0.31055677,0.038241465,-11.914538,83,0.67627907,0.0,0.0,1680.0,8400.0
0.8118933,0.04849885,0.017989283,0.3105755,0.043581214,-12.56302,84,0.6762784,0.0,0.0,1700.0,8500.0
0.811927,0.052460343,0.017990023,0.31058356,0.04312791,-13.012833,85,0.6762809,0.0,0.0,1720.0,8600.0
0.8120117,0.050256837,0.017995927,0.3105876,0.053581547,-15.137528,86,0.6762826,0.0,0.0,1740.0,8700.0
0.8119767,0.043295365,0.01798985,0.31054932,0.053653833,-17.41553,87,0.67627984,0.0,0.0,1760.0,8800.0
0.81192046,0.049422156,0.017992834,0.31053835,0.042181242,-10.883334,88,0.676284,0.0,0.0,1780.0,8900.0
0.8119571,0.04145648,0.018001445,0.31052384,0.04330911,-13.171043,89,0.6762888,0.0,0.0,1800.0,9000.0
0.8119201,0.047606338,0.018005094,0.3104871,0.047696248,-12.166995,90,0.67629176,0.0,0.0,1820.0,9100.0
0.8120138,0.05434,0.018006802,0.31044573,0.03995846,-11.980003,91,0.6762921,0.0,0.0,1840.0,9200.0
0.8121028,0.050225858,0.018006438,0.31043133,0.04186095,-13.163212,92,0.6762943,0.0,0.0,1860.0,9300.0
0.81212014,0.043953445,0.01800635,0.3104113,0.047096197,-15.637343,93,0.67629915,0.0,0.0,1880.0,9400.0
0.81209797,0.042068034,0.018006759,0.3103602,0.04207318,-12.480655,94,0.67629963,0.0,0.0,1900.0,9500.0
0.8121019,0.045681287,0.018009197,0.31038767,0.041512728,-12.468785,95,0.67630935,0.0,0.0,1920.0,9600.0
0.81210953,0.038729463,0.01801104,0.31035316,0.042329323,-13.289556,96,0.6763107,0.0,0.0,1940.0,9700.0
0.8120816,0.045428697,0.018009666,0.31037056,0.037147395,-10.870629,97,0.67631894,0.0,0.0,1960.0,9800.0
0.812063,0.04465807,0.018015597,0.31034487,0.040729705,-13.018677,98,0.676325,0.0,0.0,1980.0,9900.0
0.8120703,0.04282208,0.018017076,0.3103287,0.046119887,-14.944087,99,0.6763308,0.0,0.0,2000.0,10000.0
