train/episode,test/episode,stats_o/mean,stats_o/std,epoch,stats_g/mean,test/ag_g_dist,test/success_rate,train/success_rate,train/critic_loss,test/mean_Q,stats_g/std
1900.0,380.0,0.19183831,0.83015233,18,0.3731968,0.7891882,0.0,0.0016666666666666668,0.24190907,-23.856897,0.24155676
2000.0,400.0,0.19165415,0.8365929,19,0.3732421,0.72879523,0.008333333333333333,0.0033333333333333335,0.21777998,-24.298729,0.24131976
2100.0,420.0,0.19119646,0.84349185,20,0.3733298,0.7563896,0.0,0.0016666666666666668,0.26382926,-25.437216,0.24137457
2200.0,440.0,0.19077311,0.850497,21,0.37327108,0.7165044,0.008333333333333333,0.0033333333333333335,0.32198843,-24.205238,0.24127881
2300.0,460.0,0.19037528,0.8576179,22,0.3729147,0.6837695,0.008333333333333333,0.005,0.29845342,-23.25125,0.24096425
2400.0,480.0,0.18996875,0.86406535,23,0.37265477,0.6686273,0.008333333333333333,0.005,0.25495517,-24.466673,0.24075039
2500.0,500.0,0.18962885,0.8707225,24,0.3727366,0.6395423,0.008333333333333333,0.0016666666666666668,0.28426522,-23.930307,0.24044876
2600.0,520.0,0.18924631,0.8766256,25,0.3725736,0.70175976,0.0,0.006666666666666667,0.3393285,-25.39193,0.24019575
2700.0,540.0,0.18895912,0.88243943,26,0.37258974,0.6299014,0.016666666666666666,0.0,0.34427908,-24.528343,0.2401825
2800.0,560.0,0.1887059,0.88798755,27,0.3725879,0.68274444,0.008333333333333333,0.008333333333333333,0.36693907,-26.210724,0.2400371
2900.0,580.0,0.18840009,0.89323825,28,0.37269256,0.5933063,0.016666666666666666,0.0033333333333333335,0.3117125,-22.077415,0.23981678
3000.0,600.0,0.18808477,0.8984315,29,0.37258676,0.70179814,0.016666666666666666,0.0016666666666666668,0.3162779,-28.679739,0.2396807
3100.0,620.0,0.18766694,0.9034054,30,0.3724725,0.6421262,0.016666666666666666,0.0033333333333333335,0.400272,-24.836477,0.23957837
3200.0,640.0,0.18743956,0.90802604,31,0.37253198,0.65817297,0.008333333333333333,0.005,0.3715696,-24.468836,0.23951912
3300.0,660.0,0.18705863,0.9124263,32,0.37238455,0.59196496,0.03333333333333333,0.006666666666666667,0.33219305,-21.477728,0.23934014
3400.0,680.0,0.18683113,0.9167354,33,0.3724937,0.6131358,0.008333333333333333,0.008333333333333333,0.30850622,-23.77601,0.23912327
3500.0,700.0,0.18668409,0.92062455,34,0.37240705,0.68102795,0.008333333333333333,0.005,0.37249604,-23.758463,0.23893411
3600.0,720.0,0.18655102,0.92441434,35,0.37245217,0.54604554,0.03333333333333333,0.008333333333333333,0.34215057,-19.337862,0.2388839
3700.0,740.0,0.18628436,0.9280909,36,0.37253404,0.54682875,0.03333333333333333,0.006666666666666667,0.34636393,-21.363281,0.23878412
3800.0,760.0,0.18601875,0.9312206,37,0.3725268,0.56611943,0.05000000000000001,0.0033333333333333335,0.34772882,-22.646841,0.23874457
3900.0,780.0,0.18579747,0.93414617,38,0.37256965,0.62538385,0.041666666666666664,0.008333333333333333,0.459659,-23.322876,0.23867117
4000.0,800.0,0.18553448,0.9368561,39,0.37255892,0.5488473,0.016666666666666666,0.005,0.36669123,-21.540024,0.23864682
4100.0,820.0,0.18530722,0.9395718,40,0.37263617,0.4739996,0.025000000000000005,0.005,0.32892087,-18.366985,0.23847993
4200.0,840.0,0.18502714,0.94229716,41,0.37273368,0.5118117,0.03333333333333333,0.0016666666666666668,0.4016489,-20.101122,0.23843448
4300.0,860.0,0.18477888,0.94494385,42,0.3726766,0.57517606,0.016666666666666666,0.005,0.33885208,-22.843836,0.23850751
4400.0,880.0,0.18466635,0.9473872,43,0.37274602,0.54942054,0.049999999999999996,0.005,0.37096238,-20.70888,0.23848124
4500.0,900.0,0.18451585,0.949722,44,0.3726026,0.5617299,0.05833333333333334,0.013333333333333334,0.3946127,-22.701895,0.23847212
4600.0,920.0,0.1844155,0.9518431,45,0.37265834,0.45518562,0.03333333333333333,0.005,0.33052778,-18.829206,0.23849012
4700.0,940.0,0.18427569,0.9539555,46,0.3726289,0.5454386,0.025000000000000005,0.0033333333333333335,0.41787496,-20.575953,0.23842259
4800.0,960.0,0.1841317,0.9559404,47,0.37267306,0.45975354,0.049999999999999996,0.015,0.380712,-17.699566,0.23831666
4900.0,980.0,0.18390536,0.95799977,48,0.3726318,0.5585207,0.05833333333333333,0.013333333333333334,0.5972638,-20.307,0.23821802
5000.0,1000.0,0.18375045,0.95996064,49,0.37262025,0.4769521,0.016666666666666666,0.011666666666666667,0.5967625,-16.953836,0.23814137
