test/success_rate,train/reward_compute_count,stats_g/std,train/success_rate,stats_o/std,train/critic_loss,test/ag_g_dist,train/episode,epoch,stats_g/mean,stats_o/mean,test/episode,test/reward_compute_count,test/mean_Q
0.016666666666666666,210000.0,0.2341911,0.0016666666666666668,0.87618893,0.4037056,0.8734374,4200.0,41,0.37753296,0.19502711,840.0,42000.0,-24.019379
0.016666666666666666,215000.0,0.23415639,0.006666666666666667,0.8783954,0.30960616,0.78818077,4300.0,42,0.37752602,0.19484492,860.0,43000.0,-22.242783
0.03333333333333333,220000.0,0.2341737,0.0,0.88070345,0.33305445,0.8640955,4400.0,43,0.3773788,0.19454287,880.0,44000.0,-23.251417
0.03333333333333333,225000.0,0.23404455,0.006666666666666667,0.88291544,0.35572731,0.76658106,4500.0,44,0.3774426,0.19427295,900.0,45000.0,-22.276245
0.008333333333333333,230000.0,0.234017,0.006666666666666667,0.8849282,0.3323321,0.79884297,4600.0,45,0.3773364,0.19407628,920.0,46000.0,-21.985626
0.016666666666666666,235000.0,0.23401786,0.005,0.88711953,0.3629234,0.7966013,4700.0,46,0.37718287,0.19375104,940.0,47000.0,-22.55644
0.008333333333333333,240000.0,0.23389192,0.005,0.88959426,0.332462,0.84756297,4800.0,47,0.37731323,0.1935385,960.0,48000.0,-22.997171
0.025000000000000005,245000.0,0.23373322,0.0,0.8918311,0.35778403,0.7744364,4900.0,48,0.3774705,0.19329052,980.0,49000.0,-22.425634
0.05000000000000001,250000.0,0.23369966,0.0,0.8939652,0.40393925,0.7180311,5000.0,49,0.37738833,0.19304383,1000.0,50000.0,-19.453815
0.0,255000.0,0.23358034,0.0033333333333333335,0.8959386,0.36577842,0.8226538,5100.0,50,0.37738517,0.19283837,1020.0,51000.0,-21.814608
0.025000000000000005,260000.0,0.23343106,0.0033333333333333335,0.8978389,0.45487478,0.777317,5200.0,51,0.37739936,0.19267984,1040.0,52000.0,-20.37713
0.008333333333333333,265000.0,0.23338743,0.005,0.89970356,0.35734126,0.842706,5300.0,52,0.3773063,0.19247256,1060.0,53000.0,-22.511923
0.041666666666666664,270000.0,0.23327756,0.0,0.9014778,0.44306985,0.7956932,5400.0,53,0.3773335,0.1922714,1080.0,54000.0,-21.88429
0.041666666666666664,275000.0,0.2330872,0.0033333333333333335,0.90343356,0.38946915,0.71099424,5500.0,54,0.3774167,0.19215411,1100.0,55000.0,-19.371574
0.03333333333333333,280000.0,0.23298125,0.0033333333333333335,0.90512973,0.43540478,0.7710113,5600.0,55,0.37744427,0.19196166,1120.0,56000.0,-20.2712
0.025000000000000005,285000.0,0.23285304,0.0033333333333333335,0.90674543,0.45373988,0.83020115,5700.0,56,0.37755147,0.19180769,1140.0,57000.0,-22.295279
0.008333333333333333,290000.0,0.23282062,0.0033333333333333335,0.90831494,0.42073944,0.78315496,5800.0,57,0.37760404,0.19169922,1160.0,58000.0,-19.997238
0.03333333333333333,295000.0,0.23269713,0.006666666666666667,0.909698,0.45816663,0.71682525,5900.0,58,0.37765917,0.19163509,1180.0,59000.0,-19.884214
0.03333333333333333,300000.0,0.23264445,0.0033333333333333335,0.9110822,0.49856463,0.771203,6000.0,59,0.3777032,0.19146164,1200.0,60000.0,-20.38533
