epoch,train/success_rate,stats_g/mean,train/episode,test/episode,stats_o/mean,stats_o/std,train/critic_loss,stats_g/std,test/ag_g_dist,test/success_rate,test/mean_Q
18,0.021666666666666667,0.84877515,1900.0,380.0,0.20385243,0.087474115,0.16059211,0.10703713,0.21952915,0.041666666666666664,-21.659006
19,0.024999999999999998,0.84900564,2000.0,400.0,0.20385118,0.08945171,0.15329732,0.10737171,0.22270466,0.03333333333333333,-22.255697
20,0.041666666666666664,0.8490253,2100.0,420.0,0.20393932,0.09074678,0.2555094,0.107428886,0.19087045,0.05833333333333334,-21.752253
21,0.04,0.84916276,2200.0,440.0,0.20405449,0.092138916,0.21466751,0.1075009,0.20368028,0.05833333333333333,-22.202589
22,0.04833333333333334,0.8492105,2300.0,460.0,0.20406656,0.093470104,0.1831286,0.107381396,0.18150117,0.09999999999999999,-20.911108
23,0.041666666666666664,0.8491554,2400.0,480.0,0.20408434,0.094644345,0.20758152,0.10765118,0.21539092,0.09166666666666667,-24.27437
24,0.03833333333333333,0.84897894,2500.0,500.0,0.20405954,0.09564113,0.19765936,0.10793368,0.20455043,0.10000000000000002,-23.07527
25,0.041666666666666664,0.8488243,2600.0,520.0,0.2040537,0.096530706,0.22111607,0.1080996,0.202582,0.17500000000000002,-23.380135
26,0.06166666666666667,0.84897166,2700.0,540.0,0.20410764,0.09737345,0.23045087,0.10804089,0.21229595,0.10000000000000002,-25.146215
27,0.04833333333333334,0.8489194,2800.0,560.0,0.20411913,0.09846278,0.22398616,0.10790473,0.19709337,0.10000000000000002,-24.38066
28,0.05833333333333333,0.8488633,2900.0,580.0,0.2040038,0.09943714,0.20378138,0.10787768,0.1897436,0.19166666666666665,-22.754354
29,0.07166666666666667,0.8489179,3000.0,600.0,0.20414878,0.10013336,0.22342415,0.107731104,0.16113795,0.18333333333333335,-21.20083
30,0.06666666666666667,0.84892654,3100.0,620.0,0.20417954,0.100856334,0.26431373,0.10758331,0.20481944,0.17500000000000002,-24.341812
31,0.12833333333333333,0.8489196,3200.0,640.0,0.20426826,0.10159272,0.31999663,0.10760186,0.18534988,0.14166666666666666,-24.65835
32,0.10333333333333333,0.84879416,3300.0,660.0,0.20432235,0.10229751,0.2072311,0.10735518,0.17640726,0.18333333333333335,-25.2618
33,0.11499999999999999,0.8487699,3400.0,680.0,0.20431615,0.102971315,0.19408794,0.10711204,0.18857335,0.20833333333333334,-24.332998
34,0.14,0.8487954,3500.0,700.0,0.20432478,0.103556536,0.2570189,0.10689649,0.1808184,0.2333333333333333,-24.477396
35,0.09500000000000001,0.8488238,3600.0,720.0,0.20436156,0.10408487,0.16720168,0.10670898,0.17847724,0.19999999999999998,-23.55635
36,0.10166666666666668,0.8487974,3700.0,740.0,0.20435618,0.10467789,0.2676498,0.106543094,0.17586954,0.3,-22.587301
37,0.12333333333333334,0.848851,3800.0,760.0,0.2043853,0.10527293,0.3213329,0.10629813,0.17393418,0.2583333333333333,-24.24439
38,0.1466666666666667,0.8488729,3900.0,780.0,0.20436935,0.10581598,0.25140417,0.10619879,0.18591686,0.26666666666666666,-24.774637
39,0.155,0.8488372,4000.0,800.0,0.20437355,0.106162645,0.24271496,0.1059368,0.17225964,0.30833333333333335,-23.767792
40,0.17666666666666667,0.8488874,4100.0,820.0,0.20436521,0.106482595,0.25745884,0.10574195,0.18045308,0.3333333333333333,-24.538797
41,0.17666666666666667,0.8488291,4200.0,840.0,0.20437978,0.10706744,0.2556666,0.10575751,0.15932743,0.27499999999999997,-23.30568
42,0.18000000000000002,0.8487931,4300.0,860.0,0.20436001,0.10744604,0.24215156,0.10579997,0.17282777,0.325,-24.897955
43,0.18000000000000002,0.8487819,4400.0,880.0,0.20433706,0.107819855,0.21293205,0.10577461,0.16471429,0.3499999999999999,-23.69956
44,0.19666666666666666,0.8487117,4500.0,900.0,0.20437412,0.108015664,0.23016466,0.10566635,0.2050575,0.30833333333333335,-26.809875
45,0.215,0.84872586,4600.0,920.0,0.20436762,0.108211316,0.26374266,0.105570726,0.16694134,0.425,-23.62832
46,0.23666666666666666,0.8486727,4700.0,940.0,0.20436777,0.10853765,0.37842488,0.10548829,0.17337064,0.3916666666666666,-24.73291
47,0.23500000000000001,0.8486586,4800.0,960.0,0.20438977,0.10858842,0.28905597,0.10533059,0.17550547,0.44166666666666665,-24.798822
48,0.2416666666666667,0.84862024,4900.0,980.0,0.20438345,0.10868624,0.18949705,0.105219446,0.15639603,0.4666666666666666,-22.567505
49,0.25833333333333336,0.8485832,5000.0,1000.0,0.20439292,0.10866118,0.16490589,0.10498742,0.18128328,0.42500000000000004,-25.58972
50,0.25166666666666665,0.8486147,5100.0,1020.0,0.20439799,0.10859575,0.31297976,0.10479245,0.16805233,0.4583333333333333,-23.706848
51,0.25833333333333336,0.848569,5200.0,1040.0,0.20441663,0.108533524,0.24645226,0.10464365,0.19289987,0.4166666666666667,-26.613546
52,0.26833333333333337,0.8485604,5300.0,1060.0,0.20444043,0.108459026,0.17839211,0.10452265,0.19062631,0.4083333333333334,-25.925903
53,0.32166666666666666,0.8485163,5400.0,1080.0,0.20446968,0.10843032,0.19573234,0.10433447,0.17652684,0.43333333333333335,-24.75087
54,0.3016666666666667,0.84847397,5500.0,1100.0,0.20446074,0.1083712,0.22906037,0.10415652,0.1751738,0.47500000000000003,-23.875437
55,0.315,0.84857225,5600.0,1120.0,0.20450337,0.108256064,0.19841556,0.1039865,0.17002507,0.4833333333333334,-23.745977
56,0.29833333333333334,0.84859633,5700.0,1140.0,0.20453823,0.10809019,0.15485226,0.10383139,0.17133273,0.4416666666666667,-23.864716
57,0.30000000000000004,0.8486202,5800.0,1160.0,0.20454551,0.10779617,0.20104642,0.10373046,0.16984701,0.4416666666666667,-24.627176
58,0.295,0.8486698,5900.0,1180.0,0.20454939,0.107588224,0.29255903,0.10359696,0.1561395,0.525,-20.475769
59,0.28,0.84869784,6000.0,1200.0,0.20457356,0.10732805,0.19556135,0.10345761,0.14325769,0.5916666666666667,-18.801516
60,0.2833333333333334,0.84870476,6100.0,1220.0,0.2045997,0.10696114,0.33891562,0.103287496,0.15122806,0.5,-22.61509
61,0.27,0.84871393,6200.0,1240.0,0.20462602,0.1066856,0.20267738,0.10315285,0.14783259,0.5166666666666667,-20.844538
62,0.27666666666666667,0.84874266,6300.0,1260.0,0.20463882,0.106432,0.13286106,0.10307613,0.1537697,0.5333333333333333,-20.963964
63,0.2866666666666667,0.8487926,6400.0,1280.0,0.20468439,0.106235325,0.23118897,0.103036374,0.16094914,0.4916666666666667,-21.268011
64,0.26833333333333337,0.8488372,6500.0,1300.0,0.20470123,0.1061491,0.13692988,0.103131294,0.16542806,0.5083333333333333,-21.250761
65,0.26499999999999996,0.84882617,6600.0,1320.0,0.2047265,0.10605369,0.13097602,0.10324357,0.18824847,0.47500000000000003,-21.676018
66,0.26166666666666666,0.8487776,6700.0,1340.0,0.20472963,0.10602746,0.12518679,0.103282005,0.1720937,0.5,-19.596205
67,0.26666666666666666,0.8487404,6800.0,1360.0,0.20474212,0.105984665,0.16238596,0.103414156,0.19388385,0.43333333333333335,-21.87475
68,0.2733333333333333,0.8486174,6900.0,1380.0,0.20472473,0.10591892,0.13877122,0.10363244,0.18220596,0.5,-19.54365
69,0.24833333333333338,0.84858066,7000.0,1400.0,0.2047046,0.10580414,0.1634344,0.1036956,0.18374799,0.47500000000000003,-20.56507
70,0.2866666666666667,0.84859395,7100.0,1420.0,0.20472158,0.10563347,0.19302404,0.103592314,0.17263718,0.4583333333333333,-20.373095
71,0.2733333333333333,0.8486089,7200.0,1440.0,0.20471998,0.10553214,0.21195932,0.10361284,0.14831536,0.5583333333333333,-16.945425
72,0.2966666666666667,0.84865075,7300.0,1460.0,0.20471935,0.105308734,0.1840595,0.10354031,0.15970637,0.5083333333333333,-18.465687
73,0.26333333333333336,0.8486659,7400.0,1480.0,0.20469515,0.10511318,0.13736548,0.10354843,0.14164783,0.6,-16.024055
74,0.25833333333333336,0.8487251,7500.0,1500.0,0.20468849,0.104863785,0.25459266,0.10348398,0.11352625,0.6166666666666666,-13.247746
75,0.25666666666666665,0.84877735,7600.0,1520.0,0.20467417,0.104628555,0.16559458,0.10336942,0.16722412,0.5,-19.652636
76,0.27166666666666667,0.84883946,7700.0,1540.0,0.20467226,0.10440493,0.16104655,0.10328013,0.16091835,0.4833333333333334,-19.252913
77,0.25833333333333336,0.84885734,7800.0,1560.0,0.20465253,0.10416616,0.21771348,0.10318474,0.16686398,0.48333333333333334,-19.74341
78,0.23666666666666666,0.8489063,7900.0,1580.0,0.20466752,0.10390105,0.15972698,0.1030975,0.19693549,0.425,-22.749784
79,0.24666666666666667,0.8489661,8000.0,1600.0,0.20468836,0.10370704,0.15103833,0.10304912,0.1542931,0.5333333333333333,-18.392675
80,0.2316666666666667,0.84897155,8100.0,1620.0,0.20467655,0.10352429,0.13417102,0.10310954,0.16837132,0.5416666666666666,-18.941391
81,0.22666666666666666,0.84897465,8200.0,1640.0,0.20467861,0.10338735,0.12199583,0.10330197,0.18094973,0.4833333333333334,-20.113699
82,0.25333333333333335,0.8489723,8300.0,1660.0,0.20466483,0.103282005,0.18472512,0.10334604,0.16549419,0.525,-19.16163
83,0.26666666666666666,0.84900826,8400.0,1680.0,0.20467752,0.103152186,0.13352661,0.10347816,0.15546297,0.5666666666666667,-17.37685
84,0.24666666666666667,0.8489929,8500.0,1700.0,0.20465486,0.10305848,0.19314091,0.10355712,0.16046286,0.5166666666666667,-18.931564
85,0.2783333333333334,0.84903103,8600.0,1720.0,0.20466332,0.102963746,0.11590316,0.10357886,0.16650617,0.5083333333333334,-20.373592
86,0.27166666666666667,0.84904426,8700.0,1740.0,0.20466755,0.102794446,0.12124076,0.10349381,0.15843017,0.5666666666666668,-17.99741
87,0.24666666666666667,0.8490582,8800.0,1760.0,0.20465682,0.10262731,0.19388741,0.103474796,0.14141047,0.6333333333333333,-15.460879
88,0.2816666666666667,0.84910583,8900.0,1780.0,0.2046688,0.1024591,0.1501751,0.103405885,0.18077315,0.4666666666666666,-21.293352
89,0.24666666666666667,0.84912676,9000.0,1800.0,0.20469548,0.10226645,0.12631597,0.1033043,0.17437486,0.47500000000000003,-21.145071
90,0.27499999999999997,0.84916306,9100.0,1820.0,0.20471412,0.10209193,0.12691005,0.10325078,0.19031565,0.4083333333333334,-23.53745
91,0.27166666666666667,0.84920293,9200.0,1840.0,0.20471813,0.1018787,0.1349463,0.10321323,0.18891291,0.4083333333333334,-23.205652
92,0.26,0.84925795,9300.0,1860.0,0.20473492,0.10171761,0.1367535,0.10316368,0.20458381,0.39999999999999997,-23.1091
93,0.28,0.8493116,9400.0,1880.0,0.20475133,0.101641186,0.17602925,0.10315737,0.17871998,0.47500000000000003,-19.472845
94,0.25666666666666665,0.8493301,9500.0,1900.0,0.20476139,0.10156242,0.20596297,0.103237204,0.1866535,0.4749999999999999,-20.838863
95,0.26833333333333337,0.8493828,9600.0,1920.0,0.20477988,0.10148295,0.21845531,0.10327363,0.16174774,0.5166666666666667,-17.574425
96,0.2583333333333333,0.84941083,9700.0,1940.0,0.20479257,0.1014497,0.23542245,0.10346971,0.17499697,0.5,-17.364346
97,0.23666666666666666,0.8493426,9800.0,1960.0,0.20478421,0.10153532,0.24794723,0.10396254,0.18033355,0.5,-17.23271
98,0.27,0.84928495,9900.0,1980.0,0.20477371,0.10163596,0.14978637,0.10436022,0.19888008,0.43333333333333335,-19.531761
99,0.24166666666666667,0.84925395,10000.0,2000.0,0.20477794,0.10159969,0.1781741,0.10447506,0.16949375,0.48333333333333334,-16.614317
