test/success_rate,test/episode,stats_o/std,epoch,stats_g/mean,stats_o/mean,test/mean_Q,train/critic_loss,train/episode,train/success_rate,test/ag_g_dist,stats_g/std
0.0,20.0,0.045425024,0,0.8368327,0.20135076,-2.8785532,0.32727793,100.0,0.0016666666666666668,0.17534561,0.07371227
0.008333333333333333,40.0,0.045562487,1,0.8369672,0.2011735,-5.076073,0.5835566,200.0,0.0016666666666666668,0.18218821,0.072974816
0.0,60.0,0.044208795,2,0.83724976,0.20114557,-6.974262,0.62137777,300.0,0.0,0.16716425,0.07179625
0.0,80.0,0.048986066,3,0.8378723,0.20142628,-8.954505,0.61151594,400.0,0.0,0.18613918,0.07536259
0.0,100.0,0.052699756,4,0.8386507,0.2016222,-10.925774,0.6280733,500.0,0.0,0.18284088,0.07901708
0.0,120.0,0.05655541,5,0.8386154,0.20175016,-11.942879,0.6444118,600.0,0.0,0.16488998,0.08103888
0.008333333333333333,140.0,0.05901417,6,0.8384606,0.20164742,-12.552897,0.5835487,700.0,0.0016666666666666668,0.16366054,0.081308104
0.06666666666666667,160.0,0.062059775,7,0.83892727,0.20164768,-12.797429,0.6245999,800.0,0.006666666666666667,0.15970005,0.08155407
0.17500000000000002,180.0,0.06535275,8,0.8388297,0.20156114,-10.985705,0.57422155,900.0,0.041666666666666664,0.12618557,0.08095932
0.18333333333333335,200.0,0.070269346,9,0.838654,0.2014669,-10.257537,0.6138558,1000.0,0.055,0.11571511,0.08085454
0.325,220.0,0.07516727,10,0.83825445,0.20119734,-8.361836,0.6077909,1100.0,0.09999999999999999,0.078847826,0.08053565
0.6,240.0,0.08047551,11,0.8382442,0.20141716,-6.6880784,0.59196275,1200.0,0.13333333333333333,0.053814422,0.080540515
0.5666666666666667,260.0,0.085047446,12,0.8383712,0.20144986,-6.79349,0.6354511,1300.0,0.15,0.059867326,0.08003273
0.6916666666666668,280.0,0.08833396,13,0.83838564,0.20151548,-6.4382806,0.63419914,1400.0,0.20166666666666666,0.058545362,0.07944992
0.65,300.0,0.09125631,14,0.8383457,0.2015028,-6.4774146,0.55997205,1500.0,0.23833333333333337,0.05577779,0.079142
0.8083333333333332,320.0,0.09397129,15,0.8384428,0.20143157,-6.018753,0.6430163,1600.0,0.26166666666666666,0.051522594,0.078667246
0.7916666666666666,340.0,0.09635226,16,0.8384884,0.20149128,-5.8084946,0.5941288,1700.0,0.2816666666666667,0.044092398,0.07850615
0.875,360.0,0.09816081,17,0.8387013,0.20170526,-5.823286,0.58042747,1800.0,0.30166666666666664,0.05041343,0.078297175
0.775,380.0,0.09995089,18,0.8387374,0.2017835,-6.2561555,0.62437993,1900.0,0.27,0.048596878,0.07808584
0.7416666666666667,400.0,0.101585895,19,0.8387235,0.20170224,-6.3494287,0.5575261,2000.0,0.31,0.044392575,0.07792259
0.775,420.0,0.10265341,20,0.8386753,0.2017171,-6.3705926,0.5714087,2100.0,0.33666666666666667,0.045707356,0.07761464
0.75,440.0,0.103766434,21,0.838723,0.20192392,-6.6756134,0.60503095,2200.0,0.29000000000000004,0.043339733,0.07751312
0.8166666666666668,460.0,0.10474214,22,0.83861494,0.20194517,-6.5194626,0.5552335,2300.0,0.36833333333333335,0.046126824,0.077239
0.8250000000000001,480.0,0.10582131,23,0.8386648,0.2019632,-6.670236,0.5809924,2400.0,0.365,0.046445593,0.07704977
0.9500000000000001,500.0,0.106648006,24,0.8387153,0.20203082,-6.433906,0.58917195,2500.0,0.35666666666666663,0.042368334,0.07675613
0.9500000000000001,520.0,0.1072647,25,0.8386844,0.2019573,-6.2997856,0.54753774,2600.0,0.35666666666666663,0.04373203,0.076630555
0.975,540.0,0.107726544,26,0.83864146,0.20194934,-6.389254,0.6436322,2700.0,0.42333333333333334,0.041550677,0.07646536
0.9666666666666667,560.0,0.10811452,27,0.8387058,0.2018974,-6.334599,0.58305544,2800.0,0.34833333333333333,0.038048435,0.07627218
0.9,580.0,0.108386554,28,0.8386856,0.20179836,-6.6866136,0.57640773,2900.0,0.38999999999999996,0.044655602,0.07603977
