test/success_rate,test/episode,stats_o/std,epoch,stats_g/mean,stats_o/mean,test/mean_Q,train/critic_loss,train/episode,train/success_rate,test/ag_g_dist,stats_g/std
0.9666666666666667,600.0,0.10877704,29,0.8386441,0.20175274,-6.929194,0.58768487,3000.0,0.39166666666666666,0.04515502,0.07588455
0.9499999999999998,620.0,0.10908195,30,0.83866614,0.20173042,-6.91083,0.6358364,3100.0,0.4000000000000001,0.039350607,0.07580909
0.9833333333333334,640.0,0.109482914,31,0.8385973,0.20168062,-7.110765,0.6640067,3200.0,0.38999999999999996,0.04226098,0.07561914
0.9833333333333334,660.0,0.109687634,32,0.8386228,0.20163359,-7.3524184,0.55341285,3300.0,0.3833333333333333,0.043933857,0.07545731
0.9833333333333334,680.0,0.11002913,33,0.83864504,0.2016849,-7.3651624,0.6467061,3400.0,0.38999999999999996,0.040904343,0.07539178
0.9833333333333334,700.0,0.11022826,34,0.83866173,0.20166492,-7.3026605,0.57493573,3500.0,0.44166666666666665,0.037283603,0.07524689
0.9583333333333334,720.0,0.110298164,35,0.8386944,0.2016366,-7.543081,0.5432808,3600.0,0.4283333333333333,0.038242564,0.07516842
0.975,740.0,0.11051256,36,0.8387554,0.20168178,-6.903734,0.5573294,3700.0,0.385,0.043914992,0.075213514
0.9833333333333334,760.0,0.11051815,37,0.8387155,0.20168038,-7.064537,0.48591757,3800.0,0.4683333333333333,0.04343143,0.074959256
0.9833333333333334,780.0,0.11057943,38,0.83873373,0.20171411,-7.372709,0.461597,3900.0,0.39666666666666667,0.042156696,0.07487927
0.9916666666666667,800.0,0.11065772,39,0.8387358,0.20164646,-7.224336,0.5944929,4000.0,0.42333333333333334,0.04013723,0.07479539
0.9416666666666668,820.0,0.11062708,40,0.83868146,0.20163387,-7.2103252,0.5540945,4100.0,0.45166666666666666,0.036592767,0.07476506
0.9833333333333334,840.0,0.11066022,41,0.83874685,0.20163034,-7.893238,0.65002483,4200.0,0.37999999999999995,0.043859933,0.07471423
0.9333333333333332,860.0,0.11076186,42,0.83874726,0.20158298,-7.932054,0.5864721,4300.0,0.43,0.04055418,0.07455791
1.0,880.0,0.11075742,43,0.8387532,0.20155068,-7.4729133,0.59538573,4400.0,0.4633333333333333,0.042187545,0.07449392
0.975,900.0,0.11077287,44,0.83873516,0.20152451,-7.491339,0.5972212,4500.0,0.445,0.03895979,0.0744116
0.9416666666666665,920.0,0.11078779,45,0.8386982,0.20153217,-8.656823,0.51224023,4600.0,0.4266666666666666,0.04484127,0.074327946
0.9916666666666667,940.0,0.1108912,46,0.8386504,0.20152445,-8.300773,0.4665872,4700.0,0.41333333333333333,0.0422285,0.0742636
1.0,960.0,0.11093941,47,0.83868974,0.20150204,-7.9857693,0.52055556,4800.0,0.43,0.041078586,0.074184634
0.975,980.0,0.11094833,48,0.8387053,0.20149504,-8.412684,0.54215527,4900.0,0.445,0.039679218,0.07411925
1.0,1000.0,0.11113927,49,0.83873934,0.20146471,-7.7134304,0.57679546,5000.0,0.40166666666666667,0.03711118,0.07404297
0.975,1020.0,0.11117343,50,0.8387373,0.20140766,-8.6779,0.6921298,5100.0,0.3983333333333334,0.041398145,0.07403737
0.9833333333333334,1040.0,0.11126504,51,0.83875114,0.20139736,-8.216123,0.5422442,5200.0,0.4416666666666667,0.041058693,0.07400183
1.0,1060.0,0.11134318,52,0.83875537,0.20139073,-8.326298,0.5452326,5300.0,0.4766666666666666,0.036291894,0.073900975
1.0,1080.0,0.11147523,53,0.83872753,0.20136683,-7.604195,0.58314794,5400.0,0.41500000000000004,0.03642678,0.073898934
1.0,1100.0,0.1115238,54,0.8386953,0.20135398,-8.381986,0.55120367,5500.0,0.45,0.036812786,0.07385402
0.9833333333333334,1120.0,0.111522935,55,0.83870125,0.20138283,-8.1644535,0.56240684,5600.0,0.445,0.039329108,0.073787175
0.9583333333333334,1140.0,0.1116051,56,0.83869845,0.2014138,-8.266613,0.6103776,5700.0,0.45166666666666666,0.041354947,0.07380676
0.9833333333333334,1160.0,0.11158532,57,0.8387294,0.20143725,-8.261123,0.52277017,5800.0,0.4483333333333334,0.04264154,0.07374302
0.9666666666666667,1180.0,0.111616164,58,0.8387039,0.20146017,-8.909992,0.5842477,5900.0,0.4716666666666667,0.04069399,0.07369261
0.9500000000000001,1200.0,0.11164459,59,0.83871764,0.20148619,-8.223819,0.5738592,6000.0,0.4416666666666667,0.038196523,0.07360036
0.975,1220.0,0.111725174,60,0.8386894,0.20147932,-8.150007,0.5619983,6100.0,0.45,0.04429372,0.07355373
0.9666666666666667,1240.0,0.11173131,61,0.8386724,0.2014578,-8.948414,0.52371484,6200.0,0.4749999999999999,0.03851087,0.073465124
0.9666666666666667,1260.0,0.11180063,62,0.8386929,0.20149039,-9.07696,0.6328221,6300.0,0.465,0.039910898,0.07335133
0.975,1280.0,0.11192161,63,0.8386948,0.20147233,-8.46386,0.6354432,6400.0,0.4366666666666667,0.038301673,0.07329364
0.9833333333333334,1300.0,0.11202693,64,0.8386647,0.20149438,-8.125498,0.5456298,6500.0,0.42500000000000004,0.03611135,0.073277146
0.9666666666666667,1320.0,0.11215437,65,0.83866197,0.20150696,-7.9641366,0.5683715,6600.0,0.4716666666666667,0.036310416,0.073241375
0.9666666666666667,1340.0,0.112273075,66,0.8386187,0.20151226,-8.54502,0.6377857,6700.0,0.40166666666666667,0.038295154,0.0732237
1.0,1360.0,0.11241851,67,0.83863854,0.20152022,-7.803416,0.51015294,6800.0,0.4533333333333333,0.03623898,0.07324381
0.9916666666666667,1380.0,0.1125668,68,0.83864975,0.20151617,-8.604041,0.47338155,6900.0,0.45999999999999996,0.037702207,0.07320551
0.9833333333333334,1400.0,0.112617195,69,0.8387089,0.20152305,-8.112184,0.4388627,7000.0,0.43,0.04132113,0.073145434
1.0,1420.0,0.112678975,70,0.8386943,0.20148535,-7.9046383,0.46060356,7100.0,0.44333333333333336,0.038981117,0.07310013
0.9833333333333334,1440.0,0.112754166,71,0.83866644,0.20147796,-7.8986874,0.5586985,7200.0,0.42,0.037351537,0.07313686
0.975,1460.0,0.11281129,72,0.83863807,0.20147984,-7.794337,0.653485,7300.0,0.46166666666666667,0.039913084,0.07310385
0.9666666666666667,1480.0,0.11292562,73,0.8386293,0.20149721,-7.6085644,0.5814101,7400.0,0.44333333333333336,0.039198954,0.073091775
1.0,1500.0,0.11304388,74,0.83863974,0.2015094,-7.6769714,0.4804717,7500.0,0.4383333333333333,0.039646387,0.07310254
1.0,1520.0,0.11311293,75,0.83861107,0.2015053,-8.03039,0.5799441,7600.0,0.48166666666666663,0.039617795,0.07311979
1.0,1540.0,0.11309799,76,0.8386033,0.20150779,-7.6330476,0.4315124,7700.0,0.47500000000000003,0.03480008,0.07307054
0.9916666666666667,1560.0,0.11315898,77,0.8385818,0.20147079,-7.5717063,0.5285272,7800.0,0.42333333333333334,0.039760582,0.07298737
0.9916666666666667,1580.0,0.11327052,78,0.838598,0.20147371,-7.4519515,0.42909393,7900.0,0.41333333333333333,0.037780646,0.07296158
0.9916666666666667,1600.0,0.113322,79,0.8386123,0.2014771,-7.67696,0.4955769,8000.0,0.4466666666666666,0.036749125,0.07292754
0.975,1620.0,0.11344999,80,0.83863944,0.2014534,-7.7486205,0.49705315,8100.0,0.4283333333333334,0.037882015,0.07289777
0.9916666666666667,1640.0,0.113524474,81,0.83863544,0.201446,-7.6217117,0.4914473,8200.0,0.445,0.040289667,0.072857045
1.0,1660.0,0.113588296,82,0.8386257,0.20139128,-6.9187946,0.5189472,8300.0,0.4766666666666666,0.037755724,0.07279392
1.0,1680.0,0.113686465,83,0.83862257,0.20136935,-7.6896405,0.5424712,8400.0,0.4466666666666667,0.039969083,0.072806455
0.9916666666666667,1700.0,0.113726504,84,0.83861536,0.20134145,-8.134458,0.40219244,8500.0,0.4566666666666667,0.039081905,0.072765805
0.9916666666666667,1720.0,0.11374599,85,0.8386283,0.2013256,-7.9858956,0.52732086,8600.0,0.4383333333333333,0.041183375,0.072717205
0.975,1740.0,0.11380645,86,0.8386228,0.20133673,-7.667456,0.47601485,8700.0,0.45999999999999996,0.036254946,0.07264983
0.9833333333333334,1760.0,0.11385692,87,0.8386309,0.20131908,-7.13847,0.5052679,8800.0,0.49666666666666665,0.039218232,0.072618864
0.9916666666666667,1780.0,0.1139723,88,0.8386645,0.20133352,-8.342568,0.8558257,8900.0,0.47333333333333333,0.040802162,0.07258806
0.9666666666666667,1800.0,0.11401806,89,0.8386631,0.20129627,-8.270381,0.5291751,9000.0,0.4416666666666667,0.04169034,0.07257805
1.0,1820.0,0.11403372,90,0.83869654,0.20126541,-7.60091,0.41745815,9100.0,0.4666666666666666,0.03739934,0.07260183
0.9916666666666667,1840.0,0.11412559,91,0.8386774,0.20124333,-7.219641,0.63311744,9200.0,0.4116666666666667,0.039604735,0.07260001
1.0,1860.0,0.11415765,92,0.8386968,0.20123155,-7.2740006,0.4636074,9300.0,0.435,0.034474183,0.07258164
0.9666666666666667,1880.0,0.11420414,93,0.8386817,0.20124358,-8.075883,0.5020599,9400.0,0.4366666666666667,0.03504323,0.07252746
0.9666666666666667,1900.0,0.11429433,94,0.83866686,0.20122816,-8.71123,0.48358655,9500.0,0.4383333333333333,0.039152298,0.07254744
0.975,1920.0,0.114380054,95,0.8386469,0.20120114,-7.6168303,0.47513238,9600.0,0.42333333333333334,0.040542126,0.07256887
0.9916666666666667,1940.0,0.1144205,96,0.83867884,0.2011983,-8.692382,0.47281265,9700.0,0.4833333333333334,0.043324023,0.07252416
0.975,1960.0,0.11453762,97,0.8386827,0.20118855,-7.6377335,0.4224545,9800.0,0.44,0.038060635,0.072533496
0.975,1980.0,0.11459586,98,0.8386783,0.20115544,-8.067467,0.41529623,9900.0,0.42166666666666663,0.038870104,0.072543435
1.0,2000.0,0.11466279,99,0.8386889,0.2011308,-6.9907737,0.42806995,10000.0,0.445,0.034471482,0.072509006
