stats_g/mean,test/success_rate,train/episode,epoch,train/critic_loss,test/mean_Q,stats_o/mean,train/success_rate,stats_o/std,test/episode,test/ag_g_dist,stats_g/std
0.8370762,0.0,100.0,0,0.33660832,-2.9283555,0.20108311,0.0016666666666666668,0.045397684,20.0,0.1752298,0.07156229
0.83720255,0.008333333333333333,200.0,1,0.58555084,-5.1514096,0.20101015,0.0016666666666666668,0.045808826,40.0,0.18159729,0.07165242
0.8372298,0.0,300.0,2,0.6132522,-7.1159797,0.2009741,0.0,0.04407577,60.0,0.16763014,0.070812784
0.8378001,0.0,400.0,3,0.6229276,-9.023877,0.20128034,0.0016666666666666668,0.048242047,80.0,0.17848651,0.07472371
0.83863735,0.0,500.0,4,0.699375,-10.905324,0.20161837,0.0,0.053735122,100.0,0.17988706,0.07887899
0.8387057,0.0,600.0,5,0.60360724,-12.561714,0.20177625,0.0,0.05521578,120.0,0.16536637,0.08007825
0.83874637,0.016666666666666666,700.0,6,0.5644537,-13.457639,0.2018087,0.0,0.057459082,140.0,0.1617292,0.080565386
0.8390896,0.016666666666666666,800.0,7,0.61870366,-13.269513,0.20185357,0.008333333333333333,0.06162882,160.0,0.16276455,0.08136434
0.83920497,0.075,900.0,8,0.60613465,-11.977771,0.20184128,0.02666666666666667,0.06574006,180.0,0.1366662,0.08066622
0.8393678,0.10833333333333334,1000.0,9,0.67566156,-10.517585,0.20134073,0.034999999999999996,0.07248038,200.0,0.12283384,0.08073676
0.83934516,0.25,1100.0,10,0.6008764,-9.210204,0.20146964,0.07333333333333335,0.07825402,220.0,0.09442059,0.080260046
0.83929724,0.44166666666666665,1200.0,11,0.6257443,-7.338169,0.20154178,0.12166666666666666,0.08464179,240.0,0.061957072,0.07997697
0.83917195,0.65,1300.0,12,0.59418875,-6.4185505,0.20176518,0.19833333333333333,0.089496754,260.0,0.055135194,0.079812996
0.8389182,0.6166666666666666,1400.0,13,0.7188928,-6.4059315,0.20165901,0.22666666666666666,0.09279633,280.0,0.0598907,0.079435155
0.8387502,0.6833333333333332,1500.0,14,0.53399986,-6.4210973,0.20154965,0.25666666666666665,0.09605066,300.0,0.058098454,0.079279095
0.8387813,0.625,1600.0,15,0.6237585,-6.477051,0.20161383,0.27499999999999997,0.09892038,320.0,0.05400468,0.07911129
0.8387852,0.6,1700.0,16,0.5658372,-6.6088195,0.20172131,0.265,0.1013828,340.0,0.051376954,0.07895499
0.8389046,0.65,1800.0,17,0.5414626,-6.4418454,0.20190823,0.2966666666666667,0.10295471,360.0,0.0489707,0.07882105
0.83893317,0.7416666666666667,1900.0,18,0.5779226,-6.4639206,0.20190401,0.30333333333333334,0.10430744,380.0,0.047523856,0.07864603
0.8389494,0.7916666666666666,2000.0,19,0.47541595,-5.99698,0.20195489,0.30666666666666664,0.105531454,400.0,0.042032626,0.078516185
0.8388832,0.7666666666666666,2100.0,20,0.49234366,-6.539129,0.20201236,0.33499999999999996,0.10652087,420.0,0.04462899,0.078338854
0.83891577,0.7833333333333333,2200.0,21,0.5770429,-5.5815187,0.20197983,0.3033333333333334,0.10711982,440.0,0.04101217,0.07805012
0.8388107,0.875,2300.0,22,0.6337549,-6.2557697,0.20193203,0.38833333333333336,0.107771695,460.0,0.046649236,0.077766225
0.83883595,0.8333333333333334,2400.0,23,0.55706084,-6.8214936,0.20193343,0.31833333333333336,0.10851342,480.0,0.046335977,0.07759865
0.83884627,0.8916666666666666,2500.0,24,0.6476834,-6.1483245,0.20194761,0.33499999999999996,0.109239094,500.0,0.040858123,0.0774863
0.83883625,0.9249999999999999,2600.0,25,0.59216756,-6.252437,0.20197612,0.35833333333333334,0.10955936,520.0,0.042481642,0.07721076
0.8387821,0.9333333333333332,2700.0,26,0.47443852,-6.5518746,0.20190607,0.37333333333333335,0.109974,540.0,0.041035514,0.077068664
0.8388601,0.9250000000000002,2800.0,27,0.6115535,-6.018666,0.2018267,0.39333333333333337,0.110213645,560.0,0.036491986,0.07684503
0.8388009,0.9,2900.0,28,0.6601791,-6.52491,0.20179503,0.3633333333333333,0.11062076,580.0,0.042646725,0.07662812
0.838741,0.9416666666666668,3000.0,29,0.60437685,-6.4747148,0.20177244,0.38999999999999996,0.110814564,600.0,0.04416268,0.07648873
