train/episode,stats_o/mean,stats_g/mean,stats_g/std,test/episode,epoch,test/success_rate,train/success_rate,test/ag_g_dist,stats_o/std,train/critic_loss,test/mean_Q
4000.0,0.19612984,0.38225898,0.22903867,800.0,39,0.43333333333333335,0.17666666666666667,0.5159791,0.90676767,0.3415937,-16.889961
4100.0,0.1959185,0.38237146,0.22876303,820.0,40,0.425,0.17833333333333334,0.5046217,0.9100292,0.35264888,-17.573252
4200.0,0.19574217,0.38262793,0.22846954,840.0,41,0.4333333333333333,0.19499999999999998,0.48030397,0.91293985,0.3219585,-16.6389
4300.0,0.19557029,0.38292536,0.22820677,860.0,42,0.43333333333333335,0.16833333333333333,0.45560908,0.9157625,0.33869115,-16.642359
4400.0,0.19536595,0.38315573,0.22785644,880.0,43,0.4916666666666667,0.20333333333333334,0.39273253,0.91859704,0.36203912,-13.285161
4500.0,0.19520539,0.38330603,0.22756319,900.0,44,0.375,0.17499999999999996,0.46774837,0.92113733,0.33466378,-16.248848
4600.0,0.19504243,0.3833467,0.22736786,920.0,45,0.4666666666666666,0.19166666666666665,0.41116735,0.92365474,0.31840184,-14.254692
4700.0,0.19488676,0.38339475,0.22716464,940.0,46,0.4583333333333333,0.19166666666666665,0.43506655,0.9258254,0.3436644,-14.536
4800.0,0.19469006,0.38350883,0.226972,960.0,47,0.45,0.18000000000000002,0.43834606,0.9279428,0.33607674,-15.108181
4900.0,0.19455235,0.38350415,0.22688963,980.0,48,0.4583333333333333,0.18333333333333335,0.4330441,0.93010664,0.34376064,-14.09269
5000.0,0.19445689,0.38355038,0.22669356,1000.0,49,0.45,0.17166666666666666,0.43150628,0.93220997,0.3207353,-13.889331
