train/episode,stats_o/mean,stats_g/mean,stats_g/std,test/episode,epoch,test/success_rate,train/success_rate,test/ag_g_dist,stats_o/std,train/critic_loss,test/mean_Q
100.0,0.19690324,0.3833085,0.22257519,20.0,0,0.0,0.0,1.0315527,0.7610782,0.16714136,-2.677455
200.0,0.19841975,0.38268843,0.22344057,40.0,1,0.008333333333333333,0.0016666666666666668,0.96177703,0.7566063,0.14889358,-4.867674
300.0,0.19931738,0.38365555,0.22491615,60.0,2,0.0,0.0,0.9916501,0.7518801,0.1585983,-7.150931
400.0,0.19943029,0.38228264,0.22563685,80.0,3,0.025000000000000005,0.0016666666666666668,1.0075277,0.7520182,0.153233,-9.002892
500.0,0.1998915,0.38194004,0.22671847,100.0,4,0.008333333333333333,0.006666666666666667,0.9800407,0.7532216,0.17054744,-10.961076
600.0,0.19990583,0.3823305,0.22642244,120.0,5,0.03333333333333333,0.013333333333333334,0.9725513,0.75409526,0.17731832,-12.474431
700.0,0.20017739,0.383531,0.22658263,140.0,6,0.025000000000000005,0.021666666666666667,1.0090637,0.7581007,0.1819067,-14.373891
800.0,0.20002276,0.38340047,0.22738217,160.0,7,0.05833333333333333,0.011666666666666667,0.8873145,0.7609617,0.2039374,-14.90065
900.0,0.19986196,0.3833761,0.2276746,180.0,8,0.05833333333333333,0.013333333333333334,0.9523056,0.76619864,0.202815,-16.358759
1000.0,0.19965316,0.3827385,0.22856641,200.0,9,0.03333333333333333,0.021666666666666667,0.94746757,0.77045983,0.20160262,-17.964506
1100.0,0.19945772,0.3818808,0.22949345,220.0,10,0.05833333333333333,0.03833333333333333,1.023902,0.7746749,0.20568748,-20.183744
1200.0,0.19939178,0.38161397,0.22958787,240.0,11,0.09166666666666667,0.05000000000000001,0.90758294,0.7791204,0.19902511,-19.798815
1300.0,0.19921856,0.38167277,0.22984876,260.0,12,0.09166666666666667,0.036666666666666674,1.00942,0.7846181,0.21784787,-21.402594
1400.0,0.1992876,0.3815867,0.23033845,280.0,13,0.15,0.045000000000000005,0.8352246,0.78965396,0.22273035,-19.838264
1500.0,0.19952227,0.3814272,0.2306289,300.0,14,0.09166666666666667,0.06166666666666667,0.9405187,0.79456335,0.21544282,-23.069265
1600.0,0.1995757,0.38145402,0.23095222,320.0,15,0.13333333333333333,0.03833333333333334,0.87513894,0.79955655,0.2369337,-22.287298
1700.0,0.19960563,0.38138893,0.23125426,340.0,16,0.17499999999999996,0.07166666666666667,0.87679833,0.80495286,0.23634185,-22.275248
1800.0,0.19959152,0.38138747,0.23148656,360.0,17,0.1416666666666667,0.08166666666666667,0.92074543,0.8103323,0.23249654,-25.406565
1900.0,0.19956587,0.38114643,0.23185508,380.0,18,0.125,0.08666666666666667,0.8624533,0.81498975,0.25894424,-23.654593
2000.0,0.19932126,0.38102725,0.23211403,400.0,19,0.15833333333333335,0.06666666666666667,0.85001105,0.82069737,0.2643716,-24.68654
2100.0,0.19924273,0.38111332,0.23225917,420.0,20,0.125,0.08333333333333333,0.8768645,0.8262863,0.28029945,-26.075434
2200.0,0.19904898,0.38123718,0.2323762,440.0,21,0.15,0.065,0.81387395,0.83177394,0.2674594,-24.473001
2300.0,0.19887634,0.38133612,0.23247068,460.0,22,0.15833333333333335,0.07666666666666666,0.79144317,0.8365347,0.28107458,-25.215347
2400.0,0.19870706,0.38124081,0.23243497,480.0,23,0.15833333333333335,0.075,0.7595644,0.8416478,0.27055266,-23.946167
2500.0,0.19851196,0.3813649,0.23218979,500.0,24,0.21666666666666667,0.08,0.67119956,0.84709305,0.29195285,-21.732773
2600.0,0.1983655,0.38130322,0.23207088,520.0,25,0.25833333333333336,0.09999999999999999,0.68585664,0.852382,0.27110514,-21.913599
2700.0,0.19823651,0.38117933,0.23192318,540.0,26,0.30833333333333335,0.11833333333333333,0.7265134,0.8573157,0.2708745,-23.025507
2800.0,0.19816323,0.38122502,0.23173682,560.0,27,0.2833333333333333,0.11166666666666668,0.6933444,0.8616006,0.33021915,-22.972555
2900.0,0.19798578,0.38120922,0.23144425,580.0,28,0.26666666666666666,0.09500000000000001,0.6842578,0.86590546,0.27922258,-22.390219
3000.0,0.19778477,0.38104352,0.2313293,600.0,29,0.24166666666666667,0.10833333333333335,0.581509,0.87014216,0.30368838,-19.980062
3100.0,0.19770311,0.3813448,0.23099713,620.0,30,0.2833333333333333,0.13,0.63106126,0.8743997,0.32598624,-21.494255
3200.0,0.19754635,0.38145718,0.23094504,640.0,31,0.275,0.11833333333333335,0.68267316,0.8785441,0.36928448,-23.105429
3300.0,0.19734126,0.38151494,0.23065369,660.0,32,0.3416666666666666,0.1416666666666667,0.59272546,0.88253814,0.3395625,-20.181704
3400.0,0.19713116,0.38153514,0.23049872,680.0,33,0.35000000000000003,0.13166666666666668,0.511322,0.8863731,0.30382943,-18.835964
3500.0,0.19696267,0.38173485,0.23027389,700.0,34,0.4166666666666667,0.16,0.47200218,0.89012235,0.286099,-15.999293
3600.0,0.19677031,0.3816745,0.23013465,720.0,35,0.3833333333333333,0.12666666666666668,0.5857961,0.8937547,0.32873467,-19.478737
3700.0,0.1966331,0.3817455,0.22978069,740.0,36,0.4833333333333334,0.165,0.47096595,0.8970699,0.3240579,-15.829006
3800.0,0.19651318,0.38199186,0.22948651,760.0,37,0.39166666666666666,0.19666666666666668,0.4720038,0.90037996,0.30724564,-16.619198
3900.0,0.19628455,0.38212296,0.22928023,780.0,38,0.35833333333333334,0.14166666666666666,0.63512176,0.90368634,0.30692935,-21.431082
