test/success_rate,stats_g/std,stats_o/std,stats_o/mean,test/episode,stats_g/mean,train/episode,train/critic_loss,test/mean_Q,train/success_rate,epoch
0.0,0.11966694,0.055300433,0.17721832,20.0,0.74229676,100.0,0.07172886,-2.8790557,0.0016666666666666668,0
0.0,0.1320333,0.06315675,0.17755604,40.0,0.74629617,200.0,2.9345248,-8.639546,0.013333333333333334,1
0.0,0.15883256,0.07393766,0.17935903,60.0,0.75241303,300.0,29.66184,-21.521133,0.005,2
0.0,0.18128312,0.08454364,0.18063928,80.0,0.7568218,400.0,42.878674,-41.524387,0.0,3
0.041666666666666664,0.18227857,0.08527879,0.18127687,100.0,0.7591727,500.0,24.096909,-45.769733,0.008333333333333333,4
0.0,0.17673133,0.08428544,0.18080778,120.0,0.7578265,600.0,14.167961,-49.19348,0.01,5
0.016666666666666666,0.17104952,0.08189434,0.18038993,140.0,0.7562113,700.0,35.71455,-49.49905,0.01,6
0.016666666666666666,0.16665395,0.079867266,0.17998056,160.0,0.75472647,800.0,89.49439,-49.835163,0.0016666666666666668,7
0.0,0.16277637,0.07823868,0.17946078,180.0,0.7530958,900.0,77.03073,-49.935993,0.008333333333333333,8
0.0,0.15951423,0.07669063,0.17926091,200.0,0.7519445,1000.0,46.722713,-49.886093,0.0,9
0.0,0.15627609,0.07495792,0.17900531,220.0,0.75120336,1100.0,31.652353,-49.786743,0.0016666666666666668,10
0.008333333333333333,0.15366647,0.07348032,0.17874463,240.0,0.75051504,1200.0,27.579336,-49.78227,0.005,11
0.0,0.15136497,0.072152965,0.1786655,260.0,0.7501195,1300.0,27.968079,-49.93396,0.005,12
0.0,0.14969705,0.07120065,0.17852597,280.0,0.74941903,1400.0,23.328226,-49.75005,0.0,13
0.0,0.14805315,0.0701303,0.17842014,300.0,0.7488939,1500.0,22.624046,-49.831573,0.0,14
0.0,0.14650373,0.06932628,0.1783908,320.0,0.7486736,1600.0,23.308296,-50.062893,0.005,15
0.0,0.14535691,0.06869473,0.1782943,340.0,0.7483416,1700.0,18.424831,-50.17218,0.005,16
0.0,0.14428969,0.06795536,0.17823757,360.0,0.74818057,1800.0,13.271794,-50.1953,0.0016666666666666668,17
0.0,0.14312308,0.06732386,0.17822792,380.0,0.7479613,1900.0,14.1937895,-49.842255,0.0033333333333333335,18
0.0,0.14199047,0.06670044,0.17815936,400.0,0.7476538,2000.0,9.171519,-49.936066,0.0033333333333333335,19
0.008333333333333333,0.1408677,0.066105954,0.17811652,420.0,0.7475291,2100.0,11.618083,-50.057816,0.006666666666666667,20
0.0,0.14017354,0.06571085,0.1780762,440.0,0.74726826,2200.0,10.868278,-49.808014,0.0016666666666666668,21
0.008333333333333333,0.13935696,0.06538996,0.1780033,460.0,0.7470564,2300.0,9.292882,-49.9807,0.0,22
0.008333333333333333,0.13839495,0.0648972,0.17802511,480.0,0.74701166,2400.0,9.251632,-50.02362,0.006666666666666667,23
0.008333333333333333,0.13769346,0.06445507,0.17795826,500.0,0.7469356,2500.0,11.767209,-49.953247,0.0033333333333333335,24
0.0,0.1372052,0.06410816,0.17792822,520.0,0.74687785,2600.0,6.376625,-50.104366,0.005,25
0.0,0.13659911,0.06383432,0.17786944,540.0,0.7467587,2700.0,7.159172,-49.97984,0.005,26
0.0,0.13619994,0.06360386,0.17782015,560.0,0.7465205,2800.0,7.6836495,-49.953182,0.0033333333333333335,27
0.0,0.13572799,0.0632404,0.17775743,580.0,0.7463071,2900.0,6.4788976,-49.996246,0.0033333333333333335,28
0.0,0.13538554,0.06302553,0.17773004,600.0,0.74613315,3000.0,9.125983,-50.017166,0.0016666666666666668,29
0.0,0.1348492,0.06264594,0.1776766,620.0,0.7460051,3100.0,8.354884,-49.878216,0.0033333333333333335,30
0.0,0.134423,0.062431544,0.17765684,640.0,0.7459398,3200.0,6.297562,-50.06247,0.0016666666666666668,31
0.0,0.13395375,0.062122468,0.17763901,660.0,0.74583155,3300.0,10.778256,-49.953533,0.005,32
0.0,0.13361011,0.06194077,0.17766237,680.0,0.74575454,3400.0,5.989559,-49.98653,0.0016666666666666668,33
0.008333333333333333,0.13315096,0.061703164,0.17763253,700.0,0.74568295,3500.0,10.390706,-49.897663,0.0033333333333333335,34
0.0,0.13276088,0.061529532,0.17759447,720.0,0.74564767,3600.0,9.37963,-49.94194,0.0033333333333333335,35
0.0,0.13237931,0.06134515,0.17755836,740.0,0.7455368,3700.0,10.641992,-50.117706,0.006666666666666667,36
0.0,0.13198654,0.061119586,0.17754251,760.0,0.7454179,3800.0,6.750921,-49.966267,0.0033333333333333335,37
0.0,0.1315753,0.060834173,0.17755215,780.0,0.74544305,3900.0,8.318852,-49.994427,0.005,38
0.0,0.13124894,0.060620103,0.17752457,800.0,0.7454029,4000.0,8.73928,-49.973648,0.0,39
0.008333333333333333,0.1309575,0.060461845,0.17750828,820.0,0.74532753,4100.0,10.790321,-49.99823,0.0,40
0.0,0.13070558,0.060235452,0.17749397,840.0,0.74530286,4200.0,8.535553,-49.859425,0.0033333333333333335,41
0.008333333333333333,0.13042597,0.06010514,0.177482,860.0,0.74522597,4300.0,10.2418165,-49.87297,0.0033333333333333335,42
0.0,0.13036253,0.060031343,0.17747416,880.0,0.74518067,4400.0,8.186438,-50.050007,0.005,43
0.0,0.13017848,0.059881657,0.17746584,900.0,0.7451706,4500.0,6.258471,-49.820618,0.0033333333333333335,44
0.0,0.12990634,0.059753284,0.17745346,920.0,0.7451766,4600.0,9.867004,-49.793736,0.005,45
0.0,0.12976892,0.059666485,0.17742924,940.0,0.74508,4700.0,6.1593685,-50.048687,0.0016666666666666668,46
0.008333333333333333,0.12948151,0.05953048,0.17742653,960.0,0.7450891,4800.0,4.1876497,-50.023346,0.0016666666666666668,47
0.008333333333333333,0.12924959,0.059366,0.17742093,980.0,0.74508214,4900.0,4.1011024,-49.988144,0.0033333333333333335,48
0.0,0.12896083,0.05920047,0.1774065,1000.0,0.7450598,5000.0,4.9911184,-49.98882,0.0016666666666666668,49
