test/success_rate,test/ag_g_dist,train/success_rate,stats_g/mean,epoch,train/episode,stats_o/std,stats_g/std,train/critic_loss,stats_o/mean,test/mean_Q,test/episode
0.0,0.4784542,0.0016666666666666668,0.7411786,0,100.0,0.05778973,0.12362033,0.18572998,0.17728908,-3.0760505,20.0
0.0,0.44750464,0.0016666666666666668,0.7430374,1,200.0,0.05579986,0.11992649,0.18168503,0.17664962,-5.046291,40.0
0.008333333333333333,0.42997286,0.0033333333333333335,0.74383456,2,300.0,0.055455174,0.120572455,0.16941924,0.17702425,-6.905313,60.0
0.0,0.46815062,0.005,0.74517804,3,400.0,0.057384577,0.12911944,0.18889232,0.17742212,-8.979127,80.0
0.008333333333333333,0.4595259,0.01,0.7476011,4,500.0,0.05995326,0.13854559,0.18501778,0.17817731,-10.69532,100.0
0.008333333333333333,0.4801302,0.005,0.74803066,5,600.0,0.06211887,0.14311624,0.1982065,0.17823376,-12.429837,120.0
0.008333333333333333,0.46384564,0.005,0.750731,6,700.0,0.065544866,0.15073745,0.20898366,0.17875834,-13.8494425,140.0
0.016666666666666666,0.42279682,0.006666666666666667,0.75231904,7,800.0,0.068354405,0.15686877,0.25619414,0.17908423,-14.116689,160.0
0.008333333333333333,0.4475771,0.018333333333333337,0.75445014,8,900.0,0.07315176,0.16789484,0.29474512,0.17984867,-15.621699,180.0
0.016666666666666666,0.38160154,0.02666666666666667,0.7569027,9,1000.0,0.07904501,0.17717801,0.44819245,0.18071283,-14.216583,200.0
0.10000000000000002,0.3893883,0.04666666666666667,0.76009756,10,1100.0,0.08366534,0.18306188,0.36738077,0.18140455,-14.333404,220.0
0.05833333333333333,0.42007098,0.05000000000000001,0.763107,11,1200.0,0.08672627,0.18697113,0.55491483,0.18186684,-16.272882,240.0
0.05000000000000001,0.4107802,0.03166666666666667,0.7657663,12,1300.0,0.08872661,0.18946268,0.7197359,0.18228082,-16.511417,260.0
0.05833333333333334,0.41056058,0.03666666666666667,0.7684109,13,1400.0,0.09096524,0.1924491,0.5160568,0.18280287,-17.515755,280.0
0.016666666666666666,0.37381017,0.034999999999999996,0.7712564,14,1500.0,0.09298679,0.1955385,1.1348654,0.18326996,-18.551897,300.0
0.049999999999999996,0.30061224,0.045000000000000005,0.774347,15,1600.0,0.09504237,0.19888598,1.1831678,0.18386096,-17.562822,320.0
0.06666666666666667,0.2747553,0.06666666666666667,0.77723163,16,1700.0,0.09666719,0.20158423,1.170832,0.18451315,-17.242834,340.0
0.075,0.27233717,0.07666666666666666,0.7809019,17,1800.0,0.09778932,0.20287864,1.5325168,0.18527013,-18.34844,360.0
0.11666666666666668,0.25334752,0.05333333333333334,0.78352565,18,1900.0,0.09922431,0.20494644,1.8874024,0.18588865,-17.527365,380.0
0.10833333333333334,0.28224283,0.07166666666666667,0.7857449,19,2000.0,0.1003984,0.20640367,1.4280189,0.1863993,-17.574755,400.0
0.10833333333333334,0.3073377,0.07666666666666667,0.78773075,20,2100.0,0.10175169,0.20788121,2.27485,0.18683924,-20.883307,420.0
0.10833333333333334,0.26047993,0.05666666666666667,0.78942806,21,2200.0,0.102907985,0.20967849,2.8791811,0.1872875,-19.623362,440.0
0.075,0.27221975,0.053333333333333344,0.7910587,22,2300.0,0.10408973,0.21147768,3.3177373,0.18776219,-21.450365,460.0
0.18333333333333332,0.26318005,0.06166666666666667,0.79232,23,2400.0,0.10495726,0.21249433,4.6691284,0.18815106,-19.110474,480.0
0.10000000000000002,0.24733277,0.07666666666666667,0.79395264,24,2500.0,0.105553865,0.21298788,3.0796716,0.18851511,-20.64421,500.0
0.17500000000000002,0.26179892,0.07833333333333334,0.79544455,25,2600.0,0.1059883,0.21349289,5.18035,0.18889172,-20.615622,520.0
0.225,0.21738394,0.09000000000000001,0.7965319,26,2700.0,0.106656134,0.21415679,3.098191,0.18925714,-18.102781,540.0
0.26666666666666666,0.21061729,0.07666666666666667,0.7976145,27,2800.0,0.10735545,0.21443307,4.1992326,0.18947078,-17.730669,560.0
0.21666666666666667,0.23114407,0.13,0.79857844,28,2900.0,0.10783968,0.21447718,6.085079,0.18962969,-19.384872,580.0
0.18333333333333335,0.2536253,0.09000000000000001,0.7997494,29,3000.0,0.10835681,0.21468623,4.151554,0.18990006,-20.491968,600.0
0.15833333333333333,0.2416578,0.12,0.80069804,30,3100.0,0.10869214,0.21455006,6.2644944,0.19009908,-22.727966,620.0
0.18333333333333335,0.22975932,0.08833333333333333,0.8019808,31,3200.0,0.109077305,0.2147543,4.453048,0.1903884,-22.936317,640.0
0.25833333333333336,0.22494765,0.09666666666666668,0.8028727,32,3300.0,0.10950471,0.21484858,7.3438015,0.19057281,-17.652746,660.0
0.21666666666666667,0.23712344,0.11666666666666665,0.8037774,33,3400.0,0.109840155,0.21468793,5.5259438,0.1907572,-21.258034,680.0
