test/ag_g_dist,train/critic_loss,train/episode,epoch,stats_g/std,stats_g/mean,stats_o/mean,test/success_rate,test/mean_Q,train/success_rate,stats_o/std,test/episode
0.02308315,0.086296536,800.0,39,0.08483984,0.87804174,0.263589,0.9416666666666668,-1.245768,0.24166666666666667,0.03100654,800.0
0.028397521,0.08473899,820.0,40,0.08493333,0.87802887,0.26358747,0.9,-1.7807175,0.14166666666666664,0.031038487,820.0
0.026082108,0.09373194,840.0,41,0.084966265,0.87817603,0.2636268,0.9083333333333333,-1.4613457,0.25833333333333336,0.031059245,840.0
0.022831663,0.08785816,860.0,42,0.08498297,0.87808174,0.26360556,0.9333333333333332,-1.1947664,0.2833333333333333,0.031076297,860.0
0.025657712,0.10094008,880.0,43,0.085001566,0.87817293,0.26363117,0.8916666666666666,-1.6773237,0.2833333333333333,0.031086063,880.0
0.024469152,0.092064045,900.0,44,0.08499349,0.8781116,0.26361763,0.9249999999999999,-1.3831186,0.18333333333333335,0.03109633,900.0
0.021551618,0.098650485,920.0,45,0.084963165,0.8781596,0.26362926,0.9333333333333332,-1.1447085,0.275,0.031095793,920.0
0.022103058,0.09932974,940.0,46,0.08495792,0.8781419,0.26362318,0.9333333333333332,-1.0645345,0.17500000000000002,0.031101728,940.0
0.022141011,0.098567665,960.0,47,0.08509889,0.8781402,0.2636189,0.9166666666666666,-1.3155679,0.26666666666666666,0.031149274,960.0
0.024158752,0.11096349,980.0,48,0.085078575,0.8782093,0.26364022,0.9083333333333332,-1.3582325,0.2416666666666667,0.031152228,980.0
0.023960853,0.11284286,1000.0,49,0.0850355,0.8782857,0.26365787,0.9333333333333332,-1.2532171,0.275,0.031147411,1000.0
0.022786876,0.11399296,1020.0,50,0.085038394,0.8783171,0.2636653,0.9083333333333333,-1.3695521,0.20833333333333334,0.031150252,1020.0
0.027180078,0.10302887,1040.0,51,0.085022986,0.87832135,0.26366654,0.9083333333333333,-1.5941086,0.25,0.031150049,1040.0
0.022175021,0.12582432,1060.0,52,0.084973015,0.8783656,0.26367918,0.8916666666666666,-1.9091806,0.225,0.031137446,1060.0
0.022352172,0.11583618,1080.0,53,0.08494028,0.8784049,0.26369014,0.9166666666666666,-1.4096206,0.2916666666666667,0.031135276,1080.0
0.025120026,0.11036859,1100.0,54,0.08500036,0.87826926,0.26365128,0.9,-1.6612349,0.20000000000000004,0.031160435,1100.0
0.023872256,0.10093364,1120.0,55,0.085009195,0.8783236,0.26366073,0.9333333333333332,-1.4332701,0.31666666666666665,0.03116571,1120.0
0.023469597,0.11045247,1140.0,56,0.08498163,0.87845975,0.2636954,0.9416666666666668,-1.0605165,0.27499999999999997,0.03116407,1140.0
0.020628115,0.11050144,1160.0,57,0.08493606,0.8783488,0.26366276,0.9333333333333332,-1.2474554,0.25,0.03115497,1160.0
0.020029407,0.10118172,1180.0,58,0.08496716,0.87817913,0.26361465,0.9333333333333332,-1.0455017,0.19999999999999998,0.031170214,1180.0
0.034556683,0.10745444,1200.0,59,0.08498242,0.87815064,0.26360688,0.9083333333333333,-1.6416811,0.13333333333333333,0.031176979,1200.0
