stats_o/mean,stats_g/mean,test/ag_g_dist,stats_g/std,train/episode,stats_o/std,test/mean_Q,test/episode,train/success_rate,epoch,test/success_rate,train/critic_loss
0.1962833,0.38247553,1.0377887,0.2226728,100.0,0.7708302,-2.6043537,20.0,0.0,0,0.008333333333333333,0.123537876
0.20081191,0.3821617,0.9688342,0.2234381,200.0,0.7621961,-4.7763724,40.0,0.0016666666666666668,1,0.0,0.10518093
0.20139825,0.38286853,0.9974982,0.22476606,300.0,0.7559641,-6.9450784,60.0,0.0033333333333333335,2,0.008333333333333333,0.10869527
0.20140715,0.38213786,1.0019021,0.22578602,400.0,0.75537425,-8.596179,80.0,0.0033333333333333335,3,0.016666666666666666,0.1258113
0.2017479,0.3824667,0.9775321,0.22677903,500.0,0.75614667,-10.534369,100.0,0.0,4,0.025000000000000005,0.14001007
0.20181839,0.38273856,0.9939435,0.22630633,600.0,0.75741833,-12.250504,120.0,0.015,5,0.049999999999999996,0.13523574
0.20187272,0.38348725,1.0122694,0.2264461,700.0,0.7610257,-13.789436,140.0,0.024999999999999998,6,0.041666666666666664,0.14526308
0.20151603,0.38371518,0.88444513,0.22734661,800.0,0.7650973,-14.38155,160.0,0.02,7,0.05833333333333334,0.17782426
0.20137413,0.3833337,0.96545887,0.22763659,900.0,0.7700625,-15.89401,180.0,0.035,8,0.07500000000000001,0.1694902
0.20118618,0.38251385,0.9551213,0.2282443,1000.0,0.7743867,-17.21546,200.0,0.03166666666666667,9,0.075,0.17988223
0.2008649,0.38172814,0.99475384,0.22918181,1100.0,0.77844787,-19.711685,220.0,0.035,10,0.075,0.18587716
0.20062922,0.3816438,0.8834834,0.2290488,1200.0,0.7829277,-18.975256,240.0,0.07500000000000001,11,0.11666666666666668,0.19261956
0.20064007,0.38172224,0.9740607,0.2292002,1300.0,0.7881022,-20.710646,260.0,0.05833333333333333,12,0.1416666666666667,0.2305088
0.20058881,0.38180098,0.8518017,0.22938077,1400.0,0.7934751,-20.390978,280.0,0.07333333333333335,13,0.15000000000000002,0.21299784
0.20068228,0.38169202,0.91989964,0.22995107,1500.0,0.7981343,-22.393526,300.0,0.05666666666666667,14,0.11666666666666665,0.2454716
0.20061092,0.38151672,0.7957503,0.23067789,1600.0,0.80256826,-20.395905,320.0,0.051666666666666666,15,0.20000000000000004,0.24809611
0.20048936,0.3814061,0.81957054,0.23106854,1700.0,0.80711144,-20.78688,340.0,0.08333333333333333,16,0.17500000000000002,0.24274941
0.20030443,0.38140765,0.9109674,0.23131336,1800.0,0.8125443,-24.65835,360.0,0.08333333333333333,17,0.10833333333333334,0.29987934
0.20013337,0.3811532,0.8583887,0.2315623,1900.0,0.81725764,-23.338793,380.0,0.08833333333333333,18,0.20833333333333334,0.30742562
