stats_g/std,test/success_rate,stats_o/mean,test/episode,stats_o/std,train/episode,train/success_rate,test/mean_Q,train/critic_loss,stats_g/mean,test/ag_g_dist,epoch
0.07282355,0.10000000000000002,0.20089,20.0,0.047825467,100.0,0.05333333333333334,-1.9723324,0.0032594725,0.8372283,0.17544043,0
0.07195186,0.041666666666666664,0.20097607,40.0,0.047013793,200.0,0.08166666666666667,-4.1113343,0.0013471799,0.8372546,0.18216985,1
0.071473725,0.041666666666666664,0.20096533,60.0,0.046685506,300.0,0.07166666666666667,-5.819857,0.0024638574,0.83721834,0.16827919,2
0.07162382,0.075,0.20118807,80.0,0.047517736,400.0,0.06166666666666667,-7.6495385,0.0021021462,0.83779955,0.17843264,3
0.074627355,0.075,0.20145778,100.0,0.050945777,500.0,0.07333333333333333,-9.425625,0.0031272273,0.83858556,0.17956738,4
0.075789645,0.09166666666666667,0.20150475,120.0,0.051973876,600.0,0.07166666666666667,-10.704097,0.003837488,0.8385349,0.16583054,5
0.076104455,0.13333333333333333,0.20139997,140.0,0.053582713,700.0,0.08666666666666667,-11.595523,0.009764896,0.8384333,0.16649045,6
0.076549165,0.16666666666666666,0.20139544,160.0,0.05512698,800.0,0.11666666666666668,-12.245865,0.004769854,0.83873653,0.16738792,7
0.07702548,0.15833333333333333,0.20142825,180.0,0.05660544,900.0,0.1366666666666667,-13.502742,0.018724434,0.83878344,0.16294593,8
0.07727845,0.19166666666666665,0.20148723,200.0,0.05819356,1000.0,0.165,-14.434274,0.032332364,0.8387919,0.17824918,9
0.07747673,0.44166666666666665,0.20156461,220.0,0.062449437,1100.0,0.3233333333333333,-10.645515,0.028708257,0.8386466,0.14152372,10
0.07742059,0.6416666666666667,0.20153236,240.0,0.06668665,1200.0,0.47000000000000003,-5.8531976,0.044935346,0.838728,0.099919885,11
0.07715842,0.7666666666666666,0.20153259,260.0,0.0724281,1300.0,0.58,-3.1809738,0.06082962,0.8389719,0.08007575,12
0.07673681,0.6916666666666668,0.2015283,280.0,0.0769384,1400.0,0.695,-3.4001834,0.035230417,0.8388056,0.08399597,13
0.07663825,0.8916666666666666,0.20136099,300.0,0.08090247,1500.0,0.755,-2.2301598,0.04940461,0.83865684,0.06636516,14
0.07614783,0.8416666666666667,0.20122479,320.0,0.08405694,1600.0,0.7949999999999999,-2.3508904,0.03803703,0.83876556,0.07276972,15
0.07619921,0.9166666666666666,0.20121557,340.0,0.088068545,1700.0,0.8016666666666667,-1.8367163,0.052526478,0.83868724,0.06245483,16
0.075981565,0.9666666666666667,0.20124744,360.0,0.09027872,1800.0,0.8866666666666667,-1.5842954,0.056144048,0.8388234,0.06153773,17
0.07580111,0.9666666666666667,0.20117813,380.0,0.09216848,1900.0,0.875,-1.5769314,0.06573406,0.8388782,0.06236575,18
0.075630866,0.9833333333333334,0.20118542,400.0,0.093479596,2000.0,0.9083333333333333,-1.3510183,0.029015742,0.8389034,0.05756549,19
0.07574084,0.9666666666666667,0.20113714,420.0,0.09516636,2100.0,0.9066666666666667,-1.2826548,0.03450567,0.83885425,0.061531175,20
0.0754795,0.9916666666666667,0.2011729,440.0,0.09629453,2200.0,0.9233333333333332,-1.2011658,0.044474203,0.8388798,0.054848585,21
0.075000875,1.0,0.2013253,460.0,0.097136356,2300.0,0.9400000000000001,-1.1026341,0.033852786,0.83877593,0.056937072,22
0.07474358,1.0,0.20137985,480.0,0.09800301,2400.0,0.9349999999999999,-1.0664989,0.02771013,0.8388261,0.054739345,23
0.07450665,0.975,0.2013808,500.0,0.09916192,2500.0,0.93,-1.4885949,0.04158814,0.83885795,0.059717868,24
0.07425234,0.9666666666666667,0.20150329,520.0,0.09980682,2600.0,0.94,-1.144668,0.03098178,0.8388245,0.054770995,25
0.07407095,0.9916666666666667,0.20153691,540.0,0.1004683,2700.0,0.9466666666666667,-1.1976932,0.025148911,0.8387726,0.05601554,26
0.07374134,0.9916666666666667,0.20147951,560.0,0.10102708,2800.0,0.9400000000000001,-0.92775154,0.02816277,0.83883613,0.04908225,27
0.07344786,1.0,0.20152931,580.0,0.10147796,2900.0,0.9500000000000001,-0.98871547,0.02464998,0.83881336,0.052945834,28
0.073236145,0.9833333333333334,0.20155281,600.0,0.10194648,3000.0,0.945,-1.2289476,0.021402443,0.8387653,0.057461247,29
