test/success_rate,stats_o/mean,stats_g/mean,stats_g/std,test/episode,train/critic_loss,train/success_rate,epoch,stats_o/std,test/mean_Q,train/episode
0.10000000000000002,0.20075648,0.83708787,0.07202762,20.0,0.0068523064,0.05333333333333334,0,0.04619285,-1.9619976,100.0
0.016666666666666666,0.20085245,0.8369643,0.07487086,40.0,0.0051143505,0.07333333333333332,1,0.04990423,-4.0767746,200.0
0.041666666666666664,0.20096926,0.837107,0.07394175,60.0,0.004655636,0.07,2,0.047745824,-5.8333163,300.0
0.075,0.20123653,0.8376301,0.07473796,80.0,0.0037751503,0.06333333333333334,3,0.050177444,-7.6371384,400.0
0.06666666666666667,0.20127922,0.8383005,0.07555603,100.0,0.014646326,0.07333333333333335,4,0.052289676,-9.449619,500.0
0.09166666666666667,0.20134728,0.8383284,0.07594263,120.0,0.021012137,0.08166666666666667,5,0.05350532,-10.778823,600.0
0.16666666666666666,0.20132475,0.8382786,0.075718485,140.0,0.044234335,0.08166666666666667,6,0.054393932,-11.442628,700.0
0.16666666666666666,0.20146437,0.8385844,0.07570168,160.0,0.054154143,0.12333333333333334,7,0.05498175,-12.420938,800.0
0.26666666666666666,0.20154397,0.8386387,0.07624537,180.0,0.04271404,0.14833333333333334,8,0.056798983,-12.530728,900.0
0.375,0.20148242,0.8387621,0.07678669,200.0,0.09806692,0.25333333333333335,9,0.059533525,-12.018654,1000.0
0.45,0.2015152,0.8389707,0.07722699,220.0,0.1566882,0.4083333333333334,10,0.06404798,-8.986694,1100.0
0.7583333333333333,0.20141746,0.8392704,0.07739933,240.0,0.0698016,0.5383333333333333,11,0.06914646,-4.115784,1200.0
0.8000000000000002,0.20136774,0.83939934,0.07700197,260.0,0.1446416,0.67,12,0.07368154,-2.8845074,1300.0
0.8166666666666668,0.2012919,0.8393282,0.0769462,280.0,0.1345766,0.745,13,0.077046454,-2.397796,1400.0
0.9083333333333333,0.20126478,0.83925956,0.07694578,300.0,0.096992254,0.7883333333333332,14,0.08103545,-2.0195138,1500.0
0.9,0.2013293,0.8392956,0.076432884,320.0,0.13545866,0.8333333333333334,15,0.084183246,-1.6895708,1600.0
0.9249999999999999,0.20141159,0.8392844,0.07639071,340.0,0.15524474,0.8683333333333333,16,0.086756565,-1.6968058,1700.0
0.9916666666666667,0.20141272,0.8394126,0.07600631,360.0,0.07055814,0.9049999999999999,17,0.089215554,-1.1681665,1800.0
0.9833333333333334,0.20131974,0.83936286,0.075728215,380.0,0.11181181,0.9116666666666666,18,0.09119484,-1.2895414,1900.0
0.9916666666666667,0.20119338,0.839367,0.07544868,400.0,0.102838516,0.9199999999999999,19,0.09237365,-1.0253153,2000.0
0.9666666666666667,0.20112556,0.8393054,0.07505276,420.0,0.070688464,0.935,20,0.093912385,-1.2767783,2100.0
0.9833333333333334,0.20119907,0.83928937,0.07483076,440.0,0.0751086,0.9366666666666666,21,0.09510889,-1.0527583,2200.0
0.9500000000000001,0.2012472,0.83918506,0.07437193,460.0,0.07170431,0.9283333333333333,22,0.09638789,-1.2317446,2300.0
0.9833333333333334,0.20114166,0.8391857,0.07425376,480.0,0.06430692,0.9366666666666666,23,0.09758233,-1.1175985,2400.0
0.9916666666666667,0.20112269,0.8391815,0.074098416,500.0,0.12185356,0.9266666666666667,24,0.09877216,-1.2408938,2500.0
0.9833333333333334,0.20112747,0.8391352,0.073769726,520.0,0.09283704,0.9550000000000001,25,0.09968611,-1.1200852,2600.0
0.9833333333333334,0.20112617,0.83906215,0.07368808,540.0,0.0915043,0.9333333333333332,26,0.10047247,-0.964406,2700.0
