test/ag_g_dist,test/mean_Q,train/critic_loss,stats_o/std,stats_g/mean,stats_g/std,test/success_rate,test/episode,epoch,train/episode,train/success_rate,stats_o/mean
0.16638255,-10.52414,0.22084393,0.09927484,0.8456487,0.10168037,0.5499999999999999,380.0,18,1900.0,0.3833333333333333,0.20476513
0.14830261,-10.180298,0.13824113,0.101397544,0.84568024,0.102147676,0.5750000000000001,400.0,19,2000.0,0.4683333333333333,0.20488359
0.11707757,-8.030459,0.13964872,0.103116505,0.84566593,0.10260608,0.6666666666666666,420.0,20,2100.0,0.48999999999999994,0.20495196
0.103682816,-6.7734694,0.26047352,0.10427489,0.8458547,0.1029256,0.8083333333333332,440.0,21,2200.0,0.47333333333333333,0.20498733
0.09405848,-6.0939755,0.18296416,0.105161935,0.8460388,0.10297612,0.7250000000000001,460.0,22,2300.0,0.49666666666666665,0.20510058
0.09686747,-7.4561844,0.18357442,0.1062057,0.84625894,0.103411436,0.7916666666666666,480.0,23,2400.0,0.5066666666666667,0.2052908
0.09230441,-6.4951153,0.54488903,0.10685998,0.8464659,0.10390437,0.8416666666666667,500.0,24,2500.0,0.5133333333333333,0.2053978
0.09369258,-6.570598,0.25449523,0.10743048,0.8467286,0.10420213,0.8333333333333334,520.0,25,2600.0,0.54,0.2053449
0.08115604,-5.9154124,0.28799185,0.10785807,0.84700316,0.104473926,0.875,540.0,26,2700.0,0.5499999999999999,0.20538656
0.075361766,-5.238405,0.1744752,0.10811043,0.84735245,0.10455105,0.8666666666666666,560.0,27,2800.0,0.5766666666666668,0.20542033
0.08225083,-5.195867,0.18063152,0.10841691,0.847677,0.10463303,0.8166666666666668,580.0,28,2900.0,0.5416666666666666,0.20546223
0.07370001,-3.9568577,0.2445612,0.10870888,0.8479344,0.10477063,0.9333333333333332,600.0,29,3000.0,0.5583333333333332,0.20554326
0.10128794,-5.938329,0.15799735,0.109139234,0.84816617,0.10506367,0.8083333333333332,620.0,30,3100.0,0.5516666666666666,0.20561612
0.07491692,-4.004458,0.17768218,0.10952888,0.84833336,0.10530624,0.85,640.0,31,3200.0,0.55,0.20562886
0.06743338,-2.6915035,0.20397945,0.109953165,0.84846336,0.10550641,0.8916666666666666,660.0,32,3300.0,0.575,0.20568661
0.0701876,-3.2474186,0.14392602,0.11010981,0.8487727,0.10554544,0.8999999999999999,680.0,33,3400.0,0.5750000000000001,0.20574003
0.066361986,-3.1560695,0.21479428,0.11041369,0.84893584,0.105732284,0.8916666666666666,700.0,34,3500.0,0.5800000000000001,0.20583087
0.0711082,-3.0432298,0.22826554,0.11063408,0.8492401,0.10589391,0.875,720.0,35,3600.0,0.5783333333333334,0.2059431
0.06912009,-2.7791538,0.30024627,0.11077672,0.84939057,0.10586333,0.9166666666666666,740.0,36,3700.0,0.6033333333333334,0.20594122
0.06398631,-2.0467622,0.18713069,0.110820495,0.84962493,0.10595564,0.9250000000000002,760.0,37,3800.0,0.5716666666666667,0.20601922
0.061199185,-1.9314003,0.17453639,0.110855974,0.8497246,0.105985336,0.9499999999999998,780.0,38,3900.0,0.5700000000000001,0.20604174
0.06454045,-2.405308,0.22990926,0.110949725,0.8498443,0.10600296,0.9166666666666666,800.0,39,4000.0,0.5566666666666668,0.20606863
0.0708215,-2.2970972,0.1761905,0.1110701,0.84994674,0.105977796,0.9249999999999999,820.0,40,4100.0,0.57,0.20616649
0.05756374,-1.4676768,0.2320693,0.11119922,0.85004884,0.10591743,0.9666666666666667,840.0,41,4200.0,0.5916666666666667,0.20621395
0.061646003,-1.788637,0.21708037,0.111252345,0.8501682,0.105896525,0.9333333333333332,860.0,42,4300.0,0.5333333333333333,0.20624699
0.056445833,-1.3389875,0.21187717,0.11134135,0.8502807,0.105845,0.9583333333333334,880.0,43,4400.0,0.5299999999999999,0.20630252
0.06766159,-1.8810263,0.18308647,0.11148123,0.8503105,0.10593027,0.9249999999999999,900.0,44,4500.0,0.5216666666666667,0.20631813
0.06294741,-1.3223614,0.19889028,0.11157513,0.85037524,0.10603571,0.9333333333333332,920.0,45,4600.0,0.5566666666666666,0.20633775
0.06344164,-1.3931736,0.9015784,0.11181531,0.8504112,0.10615612,0.9333333333333332,940.0,46,4700.0,0.5316666666666666,0.20637007
0.06385544,-1.326536,0.2250004,0.111818515,0.8504451,0.106300674,0.9416666666666668,960.0,47,4800.0,0.5483333333333333,0.20642202
0.060762834,-1.1234784,0.24043699,0.1118637,0.85049796,0.10630735,0.9666666666666668,980.0,48,4900.0,0.595,0.20647614
0.06609145,-1.2635132,0.2696589,0.11193732,0.85050315,0.10633847,0.9166666666666666,1000.0,49,5000.0,0.5916666666666667,0.20642501
