train/critic_loss,test/success_rate,train/episode,stats_o/mean,stats_g/mean,test/episode,stats_g/std,epoch,test/ag_g_dist,test/mean_Q,stats_o/std,train/success_rate
0.045833927,0.6333333333333333,3300.0,0.3050342,0.6747095,660.0,0.017707953,32,0.034319192,-7.4860206,0.8307232,0.006666666666666667
0.047579672,0.7166666666666668,3400.0,0.3050189,0.6747074,680.0,0.017693602,33,0.034971543,-7.254908,0.83025295,0.02
0.045030948,0.7166666666666668,3500.0,0.30504334,0.674753,700.0,0.017746098,34,0.047464665,-9.117986,0.8297139,0.01
0.04457474,0.6416666666666666,3600.0,0.3051083,0.6747901,720.0,0.017781915,35,0.04040723,-11.117726,0.8289369,0.008333333333333333
0.046162143,0.6750000000000002,3700.0,0.3052034,0.6748614,740.0,0.017865086,36,0.05778706,-10.688686,0.8284044,0.0033333333333333335
0.04663999,0.6666666666666666,3800.0,0.30523533,0.67492646,760.0,0.017936649,37,0.046250015,-9.8421755,0.8278988,0.005
0.048447724,0.7416666666666667,3900.0,0.305227,0.6749533,780.0,0.017956814,38,0.047199998,-8.397179,0.8273991,0.015
0.051299036,0.625,4000.0,0.30525053,0.6749897,800.0,0.017974546,39,0.044785623,-10.881635,0.8266757,0.013333333333333334
0.051642653,0.7416666666666667,4100.0,0.30527955,0.6750199,820.0,0.01797953,40,0.03959367,-8.811634,0.8260147,0.013333333333333334
0.0416201,0.6,4200.0,0.30531013,0.67502594,840.0,0.017958568,41,0.048144832,-13.262321,0.82544345,0.01
0.04607889,0.7083333333333334,4300.0,0.3053256,0.6750305,860.0,0.017939666,42,0.0415192,-9.388388,0.82497805,0.008333333333333333
0.04759237,0.6916666666666668,4400.0,0.30529723,0.6750333,880.0,0.01792517,43,0.040974688,-10.03489,0.8248153,0.016666666666666666
0.049948018,0.7083333333333334,4500.0,0.30535188,0.67502874,900.0,0.017909134,44,0.037468906,-10.062617,0.82427645,0.018333333333333333
0.0433047,0.7166666666666667,4600.0,0.30539763,0.6750221,920.0,0.017893426,45,0.040963266,-10.698159,0.8238094,0.005
0.040402286,0.725,4700.0,0.30539155,0.67501426,940.0,0.017882118,46,0.040479876,-11.006019,0.8232514,0.008333333333333333
0.04634698,0.6999999999999998,4800.0,0.30539048,0.6750117,960.0,0.017864335,47,0.041298445,-11.860863,0.82281137,0.0033333333333333335
0.04086024,0.6916666666666668,4900.0,0.30540577,0.67501134,980.0,0.017849676,48,0.040217366,-11.021733,0.8225096,0.008333333333333333
0.049902633,0.725,5000.0,0.30548945,0.67501765,1000.0,0.01783982,49,0.040136423,-10.865893,0.82225543,0.005
0.04615152,0.6416666666666667,5100.0,0.30557448,0.67502314,1020.0,0.017830694,50,0.047056034,-13.14894,0.8218333,0.013333333333333334
0.045522634,0.6333333333333334,5200.0,0.3056813,0.6750315,1040.0,0.017824586,51,0.046771962,-13.797318,0.82156897,0.006666666666666667
0.04590234,0.7166666666666668,5300.0,0.30579764,0.67505556,1060.0,0.01783142,52,0.045439035,-10.853993,0.8213158,0.006666666666666667
0.04294516,0.7000000000000001,5400.0,0.30591273,0.6750815,1080.0,0.01784905,53,0.04105273,-11.320335,0.82083243,0.006666666666666667
0.04634242,0.7083333333333334,5500.0,0.30603766,0.6750973,1100.0,0.017851656,54,0.04211588,-12.246142,0.8204271,0.0033333333333333335
0.046368074,0.65,5600.0,0.30611068,0.675108,1120.0,0.017844101,55,0.04006158,-11.399127,0.81994647,0.011666666666666667
0.045836624,0.6916666666666668,5700.0,0.30620345,0.67511123,1140.0,0.017830413,56,0.04697353,-13.031975,0.8196597,0.006666666666666667
0.04553199,0.725,5800.0,0.30626854,0.6751159,1160.0,0.017825423,57,0.034895346,-9.095205,0.81917745,0.015
0.046025246,0.75,5900.0,0.30635494,0.67511207,1180.0,0.017817672,58,0.03503472,-9.905032,0.8188153,0.006666666666666667
0.050963487,0.7833333333333333,6000.0,0.30642954,0.67511815,1200.0,0.017803373,59,0.03297842,-9.14986,0.81845886,0.016666666666666666
