stats_o/std,train/critic_loss,test/ag_g_dist,test/success_rate,stats_g/std,test/episode,epoch,train/reward_compute_count,train/success_rate,train/episode,stats_o/mean,test/mean_Q,stats_g/mean,test/reward_compute_count
0.055084705,0.25889832,0.47853956,0.0,0.1224126,20.0,0,5000.0,0.0016666666666666668,100.0,0.1763288,-3.0533192,0.74213934,1000.0
0.056695785,0.23854439,0.44893417,0.0,0.12252436,40.0,1,10000.0,0.0016666666666666668,200.0,0.17603512,-5.181567,0.74241763,2000.0
0.057306137,1.1239296,0.42643914,0.0,0.122985035,60.0,2,15000.0,0.005,300.0,0.17643279,-7.397425,0.74307626,3000.0
0.056854885,0.18963571,0.46447185,0.0,0.12272199,80.0,3,20000.0,0.0,400.0,0.17675632,-9.209671,0.7440012,4000.0
0.057786275,0.9853141,0.44489658,0.0,0.12449961,100.0,4,25000.0,0.0016666666666666668,500.0,0.17714393,-11.183772,0.74471325,5000.0
0.05910067,1.1993923,0.47519553,0.0,0.12576182,120.0,5,30000.0,0.0016666666666666668,600.0,0.17710121,-12.600308,0.7440867,6000.0
0.05959068,0.4793962,0.45344102,0.008333333333333333,0.12775104,140.0,6,35000.0,0.0033333333333333335,700.0,0.17720143,-14.688104,0.7443246,7000.0
0.05991863,0.8847482,0.40940198,0.008333333333333333,0.12880327,160.0,7,40000.0,0.0,800.0,0.17722435,-15.831075,0.7442844,8000.0
0.060753822,0.45113492,0.46796668,0.0,0.13088234,180.0,8,45000.0,0.0033333333333333335,900.0,0.17728211,-17.710318,0.74469966,9000.0
0.061429635,0.24664688,0.4568152,0.0,0.13268976,200.0,9,50000.0,0.0,1000.0,0.17744696,-18.88193,0.74483687,10000.0
0.062149543,0.54245305,0.46868038,0.0,0.13392805,220.0,10,55000.0,0.0016666666666666668,1100.0,0.17748098,-19.960058,0.74501866,11000.0
0.06352587,1.064233,0.49155125,0.008333333333333333,0.13589408,240.0,11,60000.0,0.0016666666666666668,1200.0,0.17749842,-21.472185,0.7453343,12000.0
