test/ag_g_dist,test/success_rate,epoch,train/episode,stats_g/std,stats_g/mean,stats_o/mean,train/critic_loss,stats_o/std,train/success_rate,test/mean_Q,test/episode
0.11922239,0.65,0,20.0,0.09987869,0.86802346,0.2600007,0.09086887,0.03212704,0.05,-0.37983468,20.0
0.057243336,0.95,1,40.0,0.08809525,0.867886,0.26021928,0.054715574,0.028859412,0.6,-0.34563556,40.0
0.035074733,1.0,2,60.0,0.08641251,0.8654496,0.25970423,0.037527114,0.028706828,0.95,-0.21605119,60.0
