stats_g/mean,stats_g/std,train/success_rate,stats_o/std,stats_o/mean,test/mean_Q,epoch,train/critic_addnl_loss,test/success_rate,train/critic_loss,test/episode,train/episode
0.83881027,0.060941186,0.08333333333333333,0.041004144,0.20143957,-23.888748,17,1.7771465,0.049999999999999996,1.852335,360.0,1800.0
0.8388295,0.060979728,0.07833333333333332,0.042309333,0.2014067,-22.638952,18,1.6151816,0.05833333333333334,1.690905,380.0,1900.0
0.8387902,0.06101134,0.06833333333333334,0.04290327,0.20136654,-22.402084,19,1.3423023,0.09166666666666667,1.5017304,400.0,2000.0
0.8387435,0.061012056,0.06166666666666667,0.043393284,0.20136507,-22.058615,20,2.0185401,0.06666666666666667,2.1508803,420.0,2100.0
0.83879095,0.06105673,0.06666666666666667,0.044381905,0.20134066,-22.165045,21,2.0156105,0.08333333333333333,2.1282265,440.0,2200.0
0.83868414,0.06101723,0.06666666666666667,0.045050267,0.20128162,-23.621256,22,2.4158175,0.05833333333333334,2.537963,460.0,2300.0
0.8387187,0.060978685,0.05833333333333334,0.045708705,0.20125528,-23.740662,23,1.9839417,0.06666666666666667,2.0902908,480.0,2400.0
0.83875275,0.060978327,0.06333333333333334,0.04650088,0.201306,-22.145033,24,1.2318691,0.09999999999999999,1.390968,500.0,2500.0
0.8387305,0.060986713,0.05833333333333333,0.047193218,0.20130928,-23.26132,25,1.5926476,0.05000000000000001,1.6735831,520.0,2600.0
0.83866245,0.061009318,0.08666666666666667,0.04797165,0.20127495,-23.392395,26,1.4867884,0.075,1.601055,540.0,2700.0
0.83873636,0.06098129,0.06833333333333334,0.04871646,0.20126103,-22.386042,27,1.457843,0.11666666666666665,1.5604563,560.0,2800.0
0.83869046,0.06097986,0.05000000000000001,0.04923408,0.20124511,-25.641928,28,1.111787,0.041666666666666664,1.2070514,580.0,2900.0
0.83861727,0.061005678,0.07666666666666666,0.049643144,0.20122702,-26.170065,29,1.4160385,0.041666666666666664,1.5037231,600.0,3000.0
0.83863115,0.06099895,0.07333333333333332,0.050290596,0.20120709,-24.97702,30,1.2476808,0.041666666666666664,1.3605503,620.0,3100.0
0.8385404,0.0610235,0.06166666666666667,0.05105211,0.20119198,-25.231506,31,1.316705,0.06666666666666667,1.4458771,640.0,3200.0
0.838562,0.061006784,0.08166666666666668,0.051600713,0.2011723,-25.071579,32,1.454019,0.075,1.5489192,660.0,3300.0
0.83855265,0.06100264,0.06166666666666667,0.051949162,0.20117456,-27.196463,33,1.590815,0.049999999999999996,1.7413912,680.0,3400.0
0.8385777,0.06099768,0.07166666666666667,0.052218672,0.2011532,-25.739721,34,1.1478556,0.06666666666666667,1.2580197,700.0,3500.0
0.83862066,0.06104864,0.07333333333333333,0.05227757,0.20115833,-26.783205,35,0.8288493,0.075,1.0324544,720.0,3600.0
0.83868307,0.06107754,0.07166666666666667,0.05220333,0.20117433,-27.96698,36,1.2732831,0.05833333333333334,1.3590599,740.0,3700.0
0.838636,0.061048154,0.05833333333333334,0.052080363,0.20118059,-29.061508,37,0.8959591,0.06666666666666667,1.0119346,760.0,3800.0
0.83863646,0.061039124,0.07666666666666667,0.05210809,0.20120136,-28.34104,38,0.962945,0.09166666666666667,1.057388,780.0,3900.0
0.83863974,0.06101932,0.065,0.05192356,0.20122415,-30.04769,39,1.0422245,0.075,1.1594915,800.0,4000.0
0.8385854,0.061033193,0.08333333333333333,0.05207978,0.20120974,-28.523758,40,1.3237402,0.06666666666666667,1.4399418,820.0,4100.0
0.8386347,0.061022196,0.07166666666666667,0.05199048,0.20119983,-31.361502,41,1.5980834,0.025000000000000005,1.8052435,840.0,4200.0
0.83862996,0.061007813,0.08166666666666668,0.05183138,0.20120867,-30.333221,42,1.6014639,0.09166666666666667,1.7359155,860.0,4300.0
0.8386503,0.06100462,0.07666666666666667,0.05176859,0.20121104,-31.208902,43,1.4823823,0.05833333333333333,1.6286699,880.0,4400.0
0.8386509,0.06100926,0.055,0.051602464,0.20121296,-31.126902,44,1.4900012,0.06666666666666667,1.5751443,900.0,4500.0
0.8386151,0.061018202,0.08166666666666667,0.051594596,0.20122044,-31.249153,45,1.2680019,0.041666666666666664,1.4022375,920.0,4600.0
0.8385741,0.061033055,0.08666666666666667,0.05153581,0.20121187,-33.294853,46,1.6331705,0.041666666666666664,1.7600428,940.0,4700.0
0.838619,0.0610252,0.06,0.051495437,0.20121317,-30.788153,47,1.8153287,0.125,1.9628242,960.0,4800.0
0.83864933,0.061034784,0.075,0.05146439,0.20122159,-30.72946,48,1.7107092,0.05833333333333333,1.8432169,980.0,4900.0
0.83871007,0.061021402,0.09500000000000001,0.051572997,0.20121492,-28.352484,49,2.3129075,0.125,2.4555845,1000.0,5000.0
